"data_resource_uid","dcterms:license","institutionCode","collectionCode","datasetName","basisOfRecord","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","sex","reproductiveCondition","establishmentMeans","occurrenceStatus","occurrenceRemarks","eventID","eventDate","year","month","samplingProtocol","locationID","country","countryCode","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","georeference_verification_status","identificationQualifier","typeStatus","identifiedBy","dateIdentified","taxonConceptID","scientificName","scientificName","originalNameUsage","kingdom","phylum","class","order","family","genus","taxonRank","vernacularName","species","verbatimIdentificationQualifier","recordID","dcterms:accessRights","verbatimBasisOfRecord","Moisture Index - annual mean (Bio28)"
"drt29811","","","","My dataset","","","","","","","","","","present","","","","","","","","Australia","","Australian Capital Territory","","","","","","","-35.8748166","149.01165","","-35.8748166","149.01165","","","Not provided","","","","","","","","","","","","","","","","","","fdd31002-ccc6-44bf-bedd-82fde3336a0a","","","0.63"
"drt29811","","","","My dataset","","","","","","","","","","present","","","","","","","","Australia","","Northern Territory","","","","","","","-13.40822","135.77629","","-13.40822","135.77629","","","Not provided","","","","","","","","","","","","","","","","","","fab89f5b-0eba-4598-9200-8237386593d4","","","0.49"
"drt29811","","","","My dataset","","","","","","","","","","present","","","","","","","","Australia","","Western Australia","","","","","","","-33.72838889","119.7221389","","-33.72838889","119.7221389","","","Not provided","","","","","","","","","","","","","","","","","","f41bc68e-b9eb-4641-ac1a-a3c7e56ea8c2","","","0.33"
"drt29811","","","","My dataset","","","","","","","","","","present","","","","","","","","Australia","","Australian Capital Territory","","","","","","","-35.881","149.0076","","-35.881","149.0076","","","Not provided","","","","","","","","","","","","","","","","","","f3d18d4c-674c-4a65-9a47-491d39ce6a9f","","","0.61"
"drt29811","","","","My dataset","","","","","","","","","","present","","","","","","","","Australia","","New South Wales","","","","","","","-33.6123","150.73895","","-33.6123","150.73895","","","Not provided","","","","","","","","","","","","","","","","","","ee4a337e-caa6-4575-ab88-ec55bb2edc2f","","","0.58"
"drt29811","","","","My dataset","","","","","","","","","","present","","","","","","","","Australia","","New South Wales","","","","","","","-33.652818","150.268179","","-33.652818","150.268179","","","Not provided","","","","","","","","","","","","","","","","","","edf870e8-f620-4b82-a168-806a871d0759","","","0.89"
"drt29811","","","","My dataset","","","","","","","","","","present","","","","","","","","Australia","","Tasmania","","","","","","","-42.27154","146.8927","","-42.27154","146.8927","","","Not provided","","","","","","","","","","","","","","","","","","e9fba35f-fd37-4009-8693-c1435a838472","","","0.78"
"drt29811","","","","My dataset","","","","","","","","","","present","","","","","","","","Australia","","Queensland","","","","","","","-17.12108333","145.6308833","","-17.12108333","145.6308833","","","Not provided","","","","","","","","","","","","","","","","","","e8a05604-261f-48cd-b41f-579da18d33a3","","","0.78"
"drt29811","","","","My dataset","","","","","","","","","","present","","","","","","","","Australia","","Northern Territory","","","","","","","-25.3119","131.085","","-25.3119","131.085","","","Not provided","","","","","","","","","","","","","","","","","","dd9328fc-1f89-451c-aa65-08c745949408","","","0.11"
"drt29811","","","","My dataset","","","","","","","","","","present","","","","","","","","Australia","","Western Australia","","","","","","","-17.67413333","125.2178","","-17.67413333","125.2178","","","Not provided","","","","","","","","","","","","","","","","","","dccf8cbe-65a6-4a36-8549-c9f19bfbd443","","","0.26"
