[2022-08-05 11:01:55,904] multiqc                                            [DEBUG  ]  This is MultiQC v1.11
[2022-08-05 11:01:56,078] multiqc                                            [DEBUG  ]  No MultiQC config found: /apps/multiqc/1.11/lib/python3.9/site-packages/multiqc_config.yaml
[2022-08-05 11:01:56,078] multiqc                                            [DEBUG  ]  No MultiQC config found: /home/smi9a9/.multiqc_config.yaml
[2022-08-05 11:01:56,254] multiqc                                            [DEBUG  ]  No MultiQC config found: multiqc_config.yaml
[2022-08-05 11:01:56,254] multiqc                                            [DEBUG  ]  Command used: /apps/multiqc/1.11/bin/multiqc ./12428_combined_merged_fastqc.html ./12428_combined_merged_fastqc.zip ./12428_combined_merged.fastq.gz ./12428_combined_R1p_fastqc.html ./12428_combined_R1p_fastqc.zip ./12428_combined_R1p.fastq.gz ./12428_combined_R1R2u_fastqc.html ./12428_combined_R1R2u_fastqc.zip ./12428_combined_R1R2u.fastq.gz ./12428_combined_R2p_fastqc.html ./12428_combined_R2p_fastqc.zip ./12428_combined_R2p.fastq.gz ./12428_QCreads.md5 -o 12428_MGSD_CSIRO.qc.stats
[2022-08-05 11:01:56,394] multiqc                                            [DEBUG  ]  Could not connect to multiqc.info for version check: <urlopen error [Errno 111] Connection refused>
[2022-08-05 11:01:56,394] multiqc                                            [DEBUG  ]  Command     : /apps/multiqc/1.11/bin/multiqc ./12428_combined_merged_fastqc.html ./12428_combined_merged_fastqc.zip ./12428_combined_merged.fastq.gz ./12428_combined_R1p_fastqc.html ./12428_combined_R1p_fastqc.zip ./12428_combined_R1p.fastq.gz ./12428_combined_R1R2u_fastqc.html ./12428_combined_R1R2u_fastqc.zip ./12428_combined_R1R2u.fastq.gz ./12428_combined_R2p_fastqc.html ./12428_combined_R2p_fastqc.zip ./12428_combined_R2p.fastq.gz ./12428_QCreads.md5 -o 12428_MGSD_CSIRO.qc.stats
[2022-08-05 11:01:56,394] multiqc                                            [DEBUG  ]  Working dir : /datasets/work/oa-amd/work/amd/Metagenome_QC_reads
[2022-08-05 11:01:56,394] multiqc                                            [DEBUG  ]  Template    : default
[2022-08-05 11:01:56,394] multiqc                                            [DEBUG  ]  Running Python 3.9.4 (default, Apr 25 2021, 16:13:27)  [GCC 10.3.0]
[2022-08-05 11:01:56,394] multiqc                                            [DEBUG  ]  Analysing modules: custom_content, ccs, ngsderive, purple, conpair, lima, peddy, somalier, methylQA, mosdepth, phantompeakqualtools, qualimap, preseq, quast, qorts, rna_seqc, rockhopper, rsem, rseqc, busco, bustools, goleft_indexcov, gffcompare, disambiguate, supernova, deeptools, sargasso, verifybamid, mirtrace, happy, mirtop, sambamba, homer, hops, macs2, theta2, snpeff, gatk, htseq, bcftools, featureCounts, fgbio, dragen, dedup, damageprofiler, biobambam2, jcvi, mtnucratio, picard, vep, sentieon, prokka, qc3C, nanostat, samblaster, samtools, sexdeterrmine, eigenstratdatabasetools, bamtools, jellyfish, vcftools, longranger, stacks, varscan2, snippy, bbmap, bismark, biscuit, hicexplorer, hicup, hicpro, salmon, kallisto, slamdunk, star, hisat2, tophat, bowtie2, bowtie1, snpsplit, odgi, pangolin, kat, leehom, adapterRemoval, clipandmerge, cutadapt, flexbar, kaiju, kraken, malt, trimmomatic, sickle, skewer, sortmerna, biobloomtools, fastq_screen, afterqc, fastp, fastqc, pychopper, pycoqc, minionqc, multivcfanalyzer, clusterflow, bcl2fastq, bclconvert, interop, ivar, flash, seqyclean, optitype
