sample_id,am_environment,ammonium_nitrogen_wt,ammonium_nitrogen_wt_meth,biotic_relationship,boron_hot_cacl2,boron_hot_cacl2_meth,clay,clay_meth,coarse_sand,coarse_sand_meth,collection_date,collection_permit,color,color_meth,conductivity,conductivity_meth,crop_rotation_1yr_since_present,crop_rotation_2yrs_since_present,crop_rotation_3yrs_since_present,crop_rotation_4yrs_since_present,crop_rotation_5yrs_since_present,database_schema_definitions_url,density,density_meth,depth,depth_lower,depth_upper,dtpa_copper,dtpa_copper_meth,dtpa_iron,dtpa_iron_meth,dtpa_manganese,dtpa_manganese_meth,dtpa_zinc,dtpa_zinc_meth,elev,env_broad_scale,env_local_scale,env_medium,exc_aluminium,exc_aluminium_meth,exc_calcium,exc_calcium_meth,exc_magnesium,exc_magnesium_meth,exc_potassium,exc_potassium_meth,exc_sodium,exc_sodium_meth,fine_sand,fine_sand_meth,fire,funding_agency,general_env_feature,geo_loc_name,gravel,gravel_meth,hyperspectral_analysis,hyperspectral_analysis_meth,lat_lon,latitude,local_class,local_class_meth,longitude,microbial_biomass,microbial_biomass_meth,nitrate_nitrogen,nitrate_nitrogen_meth,notes,nucl_acid_ext,organic_carbon,organic_carbon_meth,ph,ph_meth,ph_solid_h2o,ph_solid_h2o_meth,phosphorus_colwell,phosphorus_colwell_meth,potassium_colwell,potassium_colwell_meth,profile_position,samp_collect_device,samp_mat_process,sample_attribution,sample_database_file,sample_metadata_ingest_date,sample_metadata_ingest_file,sample_metadata_update_history,sample_site_location_description,sample_submitter,sample_type,sand,sand_meth,silt,silt_meth,slope_aspect,slope_gradient,source_mat_id,store_cond,sulphur,sulphur_meth,synonyms,texture,texture_meth,total_nitrogen,total_nitrogen_meth,url,utc_date_sampled,utc_time_sampled,vegetation_dom_grasses,vegetation_dom_grasses_meth,vegetation_dom_shrubs,vegetation_dom_shrubs_meth,vegetation_dom_trees,vegetation_dom_trees_meth,vegetation_total_cover,vegetation_type,water_content,water_content_soil_meth
102.100.100/10714,Soil,2,meth_2.1,Free-living,0.33,meth_2.1,8.82,meth_2.1,75.41,meth_2.1,2013-03-29T00:00:00,,BROR,,0.103,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.86,meth_2.1,5,meth_2.1,2.67,meth_2.1,0.46,meth_2.1,21,1 Conservation and Natural Environments,1.1.4 Natural feature protection,Soil [ENVO_00001998],0.041,meth_2.1,7.71,meth_2.1,1.1,meth_2.1,0.48,meth_2.1,0.07,meth_2.1,13.8,meth_2.1,,,Arid,Australia:South Australia [GAZ_00002791],0,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,-34.0597 140.6958,-34.0597,Calcarosol,meth_2.27,140.6958,,,2,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,0.48,meth_2.1,7.8,meth_2.1,8.4,meth_2.1,10,meth_2.1,187,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Chowilla,,Soil,89.21,meth_2.1,1.97,meth_2.1,82,0,102.100.100/10714,frozen,2.8,meth_2.1,,1,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/10714,3/29/13,,,,,,,,,Shrubland,2.742230347,meth_2.1
102.100.100/10716,Soil,3,meth_2.1,Free-living,1.66,meth_2.1,42.24,meth_2.1,4.79,meth_2.1,2013-03-29T00:00:00,,LTGR,,0.549,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,3.19,meth_2.1,162.44,meth_2.1,23.6,meth_2.1,0.94,meth_2.1,16,1 Conservation and Natural Environments,1.1.4 Natural feature protection,Soil [ENVO_00001998],0.049,meth_2.1,20.24,meth_2.1,6.72,meth_2.1,1.38,meth_2.1,3.8,meth_2.1,34.83,meth_2.1,,,Arid,Australia:South Australia [GAZ_00002791],35,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,-34.05624 140.7354,-34.05624,Vertosol,meth_2.27,140.7354,,,2,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,2.49,meth_2.1,6.9,meth_2.1,7.6,meth_2.1,89,meth_2.1,539,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Reny Island,,Soil,39.62,meth_2.1,18.15,meth_2.1,182,0,102.100.100/10716,frozen,48.2,meth_2.1,,2,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/10716,3/29/13,,,,,,,,,Woodland,10.24887321,meth_2.1
102.100.100/10718,Soil,5,meth_2.1,Free-living,0.79,meth_2.1,65.29,meth_2.1,0.72,meth_2.1,2013-03-29T00:00:00,,GRWH,,0.534,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,3.28,meth_2.1,105.19,meth_2.1,32.34,meth_2.1,0.43,meth_2.1,19,1 Conservation and Natural Environments,1.1.4 Natural feature protection,Soil [ENVO_00001998],0.102,meth_2.1,8.86,meth_2.1,9.51,meth_2.1,0.76,meth_2.1,6.17,meth_2.1,12.84,meth_2.1,,,Arid,Australia:South Australia [GAZ_00002791],25,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,-34.03715 140.7064,-34.03715,Calcarosol,meth_2.27,140.7064,,,3,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,1.09,meth_2.1,5.4,meth_2.1,6.3,meth_2.1,21,meth_2.1,296,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Chowilla,,Soil,13.56,meth_2.1,21.15,meth_2.1,127,0,102.100.100/10718,frozen,56.8,meth_2.1,,1.5,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/10718,3/29/13,,,,,,,,,Shrubland,11.51061776,meth_2.1
102.100.100/10720,Soil,1.00E-10,meth_2.1,Free-living,0.72,meth_2.1,11.86,meth_2.1,61.63,meth_2.1,2013-03-29T00:00:00,,OR,,0.161,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,1.12,meth_2.1,7.52,meth_2.1,4.08,meth_2.1,0.2,meth_2.1,62,1 Conservation and Natural Environments,1.1.4 Natural feature protection,Soil [ENVO_00001998],0.06,meth_2.1,8.01,meth_2.1,1.46,meth_2.1,0.65,meth_2.1,0.77,meth_2.1,22.54,meth_2.1,,,Arid,Australia:South Australia [GAZ_00002791],5,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,-33.9556 140.719,-33.9556,Calcarosol,meth_2.27,140.719,,,1.00E-10,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,0.28,meth_2.1,8.1,meth_2.1,9.1,meth_2.1,3,meth_2.1,254,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Chowilla,,Soil,84.18,meth_2.1,3.97,meth_2.1,262,1,102.100.100/10720,frozen,5.7,meth_2.1,,1,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/10720,3/29/13,,,,,,,,,Woodland,4.118050789,meth_2.1
102.100.100/12424,Soil,2,meth_2.1,Free-living,0.33,meth_2.1,7.97,meth_2.1,71.09,meth_2.1,2013-07-16T00:00:00,,LTGR,,0.071,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.62,meth_2.1,162.78,meth_2.1,5.99,meth_2.1,1.83,meth_2.1,22,1 Conservation and Natural Environments,1.1.3 National park,Soil [ENVO_00001998],0.447,meth_2.1,1.29,meth_2.1,1.18,meth_2.1,0.17,meth_2.1,0.37,meth_2.1,12.91,meth_2.1,,,Coastal (coastal terrestrial including cliff; rocky shore),Australia:Tasmania [GAZ_00007396],0,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,-42.1074 148.3395,-42.1074,Tenosols,meth_2.27,148.3395,,,1.00E-10,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,1.74,meth_2.1,4.5,meth_2.1,5.5,meth_2.1,3,meth_2.1,107,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Freycinet NP,,Soil,84,meth_2.1,8.02,meth_2.1,,2,102.100.100/12424,frozen,6.6,meth_2.1,,1.5,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12424,7/16/13,,,,,,,,,Woodland,10.73741383,meth_2.1
102.100.100/12426,Soil,9,meth_2.1,Free-living,1.76,meth_2.1,16.29,meth_2.1,59.99,meth_2.1,2013-07-16T00:00:00,,DKGR,,0.361,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.31,meth_2.1,181.26,meth_2.1,14.1,meth_2.1,1.4,meth_2.1,60,1 Conservation and Natural Environments,1.1.3 National park,Soil [ENVO_00001998],0.114,meth_2.1,8.06,meth_2.1,6.03,meth_2.1,0.62,meth_2.1,2.61,meth_2.1,13.47,meth_2.1,,,Coastal (coastal terrestrial including cliff; rocky shore),Australia:Tasmania [GAZ_00007396],0,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,-42.106246 148.340808,-42.106246,Tenosols,meth_2.27,148.340808,,,4,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,4.25,meth_2.1,4.9,meth_2.1,5.9,meth_2.1,9,meth_2.1,251,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Freycinet NP,,Soil,73.46,meth_2.1,10.25,meth_2.1,,0,102.100.100/12426,frozen,35,meth_2.1,,1.5,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12426,7/16/13,,,,,,,,,Woodland,10.67607004,meth_2.1
102.100.100/12428,Soil,17,meth_2.1,Free-living,1.66,meth_2.1,16.15,meth_2.1,61.45,meth_2.1,2013-07-16T00:00:00,,DKGR,,0.286,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.46,meth_2.1,82.9,meth_2.1,21.75,meth_2.1,1.06,meth_2.1,45,1 Conservation and Natural Environments,1.1.3 National park,Soil [ENVO_00001998],0.042,meth_2.1,15.36,meth_2.1,5.12,meth_2.1,0.71,meth_2.1,1.16,meth_2.1,14.27,meth_2.1,,,Coastal (coastal terrestrial including cliff; rocky shore),Australia:Tasmania [GAZ_00007396],0,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,-42.105769 148.336683,-42.105769,Tenosols,meth_2.27,148.336683,,,10,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,4.08,meth_2.1,6.8,meth_2.1,7.6,meth_2.1,12,meth_2.1,282,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Freycinet NP,,Soil,75.72,meth_2.1,8.13,meth_2.1,,2,102.100.100/12428,frozen,26.4,meth_2.1,,1.5,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12428,7/16/13,,,,,,,,,Woodland,9.841119279,meth_2.1
102.100.100/12430,Soil,6,meth_2.1,Free-living,1.94,meth_2.1,15.59,meth_2.1,47.02,meth_2.1,2013-07-16T00:00:00,,BRBK,,0.199,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.35,meth_2.1,48.02,meth_2.1,5.69,meth_2.1,0.32,meth_2.1,51,1 Conservation and Natural Environments,1.1.3 National park,Soil [ENVO_00001998],0.026,meth_2.1,31.61,meth_2.1,5.41,meth_2.1,0.38,meth_2.1,1.14,meth_2.1,29.54,meth_2.1,,,Coastal (coastal terrestrial including cliff; rocky shore),Australia:Tasmania [GAZ_00007396],5,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,-42.1685 148.2641,-42.1685,LatLon out of range,meth_2.27,148.2641,,,20,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,5.3,meth_2.1,6.6,meth_2.1,7.3,meth_2.1,12,meth_2.1,184,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Freycinet NP,,Soil,76.56,meth_2.1,7.86,meth_2.1,,2,102.100.100/12430,frozen,14,meth_2.1,,1.5,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12430,7/16/13,,,,,,,,,Woodland,16.68646081,meth_2.1
102.100.100/12432,Soil,2,meth_2.1,Free-living,0.19,meth_2.1,3.93,meth_2.1,89.48,meth_2.1,2013-07-16T00:00:00,,GRWH,,0.034,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.39,meth_2.1,12.54,meth_2.1,2.21,meth_2.1,0.71,meth_2.1,20,1 Conservation and Natural Environments,1.1.3 National park,Soil [ENVO_00001998],0.026,meth_2.1,1.3,meth_2.1,0.49,meth_2.1,0.08,meth_2.1,0.12,meth_2.1,6.59,meth_2.1,,,Coastal (coastal terrestrial including cliff; rocky shore),Australia:Tasmania [GAZ_00007396],0,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,-42.1738 148.2791,-42.1738,Tenosols,meth_2.27,148.2791,,,1,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,0.93,meth_2.1,4.8,meth_2.1,5.8,meth_2.1,1.00E-10,meth_2.1,38,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Freycinet NP,,Soil,96.07,meth_2.1,1.00E-10,meth_2.1,,0,102.100.100/12432,frozen,4.2,meth_2.1,,1,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12432,7/16/13,,,,,,,,,Dune,6.180223285,meth_2.1
102.100.100/12434,Soil,10,meth_2.1,Free-living,1.02,meth_2.1,18.63,meth_2.1,37.94,meth_2.1,2013-07-16T00:00:00,,GR,,0.196,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,5.17,meth_2.1,743.69,meth_2.1,1.48,meth_2.1,18.75,meth_2.1,7,1 Conservation and Natural Environments,1.1.3 National park,Soil [ENVO_00001998],3.494,meth_2.1,2.08,meth_2.1,3.85,meth_2.1,0.38,meth_2.1,1.55,meth_2.1,27.35,meth_2.1,,,Coastal (coastal terrestrial including cliff; rocky shore),Australia:Tasmania [GAZ_00007396],0,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,-42.173 148.2851,-42.173,Tenosols,meth_2.27,148.2851,,,1.00E-10,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,5.84,meth_2.1,4.1,meth_2.1,5.1,meth_2.1,9,meth_2.1,175,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Freycinet NP,,Soil,65.28,meth_2.1,16.09,meth_2.1,,0,102.100.100/12434,frozen,19.5,meth_2.1,,1,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12434,7/16/13,,,,,,,,,Marsh/bog,32.65110329,meth_2.1
