"","sampleID","longitude","latitude"
"1","10714",140.6958,-34.0597
"2","10716",140.7354,-34.05624
"3","10718",140.7064,-34.03715
"4","10720",140.719,-33.9556
"5","12424",148.3395,-42.1074
"6","12426",148.340808,-42.106246
"7","12428",148.336683,-42.105769
"8","12430",148.2641,-42.1685
"9","12432",148.2791,-42.1738
"10","12438",148.3021,-42.0578
"11","12446",146.625,-42.6735
"12","12447",146.6711,-42.6793
"13","12459",148.798917,-35.423567
"14","12461",148.797583,-35.423733
"15","12463",148.797883,-35.423883
"16","12465",148.79855,-35.4214
"17","12467",148.79595,-35.42375
"18","12469",148.7968,-35.4235
"19","12471",148.797167,-35.423867
"20","12473",148.796767,-35.42325
"21","12475",148.796583,-35.42385
"22","12477",148.7961,-35.422617
"23","12479",148.796383,-35.423183
"24","12481",142.219292,-32.526047
"25","12483",141.898047,-29.055658
"26","12485",141.352819,-29.035917
"27","12487",144.111706,-29.945633
"28","12489",142.717778,-30.395
"29","12491",149.0076,-35.881
"30","12493",149.0083,-35.8811
"31","12495",149.0097,-35.876683
"32","12497",149.01025,-35.876933
"33","12560",149.0076,-35.881
"34","12562",149.0083,-35.8811
"35","12564",149.0097,-35.876683
"36","12566",149.01025,-35.876933
"37","12568",149.01088,-35.874867
"38","12570",149.01165,-35.874817
"39","12572",149.0076,-35.881
"40","12574",149.0083,-35.8811
"41","12576",149.0097,-35.876683
"42","12578",149.01025,-35.876933
"43","12580",149.01088,-35.874867
"44","12582",149.01165,-35.874817
"45","12816",145.447883,-16.103417
"46","12818",145.447217,-16.102983
"47","12819",145.447883,-16.103417
"48","12824",145.630883,-17.121083
"49","12828",145.61195,-17.1036
"50","12830",145.620217,-17.092083
"51","12834",152.87905,-27.387121
"52","12838",153.083025,-27.632688
"53","12876",135.71916,-14.195246
"54","12878",135.20189,-12.93256
"55","12880",135.81029,-12.50916
"56","12882",134.50615,-13.52115
"57","12884",145.029247,-36.673214
"58","12891",144.05391,-37.25205
"59","12897",140.587564,-34.003639
"60","12899",140.351526,-34.098
"61","12901",140.728053,-33.971572
"62","12903",146.654289,-43.095071
"63","12939",135.77629,-13.40822
"64","13264",143.70582,-40.10732
"65","13268",144.11969,-39.935
"66","13270",144.08213,-39.89271
"67","13729",120.65511,-30.19191
"68","13731",120.651731,-30.191581
"69","13733",120.642526,-30.191921
"70","13735",120.633674,-30.194439
"71","138511",142.02097,-35.51706
"72","138513",141.33691,-36.56989
"73","138515",141.96059,-36.40655
"74","138524",147.00798,-41.0368
"75","138526",147.061171,-40.999369
"76","138528",147.061407,-40.998746
"77","138530",147.063393,-40.991764
"78","138532",147.00794,-41.036665
"79","138534",147.014179,-40.983108
"80","138538",147.008853,-41.029754
"81","138543",146.992477,-41.03954
"82","138545",146.99222,-41.040174
"83","138590",136.584113,-14.10286
"84","138594",136.817021,-14.230668
"85","138602",136.4312,-14.0825
"86","138607",136.48076,-13.98342
"87","13906",149.01165,-35.874817
"88","14181",147.781349,-24.83835
"89","14183",147.521225,-24.853827
"90","14185",145.08186,-41.65563
"91","14187",145.09314,-41.58365
"92","19453",150.73733,-33.60963
"93","19455",150.73693,-33.61008
"94","19457",150.73895,-33.6123
"95","19459",150.73795,-33.61292
"96","19461",150.73769,-33.6126
"97","19463",150.73618,-33.61565
"98","19465",150.736,-33.61623
"99","19467",150.73612,-33.61745
"100","19475",150.7354,-33.6213
"101","19477",150.73577,-33.62083
"102","19479",150.72268,-33.61517
"103","19481",150.72482,-33.61583
"104","19483",150.72493,-33.61353
"105","19485",150.72975,-33.61285
"106","19487",150.7304,-33.60465
"107","19489",150.7298,-33.60518
"108","19491",150.73035,-33.60617
"109","19493",150.73138,-33.60942
"110","19495",150.7324,-33.60955
"111","19497",150.7254,-33.60897
"112","19499",150.7284,-33.6113
"113","19501",150.72577,-33.61158
"114","19503",150.72258,-33.60885
"115","19505",150.72878,-33.6145
"116","19507",150.71983,-33.61007
"117","19511",150.72095,-33.61255
"118","19515",150.72173,-33.61572
"119","19517",150.73283,-33.61737
"120","401548",150.73224,-34.04879
"121","401549",150.73213,-34.0494
"122","401550",150.73091,-34.0494
"123","401551",150.73294,-34.0492
"124","401552",150.86621,-33.77004
"125","401553",150.73021,-34.04907
"126","401554",150.85921,-33.77502
"127","401555",150.86093,-33.77386
"128","401556",150.88248,-33.61367
"129","401557",150.87872,-33.61544
"130","401558",150.87895,-33.61405
