sampleID,longitude,latitude,bio12,bio1,et0_v3_yr,ai_v3_yr
"10714",140.6958,-34.0597,266.00000,17.55267,2208.00000,1204.00000
"10716",140.7354,-34.05624,266.00000,17.58800,2200.00000,1213.00000
"10718",140.7064,-34.03715,264.00000,17.61733,2214.00000,1192.00000
"10720",140.719,-33.9556,270.00000,17.46267,2204.00000,1233.00000
"12424",148.3395,-42.1074,727.00000,12.64583,1218.00000,5883.00000
"12426",148.340808,-42.106246,727.00000,12.64583,1218.00000,5883.00000
"12428",148.336683,-42.105769,727.00000,12.64583,1218.00000,5883.00000
"12430",148.2641,-42.1685,698.00000,12.57833,,0.00000
"12432",148.2791,-42.1738,698.00000,12.57833,1198.00000,5833.00000
"12438",148.3021,-42.0578,722.00000,12.63229,,0.00000
"12446",146.625,-42.6735,1396.00000,7.21600,856.00000,17466.00000
"12447",146.6711,-42.6793,1105.00000,9.37217,980.00000,13055.00000
"12459",148.798917,-35.423567,1010.00000,10.14133,1256.00000,8020.00000
"12461",148.797583,-35.423733,1010.00000,10.14133,1256.00000,8020.00000
"12463",148.797883,-35.423883,1010.00000,10.14133,1256.00000,8020.00000
"12465",148.79855,-35.4214,1010.00000,10.14133,1256.00000,8020.00000
"12467",148.79595,-35.42375,1010.00000,10.14133,1256.00000,8020.00000
"12469",148.7968,-35.4235,1010.00000,10.14133,1256.00000,8020.00000
"12471",148.797167,-35.423867,1010.00000,10.14133,1256.00000,8020.00000
"12473",148.796767,-35.42325,1010.00000,10.14133,1256.00000,8020.00000
"12475",148.796583,-35.42385,1010.00000,10.14133,1256.00000,8020.00000
"12477",148.7961,-35.422617,1010.00000,10.14133,1256.00000,8020.00000
"12479",148.796383,-35.423183,1010.00000,10.14133,1256.00000,8020.00000
"12481",142.219292,-32.526047,270.00000,18.48633,2301.00000,1172.00000
"12483",141.898047,-29.055658,230.00000,20.91117,2631.00000,858.00000
"12485",141.352819,-29.035917,193.00000,21.34867,2749.00000,694.00000
"12487",144.111706,-29.945633,289.00000,20.65783,2406.00000,1184.00000
"12489",142.717778,-30.395,223.00000,20.34300,2516.00000,886.00000
"12491",149.0076,-35.881,775.00000,8.96483,1269.00000,5693.00000
"12493",149.0083,-35.8811,775.00000,8.96483,1269.00000,5693.00000
"12495",149.0097,-35.876683,775.00000,8.96483,1267.00000,5719.00000
"12497",149.01025,-35.876933,775.00000,8.96483,1267.00000,5719.00000
"12560",149.0076,-35.881,775.00000,8.96483,1269.00000,5693.00000
"12562",149.0083,-35.8811,775.00000,8.96483,1269.00000,5693.00000
"12564",149.0097,-35.876683,775.00000,8.96483,1267.00000,5719.00000
"12566",149.01025,-35.876933,775.00000,8.96483,1267.00000,5719.00000
"12568",149.01088,-35.874867,735.00000,9.38300,1281.00000,5431.00000
"12570",149.01165,-35.874817,735.00000,9.38300,1281.00000,5431.00000
"12572",149.0076,-35.881,775.00000,8.96483,1269.00000,5693.00000
"12574",149.0083,-35.8811,775.00000,8.96483,1269.00000,5693.00000
"12576",149.0097,-35.876683,775.00000,8.96483,1267.00000,5719.00000
"12578",149.01025,-35.876933,775.00000,8.96483,1267.00000,5719.00000
"12580",149.01088,-35.874867,735.00000,9.38300,1281.00000,5431.00000
"12582",149.01165,-35.874817,735.00000,9.38300,1281.00000,5431.00000
"12816",145.447883,-16.103417,3102.00000,22.73317,1736.00000,20809.00000
"12818",145.447217,-16.102983,3102.00000,22.73317,1736.00000,20809.00000
"12819",145.447883,-16.103417,3102.00000,22.73317,1736.00000,20809.00000
"12824",145.630883,-17.121083,2634.00000,20.53067,1570.00000,15691.00000
"12828",145.61195,-17.1036,2384.00000,19.30817,1505.00000,18845.00000
