Sample	Genome	Coverage	Bases
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	0	9791030
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	1	612653
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	2	148879
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	3	66038
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	4	39457
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	5	30018
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	6	23506
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	7	18291
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	8	14672
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	9	12506
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	10	11082
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	11	9319
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	12	8423
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	13	6985
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	14	6608
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	15	6022
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	16	5323
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	17	4853
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	18	4646
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	19	4229
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	20	3875
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	21	3261
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	22	2778
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	23	2825
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	24	2640
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	25	2418
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	26	2286
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	27	2341
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	28	2062
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	29	2032
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	30	1921
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	31	1712
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	32	1543
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	33	1478
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	34	1555
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	35	1446
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	36	1431
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	37	1469
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	38	1419
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	39	1119
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	40	1046
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	41	942
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	42	942
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	43	839
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	44	839
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	45	625
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	46	691
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	47	640
12446_H3NJ2BCXX-2_R1p.fastq.gz	GCA_012922115.1_ASM1292211v1_genomic	48	623
