COG20_CATEGORY	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Medium	p_Small	p_Large	N_Medium	N_Small	N_Large
General function prediction only!!!Cell wall/membrane/envelope biogenesis!!!Cell motility!!!Extracellular structures!!!Cell wall/membrane/envelope biogenesis	60.22359413696658	8.367827002683288e-14	3.7655221512074795e-11	Large	R!!!M!!!N!!!W!!!M	GC_00012585	0.0132	0	0.4667	151	15	15
Amino acid transport and metabolism!!!Nucleotide transport and metabolism!!!Amino acid transport and metabolism	47.953368442866164	3.8641888968411265e-11	8.694425017892535e-9	Large	E!!!F!!!E	GC_00010408	0.0397	0	0.5333	151	15	15
Cell wall/membrane/envelope biogenesis!!!Cell wall/membrane/envelope biogenesis!!!Posttranslational modification, protein turnover, chaperones	46.47048889733578	8.110759992397083e-11	1.2166139988595624e-8	Medium	M!!!M!!!O	GC_00005178, GC_00011071, GC_00029799	0.7285	0.0667	0.0667	151	15	15
Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!Secondary metabolites biosynthesis, transport and catabolism	45.46822044120408	1.3387558457430813e-10	1.5061003264609664e-8	Small, Large	I!!!Q!!!Q	GC_00014849, GC_00018376, GC_00024889, GC_00073412	0.0331	0.1333	0.5333	151	15	15
Transcription!!!Signal transduction mechanisms!!!Signal transduction mechanisms	44.11858151891988	2.6288859688955396e-10	2.3659973720059856e-8	Medium, Large	K!!!T!!!T	GC_00004660, GC_00013982, GC_00023509, GC_00037653	0.8543	0.1333	0.8667	151	15	15
Carbohydrate transport and metabolism!!!Lipid transport and metabolism	43.29578543955244	3.966793993612462e-10	2.9750954952093466e-8	Large	G!!!I	GC_00009648	0.0662	0	0.6	151	15	15
Translation, ribosomal structure and biogenesis!!!Defense mechanisms	39.49401081544357	2.654510926430355e-9	1.616904589759639e-7	Medium	J!!!V	GC_00006289, GC_00013320, GC_00014394, GC_00017161, GC_00018021, GC_00021151, GC_00028732, GC_00033248, GC_00036926, GC_00038306, GC_00040615, GC_00047323, GC_00049330, GC_00051842, GC_00051911, GC_00066540, GC_00073759	0.7947	0.0667	0.4667	151	15	15
Coenzyme transport and metabolism!!!Translation, ribosomal structure and biogenesis!!!General function prediction only	39.334776235332725	2.8744970484615804e-9	1.616904589759639e-7	Medium	H!!!J!!!R	GC_00006021	0.6556	0.0667	0	151	15	15
Signal transduction mechanisms!!!Replication, recombination and repair	38.498372399281564	4.367014685381922e-9	2.1835073426909608e-7	Medium	T!!!L	GC_00006457, GC_00021797, GC_00024324, GC_00032179, GC_00041201, GC_00041244, GC_00041418, GC_00044617, GC_00047960	0.6755	0.1333	0	151	15	15
Coenzyme transport and metabolism!!!Translation, ribosomal structure and biogenesis	38.2598600686081	4.920134180749364e-9	2.2140603813372138e-7	Large	H!!!J	GC_00017309, GC_00046320, GC_00051693	0.0132	0	0.3333	151	15	15
Intracellular trafficking, secretion, and vesicular transport!!!Cell wall/membrane/envelope biogenesis!!!Intracellular trafficking, secretion, and vesicular transport	38.00346217726714	5.593105890326056e-9	2.2880887733152046e-7	Medium	U!!!M!!!U	GC_00006764	0.6159	0	0	151	15	15
Defense mechanisms!!!Defense mechanisms	36.01359169921419	1.5126829984960664e-8	5.672561244360249e-7	Large	V!!!V	GC_00010291, GC_00021132, GC_00028553, GC_00048601, GC_00060004, GC_00066741, GC_00077091	0.0861	0	0.6	151	15	15
Signal transduction mechanisms!!!Posttranslational modification, protein turnover, chaperones	34.97184475177341	2.5465980439788408e-8	8.478320574949441e-7	Medium	T!!!O	GC_00006443, GC_00064506	0.6225	0.0667	0	151	15	15
Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms!!!Transcription	34.814842442244164	2.7545649653721825e-8	8.478320574949441e-7	Small	T!!!T!!!T!!!T!!!T!!!K	GC_00017956	0.0066	0.2667	0	151	15	15
Inorganic ion transport and metabolism!!!Transcription	34.67621159029656	2.9522717206830912e-8	8.478320574949441e-7	Medium, Large	P!!!K	GC_00004233, GC_00016603	0.894	0.3333	0.9333	151	15	15
Cell motility!!!Extracellular structures!!!Transcription!!!Signal transduction mechanisms	34.63448425339916	3.0145139822042455e-8	8.478320574949441e-7	Large	N!!!W!!!K!!!T	GC_00010831, GC_00016427, GC_00016859, GC_00018815, GC_00039267	0.0993	0.1333	0.6667	151	15	15
General function prediction only!!!Amino acid transport and metabolism!!!General function prediction only	34.36217646615505	3.4542056267138605e-8	9.143485482477867e-7	Medium	R!!!E!!!R	GC_00006233, GC_00019080, GC_00037661	0.6689	0	0.2	151	15	15
Posttranslational modification, protein turnover, chaperones!!!Defense mechanisms	33.64430123338075	4.945757445020756e-8	1.236439361255189e-6	Medium	O!!!V	GC_00006843, GC_00010429, GC_00014525, GC_00024026, GC_00026576, GC_00065311, GC_00078399	0.7152	0	0.4	151	15	15
Coenzyme transport and metabolism!!!Cell cycle control, cell division, chromosome partitioning	33.28930107447279	5.9063627777077875e-8	1.3988753947202655e-6	Medium	H!!!D	GC_00005227, GC_00043285	0.7351	0	0.6	151	15	15
Signal transduction mechanisms!!!General function prediction only!!!General function prediction only	33.02478193619476	6.741549373329007e-8	1.5168486089990264e-6	Medium, Large	T!!!R!!!R	GC_00005170, GC_00006006, GC_00006013, GC_00007464, GC_00021715, GC_00022517, GC_00029785, GC_00030981, GC_00043889, GC_00045549, GC_00048750, GC_00050855, GC_00071497	0.9139	0.4	0.9333	151	15	15
