COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Medium	p_Small	p_Large	N_Medium	N_Small	N_Large
Acetoacetate decarboxylase (Adc) (PDB:3BGT)	62.8135351611329	2.2919975303660542e-14	8.407046941382687e-11	Medium, Large	COG4689	GC_00004896, GC_00005953, GC_00011141, GC_00011886, GC_00014023, GC_00026864, GC_00027410, GC_00028658, GC_00036192, GC_00048184, GC_00052707, GC_00054245, GC_00078758	0.9669	0.4	1	151	15	15
H+/gluconate symporter GntT or related permease, GntP/DsdX family (GntT)	61.03766630933887	5.569794433519047e-14	1.0215002991073932e-10	Medium, Large	COG2610	GC_00003666, GC_00013858, GC_00022461, GC_00023842, GC_00033729	0.9139	0.2	1	151	15	15
Tetratricopeptide (TPR) repeat (TPR) (PDB:3AS4)!!!ADP-heptose:LPS heptosyltransferase (RfaF) (PDB:1PSW)!!!Type IV pilus assembly protein PilF/PilW (PilF) (PDB:2VQ2) (PUBMED:16403447)!!!Lipoprotein NlpI, contains TPR repeats (NlpI) (PDB:5WQL)	60.22359413696658	8.367827002683288e-14	1.02310631486141e-10	Large	COG0457!!!COG0859!!!COG3063!!!COG4785	GC_00012585	0.0132	0	0.4667	151	15	15
Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit (AtoD) (PDB:1K6D)	57.33280887034255	3.550902419116381e-13	3.2561775183297213e-10	Medium, Large	COG1788	GC_00004277, GC_00008526, GC_00017719, GC_00022118, GC_00024332, GC_00027427, GC_00032498, GC_00036477, GC_00038192, GC_00038227	0.9338	0.2667	0.9333	151	15	15
Beta-L-arabinofuranosidase, GH127 family (HybA1) (PDB:3WKW) (PUBMED:24385433)	55.43841774457046	9.15588952937918e-13	6.716760558752568e-10	Large	COG3533	GC_00009492, GC_00028803, GC_00031828, GC_00078094	0.0596	0	0.6667	151	15	15
Predicted nucleic acid-binding protein, contains PIN domain (PDB:5WZF)	52.47978426654601	4.019385308699429e-12	2.4571842187182507e-9	Small	COG2402	GC_00009924, GC_00066836	0.0331	0.5333	0	151	15	15
Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase) (Pta) (PDB:1QZT) (PUBMED:28754323)	49.78792689232188	1.544148424397538e-11	8.0913377438431e-9	Medium, Large	COG0280	GC_00004004, GC_00036393	0.8675	0.1333	0.9333	151	15	15
Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG (PucG) (PDB:3NNK)!!!O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent (MET17) (PDB:2CTZ)	47.953368442866164	3.8641888968411265e-11	1.7717306092016565e-8	Large	COG0075!!!COG2873	GC_00010408	0.0397	0	0.5333	151	15	15
Cell division protein DamX, binds to the septal ring, contains C-terminal SPOR domain (DamX)	46.32628422004075	8.71716362733755e-11	3.552728465008237e-8	Medium, Large	COG3266	GC_00003890, GC_00010916, GC_00021518, GC_00029202	0.9205	0.3333	1	151	15	15
Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)!!!RNA methyltransferase activator Trm112/YbaR (Trm112) (PDB:2KPI) (PUBMED:27986851;30010922)	46.00263773011628	1.0248354518085166e-10	3.7590964372336385e-8	Large	COG2226!!!COG2835	GC_00017309, GC_00051693	0.0066	0	0.3333	151	15	15
