"catalogID","Latitude","Longitude","Evaporation - annual mean","Evaporation - average","Humidity - annual mean relative 3pm","Aridity index - annual mean","Precipitation - annual","Precipitation - annual mean","WorldClim: Precipitation - annual","WorldClim: Precipitation - coldest quarter","WorldClim: Precipitation - driest month","WorldClim: Precipitation - driest quarter","WorldClim: Precipitation - seasonality","WorldClim: Precipitation - warmest quarter","WorldClim: Precipitation - wettest month","WorldClim: Precipitation - wettest quarter","Temperature - annual max mean","Temperature - annual min mean","WorldClim: Temperature - annual mean","WorldClim: Temperature - annual range","WorldClim: Temperature - coldest month min","WorldClim: Temperature - coldest quarter mean","WorldClim: Temperature - diurnal range mean","WorldClim: Temperature - driest quarter mean","WorldClim: Temperature - isothermality","WorldClim: Temperature - seasonality","WorldClim: Temperature - warmest month max","WorldClim: Temperature - warmest quarter mean","WorldClim: Temperature - wettest quarter mean","Lithology - mean age","Carbon - organic","Lithology - fertility","Nutrient status","Gross Primary Productivity","NDVI Mean","Fraction of Photosynthetically Active Radiation","NPP Mean"
7031,-31.24283403,136.7403888,261.27625,3985,51.997364,0.0663468,13.108334,13.108334,191,47,13,45,14,48,21,52,27.2925,13.440833,186,296,48,113,138,227,46,5609,344,257,121,2.9642596,0.09560392,3,1.95,0.0036,15,15,1
7035,-29.00203333,134.6857167,250.3725,3337,51.059017,0.050431572,11.515833,11.515833,170,34,9,30,30,59,21,59,29.0725,15.0675,205,304,59,130,145,144,47,5710,363,276,276,0.11193429,0.0022399228,2,2,0.0029,8,7,0
7039,-25.70963333,133.24855,255.15791,5575,48.447655,0.06568292,16.443333,16.443333,247,36,9,36,44,90,39,101,30.060833,14.844167,207,320,41,124,152,129,47,6194,361,281,271,1.5152113,0.13902232,2,1.15,0.0057,25,19,1
7041,-22.91015,132.6421,258.18292,6896,46.416817,0.07773407,21.595833,21.595833,292,37,8,31,49,122,43,123,32.195,16.340834,222,315,52,143,153,163,48,5763,367,288,280,1.5152113,0.21053469,2,1,0.0071,26,27,1
7043,-23.25241667,132.6403667,253.27542,6516,46.8209,0.08441113,22.48,22.48,289,40,9,34,44,114,40,115,31.3775,15.675,218,320,47,137,155,157,48,5902,367,287,278,3.230449,0.13878386,10,1,0.0081,24,24,1
7059,-17.87356667,127.8730167,265.3075,13561,46.716633,0.18877508,50.574165,50.574165,576,10,1,10,109,286,157,386,35.4625,20.625,268,263,121,208,139,208,52,4134,384,312,306,3.2844307,0.114340425,6,1.45,0.0096,30,25,1
7061,-17.67413333,125.2178,256.60165,14531,49.424603,0.2165337,55.156666,55.156666,653,16,0,10,119,312,195,469,36.5175,20.726667,272,261,123,217,143,233,54,3712,384,311,298,2.5845857,0.17894953,6,1.4,0.0073,33,35,1
7063,-17.50701667,123.7349,235.45334,14237,57.88536,0.23656797,54.460835,54.460835,557,13,0,4,130,245,180,433,36.356667,22.420834,278,222,145,230,125,266,56,3144,367,309,301,-0.33984628,0.11921348,2,1,0.0123,43,44,2
7067,-21.11651667,116.8285667,295.33334,7034,50.315613,0.077293,22.2575,22.2575,292,56,1,5,86,132,60,168,34.8575,21.348333,269,264,127,205,141,270,53,4548,391,320,319,3.4771214,0.10427145,11,1.5,0.005,21,15,0
7069,-22.57065,118.08065,269.37708,9836,43.34783,0.1160078,31.320833,31.320833,404,50,4,17,83,223,93,225,32.56167,18.175833,245,292,92,168,139,253,47,5548,384,308,303,3.423246,0.23495881,5,1.6,0.0039,26,27,0
7075,-28.05051667,120.5461667,250.71541,6597,51.647087,0.0914454,17.776667,17.776667,228,61,8,27,35,68,27,77,29.380001,15.644167,201,316,47,118,139,200,43,6279,363,280,274,3.5118833,0.08584509,5,1,0.0029,22,14,1
7077,-28.05314507,120.5453166,250.71541,6597,51.647087,0.0914454,17.776667,17.776667,228,61,8,27,35,68,27,77,29.380001,15.644167,201,316,47,118,139,200,43,6279,363,280,274,3.5118833,0.08584509,5,1,0.0029,22,14,1
7081,-30.4051,121.0622833,228.4375,6893,54.55679,0.1235756,20.384167,20.384167,268,85,14,45,29,64,37,94,27.291666,13.34,183,289,49,111,134,181,46,5473,338,252,121,3.5118833,0.3684365,11,1.15,0.0093,36,28,3
7083,-32.82003333,116.4136333,130.62791,16134,66.37025,0.83094597,59.199165,59.199165,764,407,10,46,77,46,156,407,23.630001,9.564167,151,262,44,97,130,212,49,4608,306,212,97,1.5152113,1.1553005,4,1,0.0218,63,47,5
7085,-32.58886667,116.4591,134.35208,15987,66.15148,0.7605148,55.84083,55.84083,744,394,11,48,75,48,149,394,23.866667,9.838333,152,266,43,96,130,215,48,4758,309,215,96,3.5118833,0.7337086,5,1,0.0241,64,58,6
7091,-31.86331667,126.9831,230.2075,6582,61.679188,0.10915113,20.130833,20.130833,294,94,14,53,28,56,38,105,24.268333,12.0425005,168,222,54,120,122,199,54,3583,276,211,129,1.4543111,0.21037294,4,1.1,0.0026,26,17,4
7093,-31.40915,130.9936833,214.73917,6239,64.82079,0.10911979,17.74,17.74,254,73,9,38,27,48,31,82,24.99,11.8575,177,249,55,125,140,222,56,3839,304,222,133,1.1395328,0.28039923,6,1.1,0.0047,28,16,5
7826,-35.14194473,150.7596025,146.9775,22686,79.28885,0.754886,100.5925,100.5925,1438,368,85,277,22,396,176,449,21.784166,14.355,167,163,82,124,75,129,46,3177,245,206,152,2.4393327,0.83752364,3,1,0.0272,52,43,20
7827,-35.12809248,150.7568768,148.26959,22686,79.201096,0.7274759,97.77334,97.77334,1438,368,85,277,22,396,176,449,22.113333,14.53,167,163,82,124,75,129,46,3177,245,206,152,0.11193429,-9553.321,5.4,1,0.0546,60,80,20
7829,-35.15368962,150.7536825,146.94458,22686,79.44654,0.7572474,100.925,100.925,1435,366,84,274,22,396,176,449,21.751667,14.348333,167,162,83,125,75,129,46,3194,245,206,152,0.11193429,1.1494408,6,1,0.0518,70,79,0
7831,-35.15304021,150.7352711,145.25708,22686,79.67216,0.7818928,103.055,103.055,1501,373,88,284,22,425,177,458,21.51,13.996667,161,164,76,118,77,123,46,3221,240,200,146,2.4393327,1.1570486,3,1,0.0721,67,90,13
