"","Prefix","sampleID","am_environment","ammonium_nitrogen_wt","ammonium_nitrogen_wt_meth","biotic_relationship","boron_hot_cacl2","boron_hot_cacl2_meth","clay","clay_meth","coarse_sand","coarse_sand_meth","collection_date","collection_permit","color","color_meth","conductivity","conductivity_meth","crop_rotation_1yr_since_present","crop_rotation_2yrs_since_present","crop_rotation_3yrs_since_present","crop_rotation_4yrs_since_present","crop_rotation_5yrs_since_present","database_schema_definitions_url","density","density_meth","depth","depth_lower","depth_upper","dtpa_copper","dtpa_copper_meth","dtpa_iron","dtpa_iron_meth","dtpa_manganese","dtpa_manganese_meth","dtpa_zinc","dtpa_zinc_meth","elev","env_broad_scale","env_local_scale","env_medium","exc_aluminium","exc_aluminium_meth","exc_calcium","exc_calcium_meth","exc_magnesium","exc_magnesium_meth","exc_potassium","exc_potassium_meth","exc_sodium","exc_sodium_meth","fine_sand","fine_sand_meth","fire","funding_agency","general_env_feature","geo_loc_name","gravel","gravel_meth","hyperspectral_analysis","hyperspectral_analysis_meth","lat_lon","latitude","local_class","local_class_meth","longitude","microbial_biomass","microbial_biomass_meth","nitrate_nitrogen","nitrate_nitrogen_meth","notes","nucl_acid_ext","organic_carbon","organic_carbon_meth","ph","ph_meth","ph_solid_h2o","ph_solid_h2o_meth","phosphorus_colwell","phosphorus_colwell_meth","potassium_colwell","potassium_colwell_meth","profile_position","samp_collect_device","samp_mat_process","sample_attribution","sample_database_file","sample_metadata_ingest_date","sample_metadata_ingest_file","sample_metadata_update_history","sample_site_location_description","sample_submitter","sample_type","sand","sand_meth","silt","silt_meth","slope_aspect","slope_gradient","source_mat_id","store_cond","sulphur","sulphur_meth","synonyms","texture","texture_meth","total_nitrogen","total_nitrogen_meth","url","utc_date_sampled","utc_time_sampled","vegetation_dom_grasses","vegetation_dom_grasses_meth","vegetation_dom_shrubs","vegetation_dom_shrubs_meth","vegetation_dom_trees","vegetation_dom_trees_meth","vegetation_total_cover","vegetation_type","water_content","water_content_soil_meth","bio12","bio1","et0_v3_yr","ai_v3_yr","AI","percent_duplicates","percent_gc","avg_sequence_length","percent_fails","total_sequences"
"1","102.100.100","10714","Soil",2,"meth_2.1","Free-living",0.33,"meth_2.1",8.82,"meth_2.1",75.41,"meth_2.1","2013-03-29T00:00:00","","BROR","",0.103,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,0.86,"meth_2.1",5,"meth_2.1",2.67,"meth_2.1",0.46,"meth_2.1",21,"1 Conservation and Natural Environments","1.1.4 Natural feature protection","Soil [ENVO_00001998]",0.041,"meth_2.1",7.71,"meth_2.1",1.1,"meth_2.1",0.48,"meth_2.1",0.07,"meth_2.1",13.8,"meth_2.1","","","Arid","Australia:South Australia [GAZ_00002791]","0","meth_2.1","DOI 10.5281/zenodo.6265730","meth_2.26","-34.0597 140.6958",-34.0597,"Calcarosol","meth_2.27",140.6958,NA,"",2,"meth_2.1","geo_loc_name: state/territory values derived from lat_lon using Nominatim","meth_3.1.1",0.48,"meth_2.1",7.8,"meth_2.1",8.4,"meth_2.1",10,"meth_2.1",187,"meth_2.1","","","","","AM_db_v4.2_202408091431.db","4/23/21","BASE_NEW_CKAN_Curated_depth_xlsx","soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","Chowilla","","Soil",89.21,"meth_2.1",1.97,"meth_2.1","82",0,"102.100.100/10714","frozen",2.8,"meth_2.1","","1","meth_2.1",NA,"","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/10714","3/29/13","","","","","","","",NA,"Shrubland",2.742230347,"meth_2.1",266,17.55267,2208,1204,0.1204,0.361004599247266,66,149.994026675995,0,17711579
"2","102.100.100","10716","Soil",3,"meth_2.1","Free-living",1.66,"meth_2.1",42.24,"meth_2.1",4.79,"meth_2.1","2013-03-29T00:00:00","","LTGR","",0.549,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,3.19,"meth_2.1",162.44,"meth_2.1",23.6,"meth_2.1",0.94,"meth_2.1",16,"1 Conservation and Natural Environments","1.1.4 Natural feature protection","Soil [ENVO_00001998]",0.049,"meth_2.1",20.24,"meth_2.1",6.72,"meth_2.1",1.38,"meth_2.1",3.8,"meth_2.1",34.83,"meth_2.1","","","Arid","Australia:South Australia [GAZ_00002791]","35","meth_2.1","DOI 10.5281/zenodo.6265730","meth_2.26","-34.05624 140.7354",-34.05624,"Vertosol","meth_2.27",140.7354,NA,"",2,"meth_2.1","geo_loc_name: state/territory values derived from lat_lon using Nominatim","meth_3.1.1",2.49,"meth_2.1",6.9,"meth_2.1",7.6,"meth_2.1",89,"meth_2.1",539,"meth_2.1","","","","","AM_db_v4.2_202408091431.db","4/23/21","BASE_NEW_CKAN_Curated_depth_xlsx","soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","Reny Island","","Soil",39.62,"meth_2.1",18.15,"meth_2.1","182",0,"102.100.100/10716","frozen",48.2,"meth_2.1","","2","meth_2.1",NA,"","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/10716","3/29/13","","","","","","","",NA,"Woodland",10.24887321,"meth_2.1",266,17.588,2200,1213,0.1213,0.460788646642641,67,149.993694417074,9.09090909090909,13521351
"3","102.100.100","10718","Soil",5,"meth_2.1","Free-living",0.79,"meth_2.1",65.29,"meth_2.1",0.72,"meth_2.1","2013-03-29T00:00:00","","GRWH","",0.534,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,3.28,"meth_2.1",105.19,"meth_2.1",32.34,"meth_2.1",0.43,"meth_2.1",19,"1 Conservation and Natural Environments","1.1.4 Natural feature protection","Soil [ENVO_00001998]",0.102,"meth_2.1",8.86,"meth_2.1",9.51,"meth_2.1",0.76,"meth_2.1",6.17,"meth_2.1",12.84,"meth_2.1","","","Arid","Australia:South Australia [GAZ_00002791]","25","meth_2.1","DOI 10.5281/zenodo.6265730","meth_2.26","-34.03715 140.7064",-34.03715,"Calcarosol","meth_2.27",140.7064,NA,"",3,"meth_2.1","geo_loc_name: state/territory values derived from lat_lon using Nominatim","meth_3.1.1",1.09,"meth_2.1",5.4,"meth_2.1",6.3,"meth_2.1",21,"meth_2.1",296,"meth_2.1","","","","","AM_db_v4.2_202408091431.db","4/23/21","BASE_NEW_CKAN_Curated_depth_xlsx","soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","Chowilla","","Soil",13.56,"meth_2.1",21.15,"meth_2.1","127",0,"102.100.100/10718","frozen",56.8,"meth_2.1","","1.5","meth_2.1",NA,"","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/10718","3/29/13","","","","","","","",NA,"Shrubland",11.51061776,"meth_2.1",264,17.61733,2214,1192,0.1192,0.392120757561798,65,149.993341607851,9.09090909090909,20424150
"4","102.100.100","10720","Soil",1e-10,"meth_2.1","Free-living",0.72,"meth_2.1",11.86,"meth_2.1",61.63,"meth_2.1","2013-03-29T00:00:00","","OR","",0.161,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,1.12,"meth_2.1",7.52,"meth_2.1",4.08,"meth_2.1",0.2,"meth_2.1",62,"1 Conservation and Natural Environments","1.1.4 Natural feature protection","Soil [ENVO_00001998]",0.06,"meth_2.1",8.01,"meth_2.1",1.46,"meth_2.1",0.65,"meth_2.1",0.77,"meth_2.1",22.54,"meth_2.1","","","Arid","Australia:South Australia [GAZ_00002791]","5","meth_2.1","DOI 10.5281/zenodo.6265730","meth_2.26","-33.9556 140.719",-33.9556,"Calcarosol","meth_2.27",140.719,NA,"",1e-10,"meth_2.1","geo_loc_name: state/territory values derived from lat_lon using Nominatim","meth_3.1.1",0.28,"meth_2.1",8.1,"meth_2.1",9.1,"meth_2.1",3,"meth_2.1",254,"meth_2.1","","","","","AM_db_v4.2_202408091431.db","4/23/21","BASE_NEW_CKAN_Curated_depth_xlsx","soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","Chowilla","","Soil",84.18,"meth_2.1",3.97,"meth_2.1","262",1,"102.100.100/10720","frozen",5.7,"meth_2.1","","1","meth_2.1",NA,"","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/10720","3/29/13","","","","","","","",NA,"Woodland",4.118050789,"meth_2.1",270,17.46267,2204,1233,0.1233,0.394977122105871,66,149.99425605715,0,17276112
"5","102.100.100","12426","Soil",9,"meth_2.1","Free-living",1.76,"meth_2.1",16.29,"meth_2.1",59.99,"meth_2.1","2013-07-16T00:00:00","","DKGR","",0.361,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,0.31,"meth_2.1",181.26,"meth_2.1",14.1,"meth_2.1",1.4,"meth_2.1",60,"1 Conservation and Natural Environments","1.1.3 National park","Soil [ENVO_00001998]",0.114,"meth_2.1",8.06,"meth_2.1",6.03,"meth_2.1",0.62,"meth_2.1",2.61,"meth_2.1",13.47,"meth_2.1","","","Coastal (coastal terrestrial including cliff; rocky shore)","Australia:Tasmania [GAZ_00007396]","0","meth_2.1","DOI 10.5281/zenodo.6265730","meth_2.26","-42.106246 148.340808",-42.106246,"Tenosols","meth_2.27",148.340808,NA,"",4,"meth_2.1","geo_loc_name: state/territory values derived from lat_lon using Nominatim","meth_3.1.1",4.25,"meth_2.1",4.9,"meth_2.1",5.9,"meth_2.1",9,"meth_2.1",251,"meth_2.1","","","","","AM_db_v4.2_202408091431.db","4/23/21","BASE_NEW_CKAN_Curated_depth_xlsx","All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","Freycinet NP","","Soil",73.46,"meth_2.1",10.25,"meth_2.1","",0,"102.100.100/12426","frozen",35,"meth_2.1","","1.5","meth_2.1",NA,"","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12426","7/16/13","","","","","","","",NA,"Woodland",10.67607004,"meth_2.1",727,12.64583,1218,5883,0.5883,0.614613632246048,64,150.692442775816,9.09090909090909,17767357
"6","102.100.100","12428","Soil",17,"meth_2.1","Free-living",1.66,"meth_2.1",16.15,"meth_2.1",61.45,"meth_2.1","2013-07-16T00:00:00","","DKGR","",0.286,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,0.46,"meth_2.1",82.9,"meth_2.1",21.75,"meth_2.1",1.06,"meth_2.1",45,"1 Conservation and Natural Environments","1.1.3 National park","Soil [ENVO_00001998]",0.042,"meth_2.1",15.36,"meth_2.1",5.12,"meth_2.1",0.71,"meth_2.1",1.16,"meth_2.1",14.27,"meth_2.1","","","Coastal (coastal terrestrial including cliff; rocky shore)","Australia:Tasmania [GAZ_00007396]","0","meth_2.1","DOI 10.5281/zenodo.6265730","meth_2.26","-42.105769 148.336683",-42.105769,"Tenosols","meth_2.27",148.336683,NA,"",10,"meth_2.1","geo_loc_name: state/territory values derived from lat_lon using Nominatim","meth_3.1.1",4.08,"meth_2.1",6.8,"meth_2.1",7.6,"meth_2.1",12,"meth_2.1",282,"meth_2.1","","","","","AM_db_v4.2_202408091431.db","4/23/21","BASE_NEW_CKAN_Curated_depth_xlsx","All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","Freycinet NP","","Soil",75.72,"meth_2.1",8.13,"meth_2.1","",2,"102.100.100/12428","frozen",26.4,"meth_2.1","","1.5","meth_2.1",NA,"","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12428","7/16/13","","","","","","","",NA,"Woodland",9.841119279,"meth_2.1",727,12.64583,1218,5883,0.5883,0.46168078304396,64,150.688254060155,9.09090909090909,13140447
"7","102.100.100","12432","Soil",2,"meth_2.1","Free-living",0.19,"meth_2.1",3.93,"meth_2.1",89.48,"meth_2.1","2013-07-16T00:00:00","","GRWH","",0.034,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,0.39,"meth_2.1",12.54,"meth_2.1",2.21,"meth_2.1",0.71,"meth_2.1",20,"1 Conservation and Natural Environments","1.1.3 National park","Soil [ENVO_00001998]",0.026,"meth_2.1",1.3,"meth_2.1",0.49,"meth_2.1",0.08,"meth_2.1",0.12,"meth_2.1",6.59,"meth_2.1","","","Coastal (coastal terrestrial including cliff; rocky shore)","Australia:Tasmania [GAZ_00007396]","0","meth_2.1","DOI 10.5281/zenodo.6265730","meth_2.26","-42.1738 148.2791",-42.1738,"Tenosols","meth_2.27",148.2791,NA,"",1,"meth_2.1","geo_loc_name: state/territory values derived from lat_lon using Nominatim","meth_3.1.1",0.93,"meth_2.1",4.8,"meth_2.1",5.8,"meth_2.1",1e-10,"meth_2.1",38,"meth_2.1","","","","","AM_db_v4.2_202408091431.db","4/23/21","BASE_NEW_CKAN_Curated_depth_xlsx","All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","Freycinet NP","","Soil",96.07,"meth_2.1",1e-10,"meth_2.1","",0,"102.100.100/12432","frozen",4.2,"meth_2.1","","1","meth_2.1",NA,"","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12432","7/16/13","","","","","","","",NA,"Dune",6.180223285,"meth_2.1",698,12.57833,1198,5833,0.5833,0.492926858032021,61,149.976187180943,9.09090909090909,17225386
"8","102.100.100","12446","Soil",39,"meth_2.1","Free-living",1.81,"meth_2.1",52.02,"meth_2.1",15.8,"meth_2.1","2013-07-18T00:00:00","","BR","",0.219,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,32.71,"meth_2.1",176.66,"meth_2.1",393.12,"meth_2.1",30.04,"meth_2.1",1035,"1 Conservation and Natural Environments","1.1.3 National park","Soil [ENVO_00001998]",0.628,"meth_2.1",22.88,"meth_2.1",7.91,"meth_2.1",1.49,"meth_2.1",0.96,"meth_2.1",17.93,"meth_2.1","","","Montane","Australia:Tasmania [GAZ_00007396]","0","meth_2.1","DOI 10.5281/zenodo.6265730","meth_2.26","-42.6735 146.625",-42.6735,"Tenosols","meth_2.27",146.625,NA,"",1e-10,"meth_2.1","geo_loc_name: state/territory values derived from lat_lon using Nominatim","meth_3.1.1",5.38,"meth_2.1",3.2,"meth_2.1",4.2,"meth_2.1",53,"meth_2.1",730,"meth_2.1","","","","","AM_db_v4.2_202408091431.db","4/23/21","BASE_NEW_CKAN_Curated_depth_xlsx","All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","Mt. Field NP","","Soil",33.73,"meth_2.1",14.25,"meth_2.1","",5,"102.100.100/12446","frozen",29.6,"meth_2.1","","1","meth_2.1",NA,"","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12446","7/18/13","","","","","","","",NA,"Forest",74.41482445,"meth_2.1",1396,7.216,856,17466,1.7466,0.698071432106389,66,149.573312071764,0,15541656
"9","102.100.100","12447","Soil",10,"meth_2.1","Free-living",0.7,"meth_2.1",13.45,"meth_2.1",54.82,"meth_2.1","2013-07-18T00:00:00","","LTBR","",0.051,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,0.97,"meth_2.1",376.22,"meth_2.1",14.69,"meth_2.1",6.21,"meth_2.1",692,"1 Conservation and Natural Environments","1.1.3 National park","Soil [ENVO_00001998]",4.127,"meth_2.1",0.64,"meth_2.1",0.6,"meth_2.1",0.23,"meth_2.1",0.1,"meth_2.1",24.46,"meth_2.1","","","Montane","Australia:Tasmania [GAZ_00007396]","75","meth_2.1","DOI 10.5281/zenodo.6265730","meth_2.26","-42.6793 146.6711",-42.6793,"Tenosols","meth_2.27",146.6711,NA,"",1e-10,"meth_2.1","geo_loc_name: state/territory values derived from lat_lon using Nominatim","meth_3.1.1",4.43,"meth_2.1",3.7,"meth_2.1",4.6,"meth_2.1",15,"meth_2.1",130,"meth_2.1","","","","","AM_db_v4.2_202408091431.db","4/23/21","BASE_NEW_CKAN_Curated_depth_xlsx","All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","Mt. Field NP","","Soil",79.28,"meth_2.1",7.27,"meth_2.1","",0,"102.100.100/12447","frozen",9,"meth_2.1","","1","meth_2.1",NA,"","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12447","7/18/13","","","","","","","",NA,"Forest",32.64758497,"meth_2.1",1105,9.37217,980,13055,1.3055,0.564904931602754,60,149.529480795621,0,15740603
"10","102.100.100","12459","Soil",11,"meth_2.1","Free-living",0.52,"meth_2.1",11.96,"meth_2.1",52.99,"meth_2.1","2013-08-14T00:00:00","","BR","",0.042,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,0.59,"meth_2.1",85.61,"meth_2.1",69.51,"meth_2.1",4.22,"meth_2.1",1281,"1 Conservation and Natural Environments","1.1.3 National park","Soil [ENVO_00001998]",3.088,"meth_2.1",1.84,"meth_2.1",0.68,"meth_2.1",0.63,"meth_2.1",0.04,"meth_2.1",14.04,"meth_2.1","","","Temperate","Australia:Australian Capital Territory [GAZ_00002788]","0","meth_2.1","DOI 10.5281/zenodo.6265730","meth_2.26","-35.423567 148.798917",-35.423567,"Tenosols","meth_2.27",148.798917,NA,"",1e-10,"meth_2.1","geo_loc_name: state/territory values derived from lat_lon using Nominatim","meth_3.1.1",4.58,"meth_2.1",4.2,"meth_2.1",5.2,"meth_2.1",12,"meth_2.1",247,"meth_2.1","","","","","AM_db_v4.2_202408091431.db","4/23/21","BASE_NEW_CKAN_Curated_depth_xlsx","All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx; Lat_lon_reduce_sig_fig_curation_round_6dec_UPDATE_xlsx;","Namadgi NP","","Soil",67.02,"meth_2.1",21.02,"meth_2.1","",0,"102.100.100/12459","frozen",3.2,"meth_2.1","","1","meth_2.1",NA,"","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12459","8/14/13","","","","","","","",NA,"Woodland",30.1335175,"meth_2.1",1010,10.14133,1256,8020,0.802,0.585745223806327,60,150.7332389258,0,15096959
