"SampleID"	"Organization"	"Title"	"Description"	"URL"	"Tags"	"LatLong"	"long"	"lat"	"LatLongType"	"License"	"ammonium_nitrogen"	"analysis_software_version"	"archive_ingestion_date"	"australian_soil_classification"	"boron"	"broad_land_use"	"clay_percent"	"color"	"conductivity"	"contextual_data_submission_date"	"course_sand_percent"	"data_generated"	"data_type"	"dataset_url"	"date_of_transfer"	"date_sampled"	"depth"	"description"	"detailed_land_use"	"copper"	"iron"	"manganese"	"zinc"	"elevation"	"environment"	"extractable_aluminium"	"extractable_calcium"	"extractable_magnesium"	"extractable_potassium"	"extractable_sodium"	"facility"	"find_sand_percent"	"flow_id"	"folder_name"	"general_ecological_zone"	"geo_loc..country.subregion."	"gravel_percent"	"insert_size_range"	"latitude..decimal.degrees."	"library_construction_protocol"	"license_id"	"location_description"	"longitude..decimal.degrees."	"name"	"ncbi_bioproject_accession"	"ncbi_biosample_accession"	"nitrate_nitrogen"	"notes"	"organic_carbon_percent"	"ph_level_cacl2"	"ph_level_h2o"	"phosphorus_colwell"	"potassium_colwell"	"read_length"	"sample_extraction_id"	"sample_id"	"sample_submission_date"	"sample_type"	"sand_percent"	"sequencer"	"silt_percent"	"slope_percent"	"slope_aspect"	"soil_moisture_percent"	"sulfur"	"texture"	"ticket"	"title"	"vegetation_type"	"Inorganic_Nitrogen"	"texture_2"	"catalogID"	"MAT"	"MAP"	"AridityIndex"	"NPP"	"organic_Carbon_extrametadata"
"Sample_12824"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 12824_2"	"BASE Metagenomics 12824_2"	"bpa-base-metagenomics-12824_2-hcgl7bcxx"	NA	"145.63088333, -17.12108333"	145.63088333	-17.12108333	" Point"	"CC-BY-3.0-AU"	14	"1.8.2"	"2015-11-20"	"Dermosols"	0.64	"Conservation and Natural Environments"	25.09	"BRYW"	0.05	NA	58.33	"2015-11-20"	"Metagenomics"	"https://downloads.bioplatforms.com/bpa/base/raw/metagenomics/agrf/BRLOPS-738/20151120_AGRF_BPA_BASE_HFLF3BCXX/"	"2015-11-20"	"2013-10-29"	0	"BASE metagenomics"	"Conservation and Natural Environments - Nature conservation - National park"	0.44	109.96	5.19	17.28	718	"Soil"	1.648	0.33	0.37	0.18	0.06	"AGRF"	10.29	"HCGL7BCXX"	"20151120_AGRF_BPA_BASE_HFLF3BCXX"	"Tropical (wet)"	"Australia"	15	"550bp"	-17.12108333	"TruSeq PCR Free DNA"	"CC-BY-3.0-AU"	"Danbulla"	145.63088333	"bpa-base-metagenomics-12824_2-hcgl7bcxx"	"PRJNA317932"	"SAMN04874266"	7	"BASE Metagenomics 12824_2"	3.23	4.1	4.9	8	72	"150bp"	"12824_2"	"102.100.100/12824"	"2015-11-20"	"Soil"	68.62	"HiSeq 2500"	6.29	8	320	22	6.9	1.5	"BRLOPS-738"	"BASE Metagenomics 12824_2"	"Forest"	21	31.38	12824	21	133.55167	1.0491668	17	1.2477214
"Sample_12432"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 12432_2"	"BASE Metagenomics 12432_2"	"bpa-base-metagenomics-12432_2-hfkw2bcxx"	NA	"148.2791, -42.1738"	148.2791	-42.1738	" Point"	"CC-BY-3.0-AU"	2	"1.8.2"	"2015-11-20"	"Dermosols"	0.19	"Conservation and Natural Environments"	3.93	"GRWH"	0.034	NA	89.48	"2015-11-20"	"Metagenomics"	"https://downloads.bioplatforms.com/bpa/base/raw/metagenomics/agrf/BRLOPS-738/20151120_AGRF_BPA_BASE_HFLF3BCXX/"	"2015-11-20"	"2013-07-16"	0	"BASE metagenomics"	"Conservation and Natural Environments - Nature conservation - National park"	0.39	12.54	2.21	0.71	20	"Soil"	0.026	1.3	0.49	0.08	0.12	"AGRF"	6.59	"HFKW2BCXX"	"20151120_AGRF_BPA_BASE_HFLF3BCXX"	"Coastal"	"Australia"	0	"550bp"	-42.1738	"TruSeq PCR Free DNA"	"CC-BY-3.0-AU"	"Freycinet NP"	148.2791	"bpa-base-metagenomics-12432_2-hfkw2bcxx"	"PRJNA317932"	"SAMN04874124"	1	"BASE Metagenomics 12432_2"	0.93	4.8	5.8	1e-10	38	"150bp"	"12432_2"	"102.100.100/12432"	"2015-11-20"	"Soil"	96.07	"HiSeq 2500"	1e-10	0	NA	6.1802232855	4.2	1	"BRLOPS-738"	"BASE Metagenomics 12432_2"	"Dune"	3	3.9300000001	12432	12.7	52.32763	0.7699176	11	66.45424
"Sample_7912"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 7912_1"	"BASE Metagenomics 7912_1"	"bpa-base-metagenomics-7912_1-h33cgbcxx"	NA	"118.861483888, -34.0944505555"	118.861483888	-34.0944505555	" Point"	"CC-BY-3.0-AU"	2	"1.8.2"	"2015-06-19"	"Tenosols"	0.52	"Conservation and Natural Environments"	8.01	"GRYW"	0.068	NA	71.95	"2015-06-19"	"Metagenomics"	""	"2015-06-19"	"2013-03-20"	0	"BASE metagenomics"	"Conservation and Natural Environments - Other minimal use - Residual native cover"	0.17	79.2	1.52	0.45	185.4	"Soil"	0.222	2.29	1.08	0.12	0.24	"AGRF"	19.03	"H33CGBCXX"	"20150619_AGRF_BPA_BASE_H33CGBCXX"	"Temperate"	"Australia"	10	"550bp"	-34.0944505555	"TruSeq DNA nano"	"CC-BY-3.0-AU"	"Peniup 3"	118.861483888	"bpa-base-metagenomics-7912_1-h33cgbcxx"	"PRJNA317932"	"SAMN04873713"	1	"BASE Metagenomics 7912_1"	1.59	4.8	5.7	2	46	"150bp"	"7912_1"	"102.100.100/7912"	"2015-06-19"	"Soil"	90.98	"HiSeq 2500"	1.01	3	NA	4.553794829	5.7	1.5	"BRLOPS-657"	"BASE Metagenomics 7912_1"	"Woodland"	3	9.02	7912	15.8	33.62417	0.3681285	4	0.7394907
"Sample_15885"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 15885_1"	"BASE Metagenomics 15885_1"	"bpa-base-metagenomics-15885_1-hfmktbcxx"	NA	"141.50677, -13.74184"	141.50677	-13.74184	" Point"	"CC-BY-3.0-AU"	4	"1.8.2"	"2015-11-23"	""	0.53	"Conservation and Natural Environments"	33.7	"GR"	0.547	NA	52.56	"2015-11-23"	"HiSeq"	"https://downloads.bioplatforms.com/bpa/base/raw/metagenomics/ramaciotti/BRLOPS-739/"	"2015-11-20"	""	0	"BASE metagenomics"	""	0.67	272.09	6.27	1.49	NA	"Soil"	1.574	2.52	2.66	0.34	0.96	"RAMACIOTTI"	7.4	"HFMKTBCXX"	"20151113_UNSW_BPA_BASE_HFMKTBCXX"	""	"Australia"	5	"300-1000bp"	-13.74184	"TruSeq Nano"	"CC-BY-3.0-AU"	"Indicator unfenced"	141.50677	"bpa-base-metagenomics-15885_1-hfmktbcxx"	"PRJNA317932"	"SAMN07483671"	65	"BASE Metagenomics 15885_1"	4.67	4	4.5	35	169	"150bp"	"15885_1"	"102.100.100/15885"	"2015-11-20"	"Soil"	59.96	"HiSeq 2500"	6.34	0	NA	NA	158	2	"BRLOPS-739"	"BASE Metagenomics 15885_1"	""	69	40.04	15885	26.7	128.23083	0.80127513	11	751.2236
"Sample_12481"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 12481_1"	"BASE Metagenomics 12481_1"	"bpa-base-metagenomics-12481_1-h2tfjbcxx"	NA	"142.219292, -32.526047"	142.219292	-32.526047	" Point"	"CC-BY-3.0-AU"	1	"1.8.2"	"2015-06-02"	""	0.92	"Conservation and Natural Environments"	18.58	"BROR"	0.159	NA	49.49	"2015-06-02"	"Metagenomics"	""	""	"2014-03-10"	0	"BASE metagenomics"	"Conservation and Natural Environments - Nature conservation - National park"	0.58	2.18	1.53	0.63	61	"Soil"	0.053	10.73	2.59	0.51	0.85	"RAMACIOTTI"	28.01	"H2TFJBCXX"	"20150514_UNSW_BPA_BASE_H2TFJBCXX"	"Arid"	"Australia"	5	"300-1000bp"	-32.526047	"TruSeq Nano"	"CC-BY-3.0-AU"	"Kinchega NP"	142.219292	"bpa-base-metagenomics-12481_1-h2tfjbcxx"	"PRJNA317932"	"SAMN04874166"	3	"BASE Metagenomics 12481_1"	0.17	8.1	9	19	198	"150bp"	"12481_1"	"102.100.100/12481"	""	"Soil"	77.5	"HiSeq2500"	3.92	1	NA	3.6466999445	9.2	2	"BRLOPS-638"	"BASE Metagenomics 12481_1"	"Shrubland"	4	22.5	12481	18.4	19.3275	0.13386944	2	0.26325795
"Sample_12560"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 12560_1"	"BASE Metagenomics 12560_1"	"bpa-base-metagenomics-12560_1-h3wl3bcxx"	NA	"149.0076, -35.881"	149.0076	-35.881	" Point"	"CC-BY-3.0-AU"	6	"1.8.2"	"2015-06-05"	""	0.59	"Conservation and Natural Environments"	26.23	"DKGR"	0.057	NA	23.87	"2015-06-05"	"Metagenomics"	""	"2015-06-05"	"2014-11-04"	0	"BASE metagenomics"	"Conservation and Natural Environments - Nature conservation - National park"	1.65	229.9	46.41	12.57	1093	"Soil"	0.075	10.63	3.69	0.52	0.04	"AGRF"	21.35	"H3WL3BCXX"	"20150605_AGRF_BPA_BASE_H3WL3BCXX"	"Temperate"	"Australia"	5	"670bp"	-35.881	"TruSeq DNA nano"	"CC-BY-3.0-AU"	"Namadgi NP"	149.0076	"bpa-base-metagenomics-12560_1-h3wl3bcxx"	"PRJNA317932"	"SAMN04874215"	6	"BASE Metagenomics 12560_1"	4.41	5	5.7	27	234	"150bp"	"12560_1"	"102.100.100/12560"	"2015-06-05"	"Soil"	45.22	"HiSeq 2500"	28.54	0	NA	21.8453510436	5.6	2	"BRLOPS-651"	"BASE Metagenomics 12560_1"	"Grassland"	12	54.77	12560	9.2	50.003334	0.55037946	13	3.975982
"Sample_8164"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 8164_1"	"BASE Metagenomics 8164_1"	"bpa-base-metagenomics-8164_1-h3vfcbcxx"	NA	"131.0213, -25.3457"	131.0213	-25.3457	" Point"	"CC-BY-3.0-AU"	2	"1.8.2"	"2015-06-29"	"Calcarosols"	0.21	"Conservation and Natural Environments"	5.9	"BRRD"	0.043	NA	70.97	"2015-06-29"	"Metagenomics"	""	"2015-06-29"	"2012-11-12"	0	"BASE metagenomics"	"Conservation and Natural Environments - Nature conservation - National park"	0.21	2.34	4.79	0.33	514	"Soil"	0.051	5.21	0.42	0.37	1e-10	"AGRF"	20.16	"H3VFCBCXX"	"20150629_AGRF_BPA_BASE_H3VFCBCXX"	"Arid"	"Australia"	0	"550bp"	-25.3457	"TruSeq DNA nano"	"CC-BY-3.0-AU"	"Uluru"	131.0213	"bpa-base-metagenomics-8164_1-h3vfcbcxx"	"PRJNA317932"	"SAMN04873813"	1	"BASE Metagenomics 8164_1"	0.3	7.2	7.9	13	171	"150bp"	"8164_1"	"102.100.100/8164"	"2015-06-29"	"Soil"	91.13	"HiSeq 2500"	2.97	0	NA	0.5262513768	2.1	2	"BRLOPS-660"	"BASE Metagenomics 8164_1"	"Grassland"	3	8.87	8164	21	20.370834	0.077098794	2	0.12806657
"Sample_9462"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 9462_1"	"BASE Metagenomics 9462_1"	"bpa-base-metagenomics-9462_1-h3wl3bcxx"	NA	"148.7989, -35.43457"	148.7989	-35.43457	" Point"	"CC-BY-3.0-AU"	5	"1.8.2"	"2015-06-05"	"Rudosols"	0.33	"Conservation and Natural Environments"	11.91	"GRBR"	0.046	NA	49.26	"2015-06-05"	"Metagenomics"	""	"2015-06-05"	"2013-06-14"	0	"BASE metagenomics"	"Conservation and Natural Environments - Nature conservation - National park"	0.51	68.87	31.76	3.65	1101	"Soil"	0.814	5.61	1.22	0.59	0.03	"AGRF"	19.89	"H3WL3BCXX"	"20150605_AGRF_BPA_BASE_H3WL3BCXX"	"Temperate"	"Australia"	15	"670bp"	-35.43457	"TruSeq DNA nano"	"CC-BY-3.0-AU"	"Namadgi NP"	148.7989	"bpa-base-metagenomics-9462_1-h3wl3bcxx"	"PRJNA317932"	"SAMN04874006"	1e-10	"BASE Metagenomics 9462_1"	2.68	4.9	5.7	13	223	"150bp"	"9462_1"	"102.100.100/9462"	"2015-06-05"	"Soil"	69.15	"HiSeq 2500"	18.94	40	NA	20.63	2.9	2	"BRLOPS-651"	"BASE Metagenomics 9462_1"	"Forest"	5.0000000001	30.85	9462	9.6	85.97583	1.1314029	15	4.833793
"Sample_12830"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 12830_2"	"BASE Metagenomics 12830_2"	"bpa-base-metagenomics-12830_2-hcwfybcxx"	NA	"145.62021667, -17.09208333"	145.62021667	-17.09208333	" Point"	"CC-BY-3.0-AU"	27	"1.8.2"	"2015-11-20"	""	0.73	"Conservation and Natural Environments"	28.53	"BRRD"	0.079	NA	49.36	"2015-11-20"	"Metagenomics"	"https://downloads.bioplatforms.com/bpa/base/raw/metagenomics/agrf/BRLOPS-738/20151120_AGRF_BPA_BASE_HFLF3BCXX/"	"2015-11-20"	"2013-10-29"	0	"BASE metagenomics"	"Conservation and Natural Environments - Nature conservation - National park"	0.52	131.58	33.68	13.3	1129	"Soil"	1.674	0.68	0.47	0.18	0.1	"AGRF"	8.34	"HCWFYBCXX"	"20151120_AGRF_BPA_BASE_HFLF3BCXX"	"Tropical (wet)"	"Australia"	15	"550bp"	-17.09208333	"TruSeq PCR Free DNA"	"CC-BY-3.0-AU"	"Mt Edith"	145.62021667	"bpa-base-metagenomics-12830_2-hcwfybcxx"	"PRJNA317932"	"SAMN04874270"	11	"BASE Metagenomics 12830_2"	4.08	4.1	4.9	6	69	"150bp"	"12830_2"	"102.100.100/12830"	"2015-11-20"	"Soil"	57.7	"HiSeq 2500"	13.76	10	220	25	12.4	1.5	"BRLOPS-738"	"BASE Metagenomics 12830_2"	"Forest"	38	42.29	12830	19.2	188.76833	1.6376755	18	1.2459377
"Sample_8154"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 8154_2"	"BASE Metagenomics 8154_2"	"bpa-base-metagenomics-8154_2-h821yadxx"	NA	"131.0423, -25.351"	131.0423	-25.351	" Point"	"notspecified"	4	""	""	"Tenosols"	0.24	"Conservation and Natural Environments"	9.87	"BROR"	0.034	NA	59.54	""	""	""	""	"2012-10-04"	0	""	"Conservation and Natural Environments - Nature conservation - National park"	0.35	14.85	11.12	0.34	500	"Soil"	0.106	2.67	1.17	0.48	0.01	"RAMACIOTTI"	26.61	"H821YADXX"	""	"Arid"	"Australia"	5	""	-25.351	"TruSeq PCR Free DNA"	"notspecified"	"Uluru"	131.0423	"bpa-base-metagenomics-8154_2-h821yadxx"	"PRJNA317932"	"SAMN04873803"	1e-10	"BASE Metagenomics 8154_2"	0.5	5.7	6.7	12	217	"150bp"	"8154_2"	"102.100.100/8154"	""	"Soil"	86.15	"HiSeq 2500"	3.99	0	NA	1.0547667343	3	2	"BPAOPS-117"	"BASE Metagenomics 8154_2"	"Grassland"	4.0000000001	13.86	8154	21	20.171667	0.076156445	2	0.13439515
