catalogNumber,country,stateProvince,decimalLatitude,decimalLongitude,IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Regions),"IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Subregions), contextual (polygon)",Precipitation - annual (Bio12),Precipitation - seasonality (Bio15),WorldClim 2.1: Precipitation - annual,WorldClim 2.1: Precipitation - seasonality,Radiation - annual mean (Bio20),Radiation - seasonality (Bio23),Temperature - annual mean (Bio01),Temperature - annual range (Bio07),WorldClim 2.1: Temperature - annual mean,WorldClim 2.1: Temperature - annual range,Moisture Index - annual mean (Bio28),Forests of Australia 2018B,National Dynamic Land Cover,Vegetation types - present,NVIS 4.1 Major Vegetation Groups,NVIS 4.1 Major Vegetation Subgroups,Vegetation types - native
102.100.100/15984,Australia,Tasmania,-42.55907,147.20646,Tasmanian South East,South East,562,15,616,14.808683,13.9,48,10.7,21.2,10.5375,20.2,0.67,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Eucalyptus open forest,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/8161,Australia,Northern Territory,-25.351,131.041,Great Sandy Desert,Mackay,292,48,313,45.5343,21.9,24,21.2,34.8,21.575,33.6,0.11,Acacia,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Tussock grasslands,Hummock Grasslands,Other tussock grasslands,Tussock grasslands
102.100.100/401557,Australia,New South Wales,-33.61544,150.87872,Sydney Basin,Cumberland,859,35,905,31.606672,17,33,17.7,25.1,17.145834,23.7,0.62,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/401622,Australia,New South Wales,-33.7464,151.03944,Sydney Basin,Cumberland,1021,32,1105,29.50818,16.6,34,17.3,22.7,17.104166,21.400002,0.76,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Tall Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",Eucalypt open forests
102.100.100/138514,Australia,Victoria,-36.56989,141.33691,Murray Darling Depression,Lowan Mallee,463,41,475,35.652916,16.7,43,14.6,26.2,14.308333,25.1,0.47,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Scattered,Other forests and woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Other forests and woodlands
102.100.100/12568,Australia,Australian Capital Territory,-35.874867,149.01088,South Eastern Highlands,Murrumbateman,662,16,696,15.965281,16.6,38,9.5,26.3,9.604167,26.5,0.63,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Tussock Grasslands,Temperate tussock grasslands,Tussock grasslands
102.100.100/7827,Australia,Australian Capital Territory,-35.128092,150.756877,Sydney Basin,Jervis,1242,21,1234,22.708517,15.8,38,17.2,16,16.8125,14.4,0.77,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,,Eucalypt Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",
102.100.100/8527,Australia,Northern Territory,-12.43375,132.941958,Darwin Coastal,Darwin Coastal,1478,115,1529,115.37722,21.2,11,28.2,19,27.941668,17.199999,0.49,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Eucalypt open forests
102.100.100/8519,Australia,Northern Territory,-12.86537,132.81905,Pine Creek,Pine Creek,1415,113,1468,112.00258,21.2,10,27.8,20.2,27.625,17.5,0.49,Eucalypt Low Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Eucalyptus open woodlands,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open woodlands
102.100.100/401596,Australia,New South Wales,-33.5947,150.62592,Sydney Basin,Wollemi,1048,41,1106,40.627174,16.5,32,16,25.9,15.8875,22.8,0.78,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Rainforest and vine thickets,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Rainforests and vine thickets
102.100.100/9522,Australia,South Australia,-33.97274,140.7273,Murray Darling Depression,South Olary Plain,250,27,270,23.201159,18.6,38,17.5,28.5,17.6,28.600002,0.18,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Other shrublands,Other Shrublands,Other shrublands,Other shrublands
102.100.100/19501,Australia,New South Wales,-33.61158,150.72577,Sydney Basin,Cumberland,820,37,844,33.159916,17.1,33,17.7,26.2,17.3125,25.199999,0.58,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/19507,Australia,New South Wales,-33.61007,150.71983,Sydney Basin,Cumberland,816,37,850,33.34117,17.1,33,17.7,26.3,17.279167,25.199999,0.57,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/16011,Australia,Tasmania,-42.27943,147.61381,Tasmanian South East,South East,576,14,586,14.791534,14,47,10.5,20.6,10.520833,21.1,0.67,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Tussock grasslands,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Tussock grasslands
102.100.100/401664,Australia,New South Wales,-31.9733,148.03667,Darling Riverine Plains,Bogan-Macquarie,514,19,535,21.80699,18.5,34,18.1,30.8,17.829166,29.6,0.34,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Acacia forests and woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Acacia forests and woodlands
102.100.100/7069,Australia,Western Australia,-22.57065,118.08065,Pilbara,Hamersley,417,94,416,86.91452,22.2,23,23.8,30.5,23.895834,31.5,0.13,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Acacia shrublands,Acacia Shrublands,Mulga (Acacia aneura) woodlands and shrublands +/- tussock grass +/- forbs,Acacia shrublands
102.100.100/401556,Australia,New South Wales,-33.61367,150.88248,Sydney Basin,Cumberland,869,35,905,31.606672,17,33,17.6,25,17.145834,23.7,0.63,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/12493,Australia,Australian Capital Territory,-35.8811,149.0083,South Eastern Highlands,Murrumbateman,641,17,723,14.555106,16.7,38,9.8,26.7,9.354167,26.1,0.61,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Tussock grasslands
102.100.100/7896,Australia,Western Australia,-34.086318,118.852825,Esperance Plains,Fitzgerald,426,30,414,31.125282,17.4,37,15.8,21.6,15.929167,21.9,0.37,Eucalypt Medium Woodland,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings",Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Mallee woodlands and shrublands
102.100.100/7857,Australia,Australian Capital Territory,-35.161814,150.632653,Sydney Basin,Jervis,1185.3334,20,1201,23.823061,15.8,38,16.983334,17.083334,16.554167,15.999999,0.75,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,,Eucalypt Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",
102.100.100/7041,Australia,Northern Territory,-22.91015,132.6421,Great Sandy Desert,Lake Lewis,303,70,328,65.41469,22.5,20,22.8,32.4,23.125,32.1,0.1,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Hummock grasslands,Hummock Grasslands,Hummock grasslands,Hummock grasslands
102.100.100/15861,Australia,Queensland,-13.67883,143.14101,Cape York Peninsula,Coen-Yambo Inlier,1234,122,1393,116.01803,19.9,17,26,17.1,26.058332,16.499998,0.47,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/15947,Australia,Tasmania,-42.40422,147.40767,Tasmanian South East,South East,581,15,617,14.698166,13.9,47,10,20.5,9.891666,20.599998,0.69,Eucalypt Medium Woodland,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings",Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/12487,Australia,New South Wales,-29.945633,144.111706,Mulga Lands,White Cliffs Plateau,276,32,285,29.746964,20.2,32,20.4,32.5,20.6625,30.599998,0.12,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt woodlands
102.100.100/8090,Australia,Western Australia,-30.0489,115.0423,Geraldton Sandplains,Lesueur Sandplain,580,87,540,85.592064,19.9,35,19.6,24,19.970833,24.300001,0.43,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Other shrublands,Other Shrublands,Other shrublands,Other shrublands
102.100.100/12459,Australia,Australian Capital Territory,-35.423567,148.798917,Australian Alps,Snowy Mountains,1165,16,1008,15.672008,15.7,40,9.4,24.8,9.279166,24.4,0.83,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"Other grasslands, herblands, sedgelands and rushlands",Unknown/no data,Unknown/No data,"Other grasslands,herblands, sedgelands and rushlands"
102.100.100/12503,Australia,New South Wales,-30.200913,149.59689,Darling Riverine Plains,Castlereagh-Barwon,631,33,628,36.042706,18.6,30,19.2,31.1,19.029167,29.699999,0.34,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Unknown/no data,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/7890,Australia,Western Australia,-32.241441,118.719959,Mallee,Western Mallee,339,45,322,45.41577,18.8,35,17.1,29.4,17.033333,28.399998,0.27,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,Acacia shrublands,Acacia Shrublands,Other Acacia tall open shrublands and shrublands,Acacia shrublands
102.100.100/16005,Australia,Tasmania,-41.75815,147.1716,Tasmanian Northern Midlands,Northern Midlands,579,19,594,16.685446,14.2,48,11.7,23.5,12.129167,21.800001,0.64,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/401559,Australia,New South Wales,-33.65126,150.79556,Sydney Basin,Cumberland,827,36,858,32.38777,17,33,17.7,25.7,17.270834,24.5,0.59,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Woodlands,"Eucalyptus woodlands with ferns, herbs, sedges, rushes or wet tussock grassland",unknown/no data
102.100.100/401555,Australia,New South Wales,-33.77386,150.86093,Sydney Basin,Cumberland,820,34,873,31.103931,17.1,33,17.6,25,17.591667,23.6,0.59,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/139652,Australia,Queensland,-17.52448,146.02815,Wet Tropics,Innisfail,3469,69,3935,79.76175,17.8,19,24,15.5,24,14.799999,0.93,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Rainforests and vine thickets
102.100.100/401551,Australia,New South Wales,-34.0492,150.73294,Sydney Basin,Cumberland,752,28,896,30.311909,17.2,34,17,24.9,16.970833,23.4,0.53,Eucalypt Medium Woodland,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/401626,Australia,New South Wales,-33.3731,151.3333,Sydney Basin,Wyong,1257,32,1258,29.99862,16.3,33,17.3,20.9,16.8625,19.5,0.85,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Rainforest and vine thickets,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Rainforests and vine thickets
102.100.100/8154,Australia,Northern Territory,-25.351,131.0423,Great Sandy Desert,Mackay,292,48,310,46.351765,21.9,24,21.2,34.8,21.5875,33.6,0.11,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Tussock grasslands,Hummock Grasslands,Other tussock grasslands,Tussock grasslands
102.100.100/401638,Australia,New South Wales,-30.8315,152.989,NSW North Coast,Macleay Hastings,1328,43,1413,40.69148,16.9,29,18.9,20.4,19.0125,17.4,0.82,Other native forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/15957,Australia,Tasmania,-42.27904,147.61451,Tasmanian South East,South East,576,14,586,14.791534,14,47,10.5,20.6,10.520833,21.1,0.67,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Tussock grasslands,Tussock Grasslands,Temperate tussock grasslands,Tussock grasslands
102.100.100/401593,Australia,New South Wales,-33.74244,151.03748,Sydney Basin,Cumberland,1021,32,1105,29.50818,16.6,34,17.3,22.7,17.104166,21.400002,0.76,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,unknown/no data
