Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
/scratch/alpine/clbd1748/Australia/QC_reads/12816_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_12816.fna	100.0000	100.0000	98.08	0.648	97.96-98.18	0.648	0.62-0.68	2	2.564	9614/34460	95.97	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/12824_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_7083.fna	100.0000	100.0000	95.25	0.704	95.07-95.48	0.704	0.63-0.75	1	2.071	4032/34463	93.31	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/12819_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401592.fna	100.0000	100.0000	95.73	0.862	95.61-95.85	0.862	0.82-0.90	2	2.616	5411/34492	94.20	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/12830_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_12816.fna	100.0000	100.0000	95.80	0.856	95.65-95.92	0.856	0.80-0.90	2	2.806	5750/34460	94.39	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/12828_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401624.fna	100.0000	100.0000	95.42	0.821	95.28-95.57	0.821	0.76-0.87	2	2.649	4735/34360	93.81	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/12838_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401640.fna	100.0000	100.0000	95.86	0.920	95.74-95.97	0.920	0.86-0.98	2	2.836	5828/34266	94.45	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/12884_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401567.fna	100.0000	100.0000	96.44	0.672	96.30-96.57	0.672	0.63-0.70	1	2.264	5793/34446	94.41	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/138513_HG7NLDSX2-4_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_7083.fna	100.0000	100.0000	95.68	0.769	95.55-95.84	0.769	0.71-0.81	1	2.113	4903/34463	93.90	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/138530_HG7NLDSX2-4_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401567.fna	100.0000	100.0000	95.53	0.666	95.34-95.75	0.666	0.61-0.71	1	2.209	4283/34446	93.50	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/138538_HG7NLDSX2-4_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_138538.fna	100.0000	100.0000	98.71	0.648	98.62-98.83	0.648	0.62-0.67	1	1.992	11379/34459	96.49	0	CP067102.1
