gene_callers_id	source	accession	function	e_value
7055	KOfam	K03414	chemotaxis protein CheZ	3.6e-49
7011	KOfam	K07263	zinc protease [EC:3.4.24.-]	6.2e-129
7012	KOfam	K07263	zinc protease [EC:3.4.24.-]	1.8e-79
6983	KOfam	K01821	4-oxalocrotonate tautomerase [EC:5.3.2.6]	1.3e-18
6993	KOfam	K07115	23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]	6.1e-111
7032	KOfam	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	1.9e-161
7023	KOfam	K11991	tRNA(adenine34) deaminase [EC:3.5.4.33]	7.5e-67
7047	KOfam	K04033	AraC family transcriptional regulator, ethanolamine operon transcriptional activator	3.6e-53
7016	KOfam	K01759	lactoylglutathione lyase [EC:4.4.1.5]	5.9e-31
7037	KOfam	K00912	tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	7.6e-108
6940	KOfam	K23107	1-deoxyxylulose-5-phosphate synthase [EC:1.1.-.-]	4e-108
6949	KOfam	K03566	LysR family transcriptional regulator, glycine cleavage system transcriptional activator	2e-98
7020	KOfam	K03572	DNA mismatch repair protein MutL	2.3e-216
6981	KOfam	K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	6.6e-83
6992	KOfam	K01166	ribonuclease T2 [EC:4.6.1.19]	1e-37
7005	KOfam	K03413	two-component system, chemotaxis family, chemotaxis protein CheY	2.2e-47
7038	KOfam	K02527	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	1.9e-155
6997	KOfam	K08744	cardiolipin synthase (CMP-forming) [EC:2.7.8.41]	1.3e-54
7025	KOfam	K01945	phosphoribosylamine---glycine ligase [EC:6.3.4.13]	2.7e-213
7022	KOfam	K06178	23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]	1.2e-125
7002	KOfam	K07058	membrane protein	4.7e-81
7024	KOfam	K01561	haloacetate dehalogenase [EC:3.8.1.3]	2.8e-137
7046	KOfam	K09761	16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]	2.3e-66
6988	KOfam	K07638	two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]	3.1e-139
6968	KOfam	K01061	carboxymethylenebutenolidase [EC:3.1.1.45]	7.3e-53
7034	KOfam	K01061	carboxymethylenebutenolidase [EC:3.1.1.45]	1.3e-29
7050	KOfam	K20534	polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]	2.3e-128
6995	KOfam	K16079	outer membrane immunogenic protein	5.6e-58
6973	KOfam	K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	2.5e-140
6952	KOfam	K03702	excinuclease ABC subunit B	0
7057	KOfam	K04078	chaperonin GroES	3.1e-47
6996	KOfam	K03703	excinuclease ABC subunit C	4.9e-230
7052	KOfam	K09945	uncharacterized protein	2.7e-58
6975	KOfam	K01921	D-alanine-D-alanine ligase [EC:6.3.2.4]	8.4e-69
7009	KOfam	K03101	signal peptidase II [EC:3.4.23.36]	1.9e-32
7061	KOfam	K03303	lactate permease	2.5e-177
6984	KOfam	K01892	histidyl-tRNA synthetase [EC:6.1.1.21]	1e-150
6979	KOfam	K00794	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	9.4e-48
6934	KOfam	K00812	aspartate aminotransferase [EC:2.6.1.1]	1.6e-158
7067	KOfam	K11472	glycolate dehydrogenase FAD-binding subunit [EC:1.1.99.14]	1.8e-125
6994	KOfam	K03704	cold shock protein	1.5e-35
7066	KOfam	K11473	glycolate dehydrogenase iron-sulfur subunit [EC:1.1.99.14]	1.9e-165
6967	KOfam	K09806	ubiquinone biosynthesis accessory factor UbiK	3.1e-11
7049	KOfam	K00765	ATP phosphoribosyltransferase [EC:2.4.2.17]	4e-67
6997	KOfam	K00995	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	3.3e-42
6964	KOfam	K01056	peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]	1.3e-77
6935	KOfam	K00799	glutathione S-transferase [EC:2.5.1.18]	2.4e-34
6944	KOfam	K00799	glutathione S-transferase [EC:2.5.1.18]	5.2e-18
6925	KOfam	K00014	shikimate dehydrogenase [EC:1.1.1.25]	9.9e-94
6971	KOfam	K05810	purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]	7.1e-78
7013	KOfam	K15034	ribosome-associated protein	9e-62
7008	KOfam	K01870	isoleucyl-tRNA synthetase [EC:6.1.1.5]	8.8e-244
7021	KOfam	K08316	16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]	3.5e-67
7070	KOfam	K08738	cytochrome c	3.2e-28
7015	KOfam	K08738	cytochrome c	1e-23
6926	KOfam	K03321	sulfate permease, SulP family	2.5e-138
7058	KOfam	K04077	chaperonin GroEL [EC:5.6.1.7]	1.2e-272
6969	KOfam	K13292	phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]	2.6e-82
6982	KOfam	K18700	fluoroacetyl-CoA thioesterase [EC:3.1.2.29]	1.9e-43
6985	KOfam	K00826	branched-chain amino acid aminotransferase [EC:2.6.1.42]	1.1e-136
6945	KOfam	K07486	transposase	1.2e-55
7044	KOfam	K03179	4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]	7.4e-115
7003	KOfam	K13593	cyclic-di-GMP phosphodiesterase, flagellum assembly factor TipF	1.9e-180
7075	KOfam	K02919	large subunit ribosomal protein L36	7.4e-14
6998	KOfam	K03636	sulfur-carrier protein	2.2e-15
7049	KOfam	K02502	ATP phosphoribosyltransferase regulatory subunit	1.2e-82
7000	KOfam	K07320	ribosomal protein L3 glutamine methyltransferase [EC:2.1.1.298]	2.4e-132
6999	KOfam	K03635	molybdopterin synthase catalytic subunit [EC:2.8.1.12]	1.6e-51
6963	KOfam	K06942	ribosome-binding ATPase	9.4e-122
6948	KOfam	K07090	uncharacterized protein	5.4e-14
6966	KOfam	K07481	transposase, IS5 family	5.9e-74
6928	KOfam	K07497	putative transposase	6.4e-29
6970	KOfam	K18164	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 7	9.5e-149
7062	KOfam	K02471	vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein	1.9e-251
7076	KOfam	K07045	uncharacterized protein	1.5e-56
6965	KOfam	K02897	large subunit ribosomal protein L25	1.7e-68
7042	KOfam	K03592	PmbA protein	1.1e-173
7069	KOfam	K00104	glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]	7.2e-209
7006	KOfam	K11753	riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	9.9e-109
1592	KOfam	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	3.2e-213
1518	KOfam	K00652	8-amino-7-oxononanoate synthase [EC:2.3.1.47]	6.4e-139
1602	KOfam	K02053	putative spermidine/putrescine transport system permease protein	4.4e-120
1494	KOfam	K03205	type IV secretion system protein VirD4 [EC:7.4.2.8]	9e-193
1542	KOfam	K01406	serralysin [EC:3.4.24.40]	5.7e-30
1555	KOfam	K02495	oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]	4.1e-140
1603	KOfam	K02052	putative spermidine/putrescine transport system ATP-binding protein	5.9e-158
1526	KOfam	K03406	methyl-accepting chemotaxis protein	9.3e-66
1538	KOfam	K03406	methyl-accepting chemotaxis protein	3.8e-59
1575	KOfam	K24126	lipoyl-dependent peroxiredoxin subunit C [EC:1.11.1.28]	8.2e-84
1516	KOfam	K01012	biotin synthase [EC:2.8.1.6]	1.9e-151
1551	KOfam	K07267	porin	2.7e-50
1602	KOfam	K02054	putative spermidine/putrescine transport system permease protein	2.6e-125
1570	KOfam	K02594	homocitrate synthase NifV [EC:2.3.3.14]	2.9e-163
1510	KOfam	K01658	anthranilate synthase component II [EC:4.1.3.27]	6.9e-89
1511	KOfam	K01665	para-aminobenzoate synthetase component I [EC:2.6.1.85]	1.8e-162
1571	KOfam	K02595	nitrogenase-stabilizing/protective protein	6.6e-43
1565	KOfam	K02597	nitrogen fixation protein NifZ	1.2e-42
1586	KOfam	K10805	acyl-CoA thioesterase II [EC:3.1.2.-]	3.6e-118
1519	KOfam	K01935	dethiobiotin synthetase [EC:6.3.3.3]	2.9e-61
