Genome	138607_HJWT7DSX3-1_R1p.fastq.gz Mean
GCA_013372845.1_ASM1337284v1_genomic	0
GCA_019668465.1_ASM1966846v1_genomic	4.350603
GCA_016616885.1_ASM1661688v1_genomic	3.3513048
GCA_012922115.1_ASM1292211v1_genomic	1.3203429
