Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
/scratch/alpine/clbd1748/Australia_copy/QC_reads/10718_HFLF3BCXX-2_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady915/GCA_023073475.1.fna.gz	100.0000	100.0000	97.49	0.181	97.11-97.84	0.181	0.16-0.20	1	1.288	2485/31904	92.10	0	JADPJO010000015.1 Bradyrhizobium sp. 182 11LoS33_5_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia_copy/QC_reads/10714_HFLF3BCXX-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady915/GCA_021052305.1.fna.gz	100.0000	100.0000	97.08	0.254	96.77-97.34	0.254	0.23-0.29	1	1.334	3099/33752	92.59	0	CP088089.1 Bradyrhizobium sp. WU425 chromosome, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12426_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady915/GCA_016612535.1.fna.gz	100.0000	100.0000	95.13	0.502	94.89-95.36	0.502	0.46-0.55	1	1.702	2970/34101	92.43	0	JAENXS010000001.1 Bradyrhizobium diazoefficiens strain 182_5 1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12428_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady915/GCA_003062295.1.fna.gz	77.2779	76.9182	95.85	1.088	95.75-95.93	1.088	1.04-1.14	2	2.294	6928/38225	94.64	0	PYCN01000099.1 Bradyrhizobium algeriense strain RST91 NODE_100_length_3566_cov_94.1788_ID_5792, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12428_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady915/GCA_900011265.1.fna.gz	22.7221	23.0818	95.57	0.320	95.30-95.84	0.320	0.29-0.35	1	1.438	2608/37854	91.73	397	LN907826.1 Bradyrhizobium sp. G22 genome assembly, chromosome: I
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12447_H3WL3BCXX-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady915/GCA_900129425.1.fna.gz	100.0000	100.0000	95.14	0.525	94.91-95.33	0.525	0.49-0.57	1	1.998	3458/38156	92.55	0	LT670817.1 Bradyrhizobium erythrophlei strain GAS138 genome assembly, chromosome: I
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12461_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady915/GCA_900129505.1.fna.gz	41.9850	41.6718	96.11	0.740	95.97-96.27	0.740	0.69-0.78	1	2.049	6132/39036	94.20	669	LT670818.1 Bradyrhizobium erythrophlei strain GAS242 genome assembly, chromosome: I
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12461_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady915/GCA_031202265.1.fna.gz	37.5252	39.3521	96.94	0.661	96.83-97.05	0.661	0.63-0.69	1	2.025	7603/39801	94.80	278	CP100604.1 Bradyrhizobium sp. Ash2021 chromosome, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12461_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady915/GCA_000938255.1.fna.gz	20.4898	18.9762	97.62	0.361	97.42-97.78	0.361	0.34-0.39	1	1.585	5416/36383	94.04	0	JYMR01000001.1 Bradyrhizobium sp. LTSP849 NODE_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12459_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady915/GCA_900129505.1.fna.gz	31.6340	33.4520	97.02	0.772	96.93-97.11	0.772	0.74-0.80	1	2.124	8616/39036	95.24	0	LT670818.1 Bradyrhizobium erythrophlei strain GAS242 genome assembly, chromosome: I
