"GenomeName"	"GenomeID"	"genome_size"	"Type"	"Source"	"checkm_completeness"	"GenomeSize"	"Nod"	"Nfix"	"Photo"	"Function"	"SizeCat"
"GCA_021052305_1"	"GCA_021052305.1"	7868972	"Commercial"	"Other/NA"	99.99	7869758.97589759	5	6	0	"N fix. Sym."	"Medium"
"GCA_016907215_1"	"GCA_016907215.1"	7995639	"GTDB MAG"	"Other/NA"	99.99	7996438.64386439	5	6	0	"N fix. Sym."	"Medium"
"GCA_023072905_1"	"GCA_023072905.1"	7964185	"GTDB MAG"	"Plant"	99.99	7964981.49814982	0	0	0	" "	"Medium"
"GCA_002108805_1"	"GCA_002108805.1"	8376411	"GTDB MAG"	"Other/NA"	99.69	8402458.62172735	5	6	0	"N fix. Sym."	"Medium"
"GCA_023073035_1"	"GCA_023073035.1"	7235730	"GTDB MAG"	"Plant"	99.19	7294818.02601069	0	0	0	" "	"Small"
"GCA_000518345_1"	"GCA_000518345.1"	7193102	"GTDB MAG"	"Other/NA"	99.99	7193821.38213821	0	0	0	" "	"Small"
"GCA_023073095_1"	"GCA_023073095.1"	7420394	"GTDB MAG"	"Plant"	99.99	7421136.11361136	0	0	0	" "	"Small"
"GCA_900011245_1"	"GCA_900011245.1"	7547693	"GTDB Isolate"	"Soil"	98.05	7697800.10198878	0	0	0	" "	"Medium"
"GCA_003020115_1"	"GCA_003020115.1"	7575111	"GTDB MAG"	"Plant"	99.99	7575868.58685869	0	0	3	"Photosyn."	"Medium"
"GCA_900109945_1"	"GCA_900109945.1"	7846124	"GTDB MAG"	"Other/NA"	99.96	7849263.70548219	0	0	0	" "	"Medium"
"GCA_000938285_1"	"GCA_000938285.1"	8426077	"GTDB MAG"	"Soil"	100	8426077	0	0	0	" "	"Medium"
"GCA_000938255_1"	"GCA_000938255.1"	8570160	"GTDB MAG"	"Soil"	100	8570160	0	0	0	" "	"Medium"
"GCA_016612535_1"	"GCA_016612535.1"	7989248	"GTDB MAG"	"Plant"	99.62	8019722.94719936	5	6	0	"N fix. Sym."	"Medium"
