Bin Name	Marker Lineage	# Genomes	# Markers	# Marker Sets	0	1	2	3	4	5+	Completeness	Contamination
Brady_12816-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	6	686	1	0	0	0	99.09	0.34
Brady_12816-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	16	675	2	0	0	0	97.27	0.39
Brady_12816-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	64	628	1	0	0	0	89.49	0.06
Brady_138538-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	2	691	0	0	0	0	99.32	0.0
Brady_138538-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	22	669	2	0	0	0	96.81	0.14
Brady_138538-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	61	630	2	0	0	0	91.81	0.08
Brady_401548-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	12	681	0	0	0	0	98.39	0.0
Brady_401548-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	19	672	2	0	0	0	96.66	0.39
Brady_401548-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	86	606	1	0	0	0	87.57	0.06
Brady_401550-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	6	687	0	0	0	0	99.02	0.0
Brady_401550-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	14	678	1	0	0	0	97.65	0.06
Brady_401550-Reads_1-Strain_4.Genome	o__Rhizobiales	107	485	316	68	416	1	0	0	0	85.68	0.32
Brady_401552-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	9	684	0	0	0	0	98.75	0.0
Brady_401552-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	19	673	1	0	0	0	96.92	0.06
Brady_401552-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	87	603	3	0	0	0	86.89	0.31
Brady_401553-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	3	689	1	0	0	0	99.21	0.11
