Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
/scratch/alpine/clbd1748/Australia/QC_reads/12446_H3NJ2BCXX-2_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes_dRep/GCA_006717045.1_ASM671704v1_genomic.fna.gz	53.1629	59.1021	96.34	0.495	96.16-96.51	0.495	0.46-0.53	1	1.546	4528/35828	93.55	0	VFPH01000001.1 Pseudonocardia cypriaca strain DSM 45511 Ga0310437_11, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12446_H3NJ2BCXX-2_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes_dRep/GCA_003076135.1_ASM307613v1_genomic.fna.gz	28.5100	18.2456	95.73	0.266	95.29-96.13	0.266	0.23-0.30	1	1.513	1289/20429	91.47	23	QDGZ01000001.1 Nocardioides gansuensis strain WSJ-1 contig1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12446_H3NJ2BCXX-2_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes_dRep/GCA_002148965.1_ASM214896v1_genomic.fna.gz	18.3271	22.6523	95.72	0.171	95.33-96.21	0.171	0.14-0.19	1	1.306	1648/39209	90.28	27	NGFN01000001.1 Streptomyces swartbergensis strain HMC13 scaffold1.1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12447_H3WL3BCXX-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes_dRep/GCA_003164825.1_20120700_P3S_genomic.fna.gz	38.3837	32.7147	95.43	0.852	95.25-95.61	0.852	0.77-0.91	1	2.099	2921/21077	93.82	0	PLUH01000136.1 MAG: Hyphomicrobiales bacterium isolate palsa_929 73.20120700_P3S.3_contig_10013, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12447_H3WL3BCXX-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes_dRep/GCA_013290035.1_ASM1329003v1_genomic.fna.gz	38.0444	29.6805	95.25	0.845	95.04-95.48	0.845	0.75-0.92	1	1.916	2465/19141	93.60	3	JABCYT010000001.1 MAG: Alphaproteobacteria bacterium isolate Inc-BW-H-2-M_MAG46 Ga0210384_10001511, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12447_H3WL3BCXX-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes_dRep/GCA_900129425.1_IMG-taxon_2695421015_annotated_assembly_genomic.fna.gz	23.5719	37.6048	95.13	0.523	94.89-95.31	0.523	0.49-0.57	1	1.994	3440/38156	92.53	18	LT670817.1 Bradyrhizobium erythrophlei strain GAS138 genome assembly, chromosome: I
/scratch/alpine/clbd1748/Australia/QC_reads/12819_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes_dRep/GCA_013372845.1_ASM1337284v1_genomic.fna.gz	28.2402	24.6982	97.24	0.939	97.10-97.34	0.939	0.89-1.00	1	1.859	3575/13686	95.76	0	JAALOD010000001.1 MAG: Candidatus Udaeobacter sp. isolate AEW3 Udaeo2_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12819_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes_dRep/GCA_003219945.1_ASM321994v1_genomic.fna.gz	20.8344	12.6915	95.78	0.693	95.46-96.07	0.693	0.60-0.76	2	2.644	1286/9581	93.73	29	QHQV01000251.1 MAG: Verrucomicrobia bacterium isolate AV119 14_0903_02_20cm_scaffold_1003_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12819_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes_dRep/GCA_003217895.1_ASM321789v1_genomic.fna.gz	16.5618	12.3276	95.16	0.551	94.81-95.57	0.551	0.48-0.64	1	1.538	1089/11731	92.62	81	QHMS01000128.1 MAG: Verrucomicrobia bacterium isolate AV94 14_0929_05_20cm_scaffold_10055_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12819_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes_dRep/GCA_001440035.1_ABySSBR3351v1_genomic.fna.gz	14.7259	36.5523	95.22	0.490	94.99-95.40	0.490	0.45-0.53	1	1.902	3455/38482	92.52	0	LJYG01000001.1 Bradyrhizobium manausense strain BR 3351 contig145, whole genome shotgun sequence
