gene_callers_id	source	accession	function	e_value
1559	KOfam	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	3.1e-213
1569	KOfam	K02053	putative spermidine/putrescine transport system permease protein	4.3e-120
1462	KOfam	K03205	type IV secretion system protein VirD4 [EC:7.4.2.8]	2.5e-192
1509	KOfam	K01406	serralysin [EC:3.4.24.40]	5.5e-30
1522	KOfam	K02495	oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]	4e-140
1494	KOfam	K03406	methyl-accepting chemotaxis protein	2.1e-65
1505	KOfam	K03406	methyl-accepting chemotaxis protein	3.7e-59
1542	KOfam	K24126	lipoyl-dependent peroxiredoxin subunit C [EC:1.11.1.28]	8.4e-84
1484	KOfam	K01012	biotin synthase [EC:2.8.1.6]	1.8e-148
1518	KOfam	K07267	porin	2.6e-50
1569	KOfam	K02054	putative spermidine/putrescine transport system permease protein	2.5e-125
1537	KOfam	K02594	homocitrate synthase NifV [EC:2.3.3.14]	2.8e-163
1478	KOfam	K01658	anthranilate synthase component II [EC:4.1.3.27]	6.8e-89
1479	KOfam	K01665	para-aminobenzoate synthetase component I [EC:2.6.1.85]	1.2e-163
1538	KOfam	K02595	nitrogenase-stabilizing/protective protein	6.4e-43
1532	KOfam	K02597	nitrogen fixation protein NifZ	1.6e-42
1553	KOfam	K10805	acyl-CoA thioesterase II [EC:3.1.2.-]	1.7e-118
1487	KOfam	K01935	dethiobiotin synthetase [EC:6.3.3.3]	2.9e-61
1514	KOfam	K02596	nitrogen fixation protein NifX	7.2e-63
1513	KOfam	K02592	nitrogenase molybdenum-iron protein NifN	1.6e-203
1510	KOfam	K02586	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	9.6e-220
1471	KOfam	K20531	type IV secretion system protein TrbF	2.4e-113
1527	KOfam	K04487	cysteine desulfurase [EC:2.8.1.7]	1.7e-162
1467	KOfam	K20530	type IV secretion system protein TrbE [EC:7.4.2.8]	0
1512	KOfam	K02587	nitrogenase molybdenum-cofactor synthesis protein NifE	8.5e-244
1528	KOfam	K02593	nitrogen fixation protein NifT	2.6e-32
1541	KOfam	K03855	ferredoxin like protein	1.9e-33
1492	KOfam	K01918	pantoate--beta-alanine ligase [EC:6.3.2.1]	1.4e-122
1530	KOfam	K02585	nitrogen fixation protein NifB	1.2e-205
1511	KOfam	K02591	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	1.4e-195
1472	KOfam	K20532	type IV secretion system protein TrbG	3.2e-115
1544	KOfam	K03704	cold shock protein	3.9e-31
1498	KOfam	K22278	peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]	2.6e-57
1473	KOfam	K20533	type IV secretion system protein TrbI	3.3e-148
1472	KOfam	K20533	type IV secretion system protein TrbI	1e-112
1464	KOfam	K20527	type IV secretion system protein TrbB [EC:7.4.2.8]	1.2e-162
1413	KOfam	K00407	cytochrome c oxidase cbb3-type subunit IV	1.6e-11
1502	KOfam	K00956	sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]	2.9e-201
1539	KOfam	K03522	electron transfer flavoprotein alpha subunit	4.7e-120
1503	KOfam	K00957	sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	9.4e-171
1414	KOfam	K00406	cytochrome c oxidase cbb3-type subunit III	4.2e-94
1535	KOfam	K02588	nitrogenase iron protein NifH	1.2e-143
1559	KOfam	K15786	aspartate-semialdehyde dehydrogenase [EC:1.2.1.-]	4.5e-231
