Organelle type	GenBank accession	GenBank submission date	GenBank submitter	RefSeq accession	Organism taxid	Organism common name	Organism name	Bioproject accession	Length	Topology	Gene count
Chloroplast	AF137379.1	1999-03-24	Universite Laval	NC_000927.1	31312		Nephroselmis olivacea		200799	Circular	200
Chloroplast	AP000423.1	1999-09-09	Kazusa DNA Research Institute	NC_000932.1	3702	thale cress	Arabidopsis thaliana	PRJNA13191	154478	Circular	129
Chloroplast	X04465.1	1986-10-17	K. Ohyama, Research Centre for Cell and Tissue culture, Faculty of Agriculture, Kyoto University, Kyoto 606, Japan	NC_001319.1	56867		Marchantia paleacea		121024	Circular	133
Plastid	X15901.1	1989-07-18	Sugiura M., Centre for Gene Research, Nagoya University, Chikusa Nagoya 464-01, Japan	NC_001320.1	39947	Japanese rice	Oryza sativa Japonica Group		134525	Circular	159
Chloroplast	M81884.1			NC_001568.1	4177	beechdrops	Epifagus virginiana		70028	Circular	71
Chloroplast	D17510.1	1993-08-27	Nagoya University, Center for Gene Research	NC_001631.1	3350	Japanese black pine	Pinus thunbergii		119707	Circular	171
Chloroplast	X86563.2	2000-09-06	Institut f. Biologie III	NC_001666.2	4577		Zea mays		140384	Circular	158
Chloroplast	AB001684.1	1997-03-08	Nagoya University, Center for Gene Research	NC_001865.1	3077		Chlorella vulgaris		150613	Circular	210
Plastid	Z00044.2	1998-02-27	Aichi-Gakuin University	NC_001879.2	4097	common tobacco	Nicotiana tabacum		155943	Circular	144
Chloroplast	AF166114.1	1999-07-06	Universite Laval	NC_002186.1	41882		Mesostigma viride		118360	Circular	148
Plastid	AJ400848.1	2000-03-06	Schmitz-Linneweber C., Ludwig Maximillians Universitaet, Botanisches Institut, Menzinger Str. 68, Muenchen, Bavaria, 80638, FRG	NC_002202.1	3562	spinach	Spinacia oleracea		150725	Circular	144
Plastid	AJ271079.4	2007-11-16	Ludwig-Maximilians-Universitaet Muenchen	NC_002693.2	85636		Oenothera elata subsp. hookeri		165728	Circular	131
Chloroplast	AP002983.1	2000-12-01	Kazusa DNA Research Institute, The First Laboratory for Plant Gene Research	NC_002694.1	34305		Lotus japonicus		150519	Circular	128
Chloroplast	AB042240.3	2000-04-25	National Institute of Genetics, Center for Information Biology	NC_002762.1	4565	bread wheat	Triticum aestivum		134545	Circular	137
Chloroplast	AC093544.8	2007-07-13	University of Georgia	NC_003119.8	3880	barrel medic	Medicago truncatula		124033	Linear	109
Chloroplast	AP004638.1	2002-01-17	Toyama University, Faculty of Science	NC_003386.1	3240		Psilotum nudum		138829	Circular	150
Chloroplast	AF494278.1	2002-03-22	Universite Laval	NC_004115.1	96477		Chaetosphaeridium globosum		131183	Circular	141
Chloroplast	AB086179.1	2002-06-04	Shizuoka University, Faculty of science; Oya836, Shizuoka, Shizuoka 422-8529, Japan	NC_004543.1	48387		Anthoceros angustus		161162	Circular	137
