Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/030/861/485/GCA_030861485.1_genomic.fna.gz	99.52	0.962	99.40-99.63	0.962	0.91-1.02	1	1.620	4326/8024	98.03	JALZFP010000323.1 MAG: Actinomycetota bacterium isolate NAD bin13 SC8819-21_k127_1011808, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/030/861/405/GCA_030861405.1_genomic.fna.gz	98.83	0.292	98.44-99.26	0.292	0.26-0.33	1	1.176	1497/8327	94.61	JALZFS010000197.1 MAG: Thermoproteota archaeon isolate NAD bin16 SC8819-21_k127_1025619, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/030/861/545/GCA_030861545.1_genomic.fna.gz	98.75	0.557	98.51-98.96	0.557	0.51-0.61	1	1.328	1777/6042	96.13	JALZFN010000230.1 MAG: Thermoproteota archaeon isolate NAD bin11 SC8819-21_k127_1017037, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/030/861/585/GCA_030861585.1_genomic.fna.gz	98.32	0.352	97.93-98.65	0.352	0.31-0.40	1	1.282	1525/8490	94.61	JALZFK010000343.1 MAG: Actinomycetota bacterium isolate NAD bin8 SC8819-21_k127_1020160, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/103/785/GCF_900103785.1_genomic.fna.gz	97.08	1.373	96.99-97.17	1.373	1.30-1.44	2	2.805	6772/22422	96.21	NZ_FNHE01000036.1 Geodermatophilus siccatus strain DSM 45419, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/023/546/765/GCF_023546765.1_genomic.fna.gz	96.42	0.160	95.79-96.87	0.160	0.13-0.19	1	1.228	1446/29395	90.74	NZ_CP097484.1 Methylobacterium tardum strain DSM 19566 chromosome, complete genome
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/030/867/425/GCA_030867425.1_genomic.fna.gz	96.12	0.207	95.48-96.86	0.207	0.16-0.25	1	1.266	689/12218	91.14	JALZFJ010000072.1 MAG: Actinomycetota bacterium isolate NAD bin7 SC8819-21_k127_10053, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/368/235/GCF_002368235.1_genomic.fna.gz	95.90	0.027	93.87-97.06	0.027	0.02-0.06	1	1.026	303/40792	85.37	NZ_AP018194.1 Scytonema sp. HK-05 DNA, nearly complete genome
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/019/359/075/GCA_019359075.1_genomic.fna.gz	95.87	0.038	94.13-97.63	0.038	0.02-0.07	1	1.029	375/36141	86.30	JAHHIB010000013.1 MAG: Scytonema hyalinum WJT4-NPBG1 scaffold_105_c1, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/107/105/GCF_900107105.1_genomic.fna.gz	95.72	0.968	95.56-95.87	0.968	0.90-1.04	2	2.675	3723/22845	94.32	NZ_FNOT01000052.1 Geodermatophilus africanus strain DSM 45422, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/025/345/GCF_000025345.1_genomic.fna.gz	95.48	0.962	95.32-95.63	0.962	0.89-1.04	2	2.724	3408/22723	94.06	NC_013757.1 Geodermatophilus obscurus DSM 43160, complete sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/111/455/GCF_900111455.1_genomic.fna.gz	95.35	1.113	95.16-95.50	1.113	1.02-1.21	2	2.816	3245/20688	94.20	NZ_FOIE01000017.1 Geodermatophilus poikilotrophus strain DSM 44209, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/902/812/425/GCA_902812425.1_genomic.fna.gz	95.28	0.304	94.76-95.62	0.304	0.26-0.36	1	1.399	1073/17823	91.33	CADDZK010000001.1 Actinobacteria bacterium isolate 28 genome assembly, contig: NODE_372_length_47743_cov_6.283161, whole genome shotgun sequence
