Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/12816_R1.fastq.gz	/scratch/alpine/clbd1748/Australia/Brady1081/Brady_12816_Strain_1.fna.gz	100.0000	100.0000	98.08	0.648	97.96-98.18	0.648	0.62-0.68	2	2.564	9614/34460	95.97	0	CP067102.1
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/138538_R1.fastq.gz	/scratch/alpine/clbd1748/Australia/Brady1081/Brady_138538_Strain_1.fna.gz	46.5178	47.8463	98.71	0.648	98.62-98.83	0.648	0.62-0.67	1	1.992	11379/34459	96.49	0	CP067102.1
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/138538_R1.fastq.gz	/scratch/alpine/clbd1748/Australia/Brady1081/Brady_138538_Strain_2.fna.gz	28.3146	29.1233	96.19	0.394	95.97-96.37	0.394	0.36-0.42	1	1.732	3499/34552	92.88	3521	CP067102.1
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/138538_R1.fastq.gz	/scratch/alpine/clbd1748/Australia/Brady1081/GCA_000518345.1.fna.gz	25.1676	23.0304	95.77	0.350	95.48-96.07	0.350	0.31-0.38	1	1.538	2471/30848	92.18	1124	KI912426.1 Bradyrhizobium sp. URHA0013 genomic scaffold N551DRAFT_scaffold00001.1, whole genome shotgun sequence
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401552_R1.fastq.gz	/scratch/alpine/clbd1748/Australia/Brady1081/Brady_401552_Strain_1.fna.gz	39.7060	35.4477	99.12	0.631	99.02-99.22	0.631	0.60-0.65	1	2.105	12627/34220	96.84	0	CP067102.1
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401552_R1.fastq.gz	/scratch/alpine/clbd1748/Australia/Brady1081/GCA_900129675.1.fna.gz	28.9107	37.4731	95.67	0.459	95.47-95.83	0.459	0.43-0.49	1	1.699	4369/45545	92.72	1510	FSRD01000004.1 Bradyrhizobium erythrophlei strain GAS478 genome assembly, contig: Ga0132009_14, whole genome shotgun sequence
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401552_R1.fastq.gz	/scratch/alpine/clbd1748/Australia/Brady1081/GCA_030378205.1.fna.gz	22.8317	19.4448	95.25	0.363	95.00-95.55	0.363	0.33-0.40	1	1.616	2290/33055	91.75	1649	CP127385.1 Bradyrhizobium sp. NP1 chromosome, complete genome
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401552_R1.fastq.gz	/scratch/alpine/clbd1748/Australia/Brady1081/Brady_401552_Strain_4.fna.gz	8.5516	7.6345	96.99	0.136	96.44-97.49	0.136	0.11-0.16	1	1.144	1731/34293	90.82	3277	CP067102.1
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401553_R1.fastq.gz	/scratch/alpine/clbd1748/Australia/Brady1081/GCA_018130385.1.fna.gz	23.5769	24.0262	95.83	0.765	95.71-95.96	0.765	0.72-0.80	1	1.902	5058/34779	93.97	1220	JAFCLU010000001.1 Bradyrhizobium sp. AUGA SZCCT0283 NODE_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401553_R1.fastq.gz	/scratch/alpine/clbd1748/Australia/Brady1081/Brady_401553_Strain_1.fna.gz	23.3979	23.8927	97.08	0.759	96.96-97.17	0.759	0.72-0.80	1	2.243	7624/34556	95.24	3149	CP067102.1
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401553_R1.fastq.gz	/scratch/alpine/clbd1748/Australia/Brady1081/GCA_029714305.1.fna.gz	14.9965	15.2199	95.38	0.487	95.18-95.60	0.487	0.45-0.53	1	1.513	3098/34071	92.56	1859	CP121647.1 Bradyrhizobium sp. CB3481 chromosome, complete genome
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401553_R1.fastq.gz	/scratch/alpine/clbd1748/Australia/Brady1081/GCA_018130785.1.fna.gz	11.4482	12.0038	97.68	0.372	97.49-97.88	0.372	0.35-0.39	1	1.388	5520/35882	94.14	2061	JAFCJT010000001.1 Bradyrhizobium liaoningense strain SZCCT0399 NODE_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401553_R1.fastq.gz	/scratch/alpine/clbd1748/Australia/Brady1081/GCA_900011265.1.fna.gz	9.1423	10.4975	95.50	0.297	95.23-95.77	0.297	0.27-0.32	1	1.404	2387/37854	91.47	3406	LN907826.1 Bradyrhizobium sp. G22 genome assembly, chromosome: I
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401553_R1.fastq.gz	/scratch/alpine/clbd1748/Australia/Brady1081/Brady_401553_Strain_4.fna.gz	5.9582	6.0842	99.18	0.193	98.90-99.41	0.193	0.18-0.21	1	1.168	4813/34584	93.84	0	CP067102.1
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401553_R1.fastq.gz	/scratch/alpine/clbd1748/Australia/Brady1081/GCA_018130565.1.fna.gz	5.8577	5.8669	95.01	0.190	94.61-95.46	0.190	0.16-0.22	1	1.256	1241/34215	89.85	2828	JAFCKG010000001.1 Bradyrhizobium liaoningense strain SZCCT0337 NODE_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401553_R1.fastq.gz	/scratch/alpine/clbd1748/Australia/Brady1081/GCA_025960445.1.fna.gz	5.6223	2.4089	95.72	0.182	95.07-96.37	0.182	0.14-0.23	1	1.224	625/14250	90.41	206	JAICIT010000001.1 MAG: Bradyrhizobium sp. isolate GZL_FP_2_bin.119 k141_160700_length_24245_cov_49.1735, whole genome shotgun sequence
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401548_R1.fastq.gz	/scratch/alpine/clbd1748/Australia/Brady1081/Brady_401548_Strain_1.fna.gz	38.3647	36.9310	98.94	0.675	98.85-99.03	0.675	0.65-0.70	1	2.017	12548/34418	96.80	0	CP067102.1
