Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
/scratch/alpine/clbd1748/Australia/QC_reads/12447_H3WL3BCXX-1_R1p.fastq.gz	./Ref_genomes_strep/GCA_013290035.1_ASM1329003v1_genomic.fna.gz	38.2312	30.1472	95.25	0.843	95.04-95.48	0.843	0.75-0.91	1	1.914	2462/19141	93.60	6	JABCYT010000001.1 MAG: Alphaproteobacteria bacterium isolate Inc-BW-H-2-M_MAG46 Ga0210384_10001511, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12447_H3WL3BCXX-1_R1p.fastq.gz	./Ref_genomes_strep/GCA_003131995.1_20120500_P31_genomic.fna.gz	38.0829	31.6594	95.48	0.840	95.31-95.71	0.840	0.75-0.90	1	2.110	2857/20454	93.85	0	PKWI01000130.1 MAG: Hyphomicrobiales bacterium isolate palsa_912 73.20120500_P31.4_contig_1000, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12447_H3WL3BCXX-1_R1p.fastq.gz	./Ref_genomes_strep/GCA_900129425.1_IMG-taxon_2695421015_annotated_assembly_genomic.fna.gz	23.6859	38.1934	95.14	0.522	94.89-95.31	0.522	0.49-0.57	1	1.994	3439/38156	92.53	19	LT670817.1 Bradyrhizobium erythrophlei strain GAS138 genome assembly, chromosome: I
/scratch/alpine/clbd1748/Australia/QC_reads/12819_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_013372845.1_ASM1337284v1_genomic.fna.gz	28.4082	26.0344	97.24	0.939	97.10-97.34	0.939	0.89-1.00	1	1.859	3575/13686	95.76	0	JAALOD010000001.1 MAG: Candidatus Udaeobacter sp. isolate AEW3 Udaeo2_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12819_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_003219945.1_ASM321994v1_genomic.fna.gz	20.8299	13.2961	95.77	0.688	95.45-96.06	0.688	0.60-0.76	2	2.645	1277/9581	93.71	38	QHQV01000251.1 MAG: Verrucomicrobia bacterium isolate AV119 14_0903_02_20cm_scaffold_1003_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12819_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_003221135.1_ASM322113v1_genomic.fna.gz	16.4576	10.7457	95.50	0.544	95.17-95.97	0.544	0.46-0.61	1	1.617	1001/9735	92.92	96	QHQN01000192.1 MAG: Verrucomicrobia bacterium isolate AV126 14_1009_16_40cm_scaffold_101736_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12819_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_001440035.1_ABySSBR3351v1_genomic.fna.gz	14.8135	38.5297	95.22	0.490	94.99-95.40	0.490	0.45-0.53	1	1.902	3454/38482	92.52	1	LJYG01000001.1 Bradyrhizobium manausense strain BR 3351 contig145, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12819_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_003218165.1_ASM321816v1_genomic.fna.gz	12.2337	6.6702	96.25	0.404	95.82-96.79	0.404	0.34-0.47	1	1.458	874/8379	92.97	21	QHOB01000137.1 MAG: Verrucomicrobia bacterium isolate AV62 14_1009_12_20cm_scaffold_10191_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12819_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_003218615.1_ASM321861v1_genomic.fna.gz	7.2571	4.7240	95.45	0.240	94.72-96.14	0.240	0.19-0.30	1	1.285	498/9630	90.89	41	QHOD01000146.1 MAG: Verrucomicrobia bacterium isolate AV60 14_0919_02_20cm_scaffold_10144_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12818_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_003219725.1_ASM321972v1_genomic.fna.gz	31.8947	16.9264	95.39	1.291	95.16-95.53	1.291	1.16-1.44	2	2.486	1422/8324	94.46	87	QHQC01000187.1 MAG: Verrucomicrobia bacterium isolate AV14 14_1009_16_30cm_scaffold_100776_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12818_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_013372845.1_ASM1337284v1_genomic.fna.gz	25.9352	22.5534	96.95	1.050	96.79-97.08	1.050	0.98-1.14	2	2.059	3502/13686	95.70	38	JAALOD010000001.1 MAG: Candidatus Udaeobacter sp. isolate AEW3 Udaeo2_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12818_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_003219465.1_ASM321946v1_genomic.fna.gz	17.1708	19.4370	95.39	0.695	95.18-95.66	0.695	0.62-0.75	2	2.683	2249/18200	93.48	147	QHOX01000279.1 MAG: Verrucomicrobia bacterium isolate AV42 14_1009_16_30cm_scaffold_100182_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12818_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_000472925.1_ASM47292v1_genomic.fna.gz	12.8497	34.7975	95.84	0.520	95.69-95.99	0.520	0.49-0.56	1	1.768	4846/42784	93.22	0	AXAS01000001.1 Bradyrhizobium sp. Ec3.3 YUUDRAFT_scaffold_0.1_C, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12818_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_003218165.1_ASM321816v1_genomic.fna.gz	12.1495	6.2858	97.26	0.492	96.89-97.63	0.492	0.42-0.54	1	1.649	1419/8379	94.43	0	QHOB01000137.1 MAG: Verrucomicrobia bacterium isolate AV62 14_1009_12_20cm_scaffold_10191_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12816_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_013372845.1_ASM1337284v1_genomic.fna.gz	32.9037	26.8981	96.94	0.965	96.76-97.05	0.965	0.91-1.04	1	1.798	3289/13686	95.50	39	JAALOD010000001.1 MAG: Candidatus Udaeobacter sp. isolate AEW3 Udaeo2_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12816_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_003218165.1_ASM321816v1_genomic.fna.gz	23.5811	11.4688	97.13	0.691	96.89-97.32	0.691	0.63-0.76	1	1.612	1736/8379	95.05	0	QHOB01000137.1 MAG: Verrucomicrobia bacterium isolate AV62 14_1009_12_20cm_scaffold_10191_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12816_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_003219915.1_ASM321991v1_genomic.fna.gz	21.7951	13.6638	95.27	0.639	94.97-95.60	0.639	0.56-0.70	1	1.601	1144/10634	93.06	997	QHQT01000151.1 MAG: Verrucomicrobia bacterium isolate AV120 14_0903_13_40cm_scaffold_10139_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12816_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_001908185.1_ASM190818v1_genomic.fna.gz	21.7201	47.9694	95.24	0.637	95.04-95.42	0.637	0.59-0.68	1	1.976	4169/37569	93.15	0	LGHM01000001.1 Bradyrhizobium sp. AS23.2 Bradyrhizobium_AS_23.2_c1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12446_H3NJ2BCXX-2_R1p.fastq.gz	./Ref_genomes_strep/GCA_006717045.1_ASM671704v1_genomic.fna.gz	53.1629	59.1021	96.34	0.495	96.16-96.51	0.495	0.46-0.53	1	1.546	4528/35828	93.55	0	VFPH01000001.1 Pseudonocardia cypriaca strain DSM 45511 Ga0310437_11, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12446_H3NJ2BCXX-2_R1p.fastq.gz	./Ref_genomes_strep/GCA_003076135.1_ASM307613v1_genomic.fna.gz	28.5100	18.2456	95.73	0.266	95.29-96.13	0.266	0.23-0.30	1	1.513	1289/20429	91.47	23	QDGZ01000001.1 Nocardioides gansuensis strain WSJ-1 contig1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12446_H3NJ2BCXX-2_R1p.fastq.gz	./Ref_genomes_strep/GCA_002148965.1_ASM214896v1_genomic.fna.gz	18.3271	22.6523	95.72	0.171	95.33-96.21	0.171	0.14-0.19	1	1.306	1648/39209	90.28	27	NGFN01000001.1 Streptomyces swartbergensis strain HMC13 scaffold1.1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12824_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_013372845.1_ASM1337284v1_genomic.fna.gz	9.7988	7.4691	98.74	1.247	98.65-98.81	1.247	1.19-1.32	2	2.466	6685/13686	97.72	0	JAALOD010000001.1 MAG: Candidatus Udaeobacter sp. isolate AEW3 Udaeo2_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12824_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_003218475.1_ASM321847v1_genomic.fna.gz	7.3128	5.4671	96.01	0.931	95.80-96.18	0.931	0.84-1.02	2	2.214	2336/13382	94.53	212	QHNR01000048.1 MAG: Verrucomicrobia bacterium isolate AV71 14_0903_13_30cm_scaffold_1007495_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12824_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_003219735.1_ASM321973v1_genomic.fna.gz	6.9087	3.0534	97.90	0.880	97.72-98.09	0.880	0.81-0.96	1	1.660	2472/8012	96.28	20	QHQI01000183.1 MAG: Verrucomicrobia bacterium isolate AV130 14_0903_02_20cm_scaffold_10207_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12824_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_001920175.1_ASM192017v1_genomic.fna.gz	6.7072	3.8571	95.29	0.854	95.09-95.56	0.854	0.73-0.92	1	1.793	1365/10421	93.65	258	MNJH01000061.1 MAG: Verrucomicrobia bacterium 13_1_20CM_3_54_17 13_1_20cm_3_scaffold_101, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12824_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_003219945.1_ASM321994v1_genomic.fna.gz	6.5611	3.4834	96.28	0.835	96.01-96.46	0.835	0.75-0.94	2	2.484	1700/9581	94.57	57	QHQV01000251.1 MAG: Verrucomicrobia bacterium isolate AV119 14_0903_02_20cm_scaffold_1003_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12824_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_021732285.1_ASM2173228v1_genomic.fna.gz	6.5031	9.7868	96.38	0.828	96.25-96.49	0.828	0.78-0.88	1	1.931	5016/27284	94.68	0	JAKFVH010000009.1 MAG: Reyranella sp. isolate D3_Bin_12 D3_0000075, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12824_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_013290035.1_ASM1329003v1_genomic.fna.gz	5.4260	5.7070	95.80	0.691	95.61-96.04	0.691	0.62-0.75	1	1.750	2576/19141	93.74	357	JABCYT010000001.1 MAG: Alphaproteobacteria bacterium isolate Inc-BW-H-2-M_MAG46 Ga0210384_10001511, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12824_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_005884465.1_ASM588446v1_genomic.fna.gz	4.9019	4.4411	95.99	0.624	95.78-96.23	0.624	0.56-0.67	1	1.655	2186/16321	93.72	177	VAZH01000424.1 MAG: Alphaproteobacteria bacterium isolate AP_3 14_1009_16_30cm_scaffold_100117, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12824_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_018130385.1_ASM1813038v1_genomic.fna.gz	4.8685	9.2924	95.26	0.620	95.07-95.45	0.620	0.57-0.67	1	1.588	3637/34779	92.98	990	JAFCLU010000001.1 Bradyrhizobium sp. AUGA SZCCT0283 NODE_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12824_combined_R1p.fastq.gz	./Ref_genomes_strep/GCA_003218575.1_ASM321857v1_genomic.fna.gz	4.7337	2.3605	97.58	0.603	97.31-97.83	0.603	0.54-0.66	1	1.625	1970/9102	95.18	46	QHNW01000077.1 MAG: Verrucomicrobia bacterium isolate AV67 14_0903_02_30cm_scaffold_10063_curated, whole genome shotgun sequence
