Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
/scratch/alpine/clbd1748/Australia/QC_reads/12447_H3WL3BCXX-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrainsGTDB/GCA_900129425.1.fna	100.0000	100.0000	95.14	0.525	94.91-95.33	0.525	0.49-0.57	1	1.998	3458/38156	92.55	0	LT670817.1 Bradyrhizobium erythrophlei strain GAS138 genome assembly, chromosome: I
/scratch/alpine/clbd1748/Australia/QC_reads/12818_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrainsGTDB/GCA_000472925.1.fna	100.0000	100.0000	95.84	0.520	95.69-95.99	0.520	0.49-0.56	1	1.768	4846/42784	93.22	0	AXAS01000001.1 Bradyrhizobium sp. Ec3.3 YUUDRAFT_scaffold_0.1_C, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12816_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrainsGTDB/Brady_12816.fna	100.0000	100.0000	98.08	0.648	97.96-98.18	0.648	0.62-0.68	2	2.564	9614/34460	95.97	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/12824_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrainsGTDB/GCA_005884465.1.fna	26.7613	16.1027	96.04	0.632	95.82-96.34	0.632	0.56-0.68	1	1.695	2245/16321	93.80	118	VAZH01000424.1 MAG: Alphaproteobacteria bacterium isolate AP_3 14_1009_16_30cm_scaffold_100117, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12824_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrainsGTDB/GCA_018130385.1.fna	26.2391	33.2617	95.35	0.619	95.16-95.52	0.619	0.57-0.66	1	1.604	3738/34779	93.06	889	JAFCLU010000001.1 Bradyrhizobium sp. AUGA SZCCT0283 NODE_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12824_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrainsGTDB/GCA_023387735.1.fna	20.5525	19.8306	96.29	0.485	96.05-96.53	0.485	0.44-0.52	1	1.775	3250/26431	93.46	0	JAEWHP010000010.1 MAG: Proteobacteria bacterium isolate OH_PBlB_71 k127_1011274, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12824_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrainsGTDB/GCA_000296215.2.fna	13.9784	17.2033	96.05	0.330	95.80-96.31	0.330	0.30-0.36	1	1.539	2818/33828	92.30	227	CP013949.1 Bradyrhizobium sp. CCGE-LA001 chromosome, complete genome
/scratch/alpine/clbd1748/Australia/QC_reads/12824_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrainsGTDB/GCA_018131185.1.fna	12.4688	13.6017	95.55	0.294	95.20-95.81	0.294	0.26-0.33	1	1.409	1920/30053	91.51	853	JAFCJE010000001.1 Bradyrhizobium diazoefficiens strain SZCCT0449 NODE_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12819_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrainsGTDB/Brady_401592.fna	100.0000	100.0000	95.73	0.862	95.61-95.85	0.862	0.82-0.90	2	2.616	5411/34492	94.20	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/12830_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrainsGTDB/Brady_12816.fna	100.0000	100.0000	95.80	0.856	95.65-95.92	0.856	0.80-0.90	2	2.806	5750/34460	94.39	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/12828_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrainsGTDB/Brady_401624.fna	100.0000	100.0000	95.42	0.821	95.28-95.57	0.821	0.76-0.87	2	2.649	4735/34360	93.81	0	CP067102.1
