gene_callers_id	source	accession	function	e_value
1430	KOfam	K03205	type IV secretion system protein VirD4 [EC:7.4.2.8]	9.3e-108
1429	KOfam	K03205	type IV secretion system protein VirD4 [EC:7.4.2.8]	4.3e-70
1302	KOfam	K22209	D(-)-tartrate dehydratase [EC:4.2.1.81]	1.4e-209
1439	KOfam	K00697	trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]	6.4e-164
1300	KOfam	K00432	glutathione peroxidase [EC:1.11.1.9]	1e-82
1294	KOfam	K06137	pyrroloquinoline-quinone synthase [EC:1.3.3.11]	1.2e-104
1295	KOfam	K06136	pyrroloquinoline quinone biosynthesis protein B	6.3e-122
1334	KOfam	K22479	N-acetyltransferase	1.5e-95
1461	KOfam	K01841	phosphoenolpyruvate phosphomutase [EC:5.4.2.9]	5.3e-136
1284	KOfam	K09004	uncharacterized protein	4.4e-41
1369	KOfam	K20531	type IV secretion system protein TrbF	1.7e-110
1365	KOfam	K20530	type IV secretion system protein TrbE [EC:7.4.2.8]	0
1325	KOfam	K12972	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	1.5e-128
1370	KOfam	K20532	type IV secretion system protein TrbG	1.1e-114
1291	KOfam	K01259	proline iminopeptidase [EC:3.4.11.5]	2.1e-104
1441	KOfam	K01674	carbonic anhydrase [EC:4.2.1.1]	2.7e-80
1371	KOfam	K20533	type IV secretion system protein TrbI	5.5e-144
1370	KOfam	K20533	type IV secretion system protein TrbI	5.9e-120
1362	KOfam	K20527	type IV secretion system protein TrbB [EC:7.4.2.8]	2.7e-161
1289	KOfam	K15022	formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10]	2.3e-218
1329	KOfam	K05973	poly(3-hydroxybutyrate) depolymerase [EC:3.1.1.75]	2.3e-181
1364	KOfam	K20529	type IV secretion system protein TrbD	1.4e-38
1288	KOfam	K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	3.8e-164
1384	KOfam	K03327	multidrug resistance protein, MATE family	3.1e-79
1315	KOfam	K00799	glutathione S-transferase [EC:2.5.1.18]	9.2e-26
1330	KOfam	K00799	glutathione S-transferase [EC:2.5.1.18]	1.5e-17
1332	KOfam	K13653	AraC family transcriptional regulator	2.7e-87
1287	KOfam	K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	2.2e-92
1363	KOfam	K20528	type IV secretion system protein TrbC	6.6e-46
1366	KOfam	K20266	type IV secretion system protein TrbJ	1.7e-72
1313	KOfam	K18138	multidrug efflux pump	0
1293	KOfam	K06138	pyrroloquinoline quinone biosynthesis protein D	2.9e-36
1456	KOfam	K04060	type III secretion protein Y	3.9e-22
1292	KOfam	K06139	PqqA peptide cyclase [EC:1.21.98.4]	9.5e-174
1347	KOfam	K03531	cell division protein FtsZ	9e-159
1368	KOfam	K07344	type IV secretion system protein TrbL	1.6e-115
1333	KOfam	K01053	gluconolactonase [EC:3.1.1.17]	6.7e-60
1303	KOfam	K01578	malonyl-CoA decarboxylase [EC:4.1.1.9]	3.6e-174
1322	KOfam	K13587	two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]	4.2e-162
1374	KOfam	K22955	acyl homoserine lactone synthase [EC:2.3.1.184]	9.2e-80
1451	KOfam	K18376	type III secretion translocon protein HrpF	3.9e-240
1375	KOfam	K19732	LuxR family transcriptional regulator, activator of conjugal transfer of Ti plasmids	2.1e-82
1350	KOfam	K03150	2-iminoacetate synthase [EC:4.1.99.19]	6.3e-64
1336	KOfam	K07487	transposase	6e-60
1306	KOfam	K01779	aspartate racemase [EC:5.1.1.13]	1e-87
1457	KOfam	K03230	type III secretion protein V	4.8e-256
1307	KOfam	K21645	LysR family transcriptional regulator, hypochlorite-specific transcription factor HypT	1.1e-113
1454	KOfam	K03220	type III secretion protein D	1.6e-36
1314	KOfam	K03585	membrane fusion protein, multidrug efflux system	9.4e-107
1388	KOfam	K07481	transposase, IS5 family	9.4e-66
1381	KOfam	K07483	transposase	3.7e-16
1338	KOfam	K07497	putative transposase	2.7e-35
1356	KOfam	K07497	putative transposase	2.7e-35
1358	KOfam	K07497	putative transposase	5.8e-22
1383	KOfam	K07497	putative transposase	7.1e-12
1391	KOfam	K14986	two-component system, LuxR family, sensor kinase FixL [EC:2.7.13.3]	9.9e-131
1334	KOfam	K00886	polyphosphate glucokinase [EC:2.7.1.63]	2.4e-57
475	KOfam	K16568	exopolysaccharide production protein ExoZ	8.5e-80
473	KOfam	K03818	putative colanic acid biosynthesis acetyltransferase WcaF [EC:2.3.1.-]	1.7e-75
547	KOfam	K01955	carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	0
419	KOfam	K02495	oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]	1.1e-97
416	KOfam	K24126	lipoyl-dependent peroxiredoxin subunit C [EC:1.11.1.28]	4.2e-83
408	KOfam	K03228	type III secretion protein T	2.3e-69
534	KOfam	K02651	pilus assembly protein Flp/PilA	7.8e-19
457	KOfam	K13628	iron-sulfur cluster assembly protein	4.1e-43
411	KOfam	K02280	pilus assembly protein CpaC	1.5e-152
410	KOfam	K02281	pilus assembly protein CpaD	1.2e-33
497	KOfam	K01710	dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	6.5e-165
543	KOfam	K04047	starvation-inducible DNA-binding protein	8.8e-79
488	KOfam	K01711	GDPmannose 4,6-dehydratase [EC:4.2.1.47]	1.4e-218
448	KOfam	K02597	nitrogen fixation protein NifZ	1.7e-40
447	KOfam	K02597	nitrogen fixation protein NifZ	1.1e-26
454	KOfam	K02597	nitrogen fixation protein NifZ	4.3e-17
392	KOfam	K16079	outer membrane immunogenic protein	2.7e-50
396	KOfam	K16079	outer membrane immunogenic protein	2.7e-34
481	KOfam	K03272	D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]	1.3e-167
463	KOfam	K02596	nitrogen fixation protein NifX	7.4e-60
464	KOfam	K02592	nitrogenase molybdenum-iron protein NifN	9.3e-202
467	KOfam	K02586	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	1e-219
455	KOfam	K04487	cysteine desulfurase [EC:2.8.1.7]	1.9e-160
489	KOfam	K00971	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	2.4e-128
465	KOfam	K02587	nitrogenase molybdenum-cofactor synthesis protein NifE	1.3e-239
454	KOfam	K02593	nitrogen fixation protein NifT	6.1e-33
451	KOfam	K02585	nitrogen fixation protein NifB	4.9e-189
466	KOfam	K02591	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	1e-198
480	KOfam	K03274	ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]	1.9e-136
468	KOfam	K02588	nitrogenase iron protein NifH	1e-144
440	KOfam	K02588	nitrogenase iron protein NifH	1.4e-144
486	KOfam	K02377	GDP-L-fucose synthase [EC:1.1.1.271]	1.9e-139
503	KOfam	K08738	cytochrome c	3e-24
540	KOfam	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	5.9e-142
368	KOfam	K07486	transposase	2.6e-74
426	KOfam	K07486	transposase	1.4e-35
542	KOfam	K07486	transposase	3e-25
381	KOfam	K07492	putative transposase	1.5e-34
382	KOfam	K07492	putative transposase	6.1e-24
406	KOfam	K03226	type III secretion protein R	4.7e-87
489	KOfam	K16011	mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8]	5.9e-168
435	KOfam	K07493	putative transposase	2.4e-60
436	KOfam	K07493	putative transposase	2.1e-38
438	KOfam	K07493	putative transposase	5.9e-29
496	KOfam	K01790	dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	7.5e-83
439	KOfam	K07485	transposase	7.3e-37
403	KOfam	K03224	ATP synthase in type III secretion protein N [EC:7.4.2.8]	9.3e-196
405	KOfam	K03225	type III secretion protein Q	2.9e-46
371	KOfam	K07484	transposase	4e-22
487	KOfam	K03208	putative colanic acid biosynthesis glycosyltransferase WcaI	8.9e-152
548	KOfam	K03624	transcription elongation factor GreA	2.4e-74
415	KOfam	K07481	transposase, IS5 family	3.5e-62
386	KOfam	K07481	transposase, IS5 family	2.2e-28
370	KOfam	K07483	transposase	1.3e-13
400	KOfam	K03222	type III secretion protein J	8e-92
402	KOfam	K03223	type III secretion protein L	1.1e-38
1003	KOfam	K01997	branched-chain amino acid transport system permease protein	1.7e-77
1050	KOfam	K10440	ribose transport system permease protein	6.7e-105
1041	KOfam	K01808	ribose 5-phosphate isomerase B [EC:5.3.1.6]	1.1e-68
1000	KOfam	K01996	branched-chain amino acid transport system ATP-binding protein	3e-99
1056	KOfam	K07077	uncharacterized protein	0
1065	KOfam	K00254	dihydroorotate dehydrogenase [EC:1.3.5.2]	1.1e-156
1004	KOfam	K01995	branched-chain amino acid transport system ATP-binding protein	1e-111
941	KOfam	K07499	putative transposase	1.1e-29
943	KOfam	K07499	putative transposase	1.1e-29
964	KOfam	K07499	putative transposase	1.1e-29
917	KOfam	K03406	methyl-accepting chemotaxis protein	2.3e-69
962	KOfam	K01711	GDPmannose 4,6-dehydratase [EC:4.2.1.47]	7.6e-201
1060	KOfam	K02030	polar amino acid transport system substrate-binding protein	3.9e-45
927	KOfam	K05986	nuclease S1 [EC:3.1.30.1]	1.2e-40
1042	KOfam	K08726	soluble epoxide hydrolase / lipid-phosphate phosphatase [EC:3.3.2.10 3.1.3.76]	9.3e-106
940	KOfam	K14657	LysR family transcriptional regulator, nod-box dependent transcriptional activator	1.3e-77
924	KOfam	K01918	pantoate--beta-alanine ligase [EC:6.3.2.1]	1.3e-134
1069	KOfam	K07577	putative mRNA 3-end processing factor	1.3e-137
1019	KOfam	K03088	RNA polymerase sigma-70 factor, ECF subfamily	1.7e-44
1005	KOfam	K17228	dimethylsulfone monooxygenase [EC:1.14.14.35]	2.4e-174
1092	KOfam	K07156	copper resistance protein C	1.6e-31
1089	KOfam	K09796	periplasmic copper chaperone A	2.9e-26
933	KOfam	K18843	antitoxin HicB	1.1e-21
1096	KOfam	K10946	methane/ammonia monooxygenase subunit C	7.3e-109
1044	KOfam	K24217	L-amino acid N-acyltransferase [EC:2.3.1.-]	3.5e-78
923	KOfam	K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	1.3e-123
1066	KOfam	K03327	multidrug resistance protein, MATE family	1.2e-52
1095	KOfam	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	3.5e-104
1094	KOfam	K10945	methane/ammonia monooxygenase subunit B	8.8e-154
1076	KOfam	K07154	serine/threonine-protein kinase HipA [EC:2.7.11.1]	2.8e-12
1051	KOfam	K10439	ribose transport system substrate-binding protein	1.2e-65
930	KOfam	K00428	cytochrome c peroxidase [EC:1.11.1.5]	1.6e-54
1055	KOfam	K09022	2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]	3.3e-25
996	KOfam	K01640	hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]	3.2e-93
1059	KOfam	K07152	protein SCO1	4e-69
1011	KOfam	K07486	transposase	1.4e-33
1078	KOfam	K07486	transposase	1.1e-24
1013	KOfam	K07486	transposase	2.3e-24
1047	KOfam	K00854	xylulokinase [EC:2.7.1.17]	4.8e-120
983	KOfam	K15726	heavy metal efflux system protein	0
1021	KOfam	K07487	transposase	6e-60
1072	KOfam	K07487	transposase	6e-60
985	KOfam	K15725	outer membrane protein, heavy metal efflux system	1.8e-85
965	KOfam	K07494	putative transposase	1.1e-41
1002	KOfam	K01998	branched-chain amino acid transport system permease protein	9.8e-80
1087	KOfam	K01581	ornithine decarboxylase [EC:4.1.1.17]	9.5e-77
1062	KOfam	K04566	lysyl-tRNA synthetase, class I [EC:6.1.1.6]	2.3e-224
1053	KOfam	K07046	L-fucono-1,5-lactonase [EC:3.1.1.120]	6.4e-121
956	KOfam	K08598	YopJ protease family	1.3e-75
1071	KOfam	K01999	branched-chain amino acid transport system substrate-binding protein	2.2e-53
1024	KOfam	K07483	transposase	7.1e-13
1045	KOfam	K03829	putative acetyltransferase [EC:2.3.1.-]	8.4e-64
1023	KOfam	K07497	putative transposase	1.9e-34
1073	KOfam	K07497	putative transposase	1.9e-34
1024	KOfam	K07497	putative transposase	8.5e-21
1074	KOfam	K07497	putative transposase	9.6e-18
1014	KOfam	K07497	putative transposase	2.1e-14
1077	KOfam	K06400	site-specific DNA recombinase	3.9e-61
1048	KOfam	K01805	xylose isomerase [EC:5.3.1.5]	5.4e-189
1052	KOfam	K00064	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	1.5e-139
784	KOfam	K03414	chemotaxis protein CheZ	6.3e-50
743	KOfam	K07263	zinc protease [EC:3.4.24.-]	1.6e-131
744	KOfam	K07263	zinc protease [EC:3.4.24.-]	4.5e-82
762	KOfam	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	5.4e-168
750	KOfam	K11991	tRNA(adenine34) deaminase [EC:3.5.4.33]	1.7e-68
824	KOfam	K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	2.9e-135
776	KOfam	K04033	AraC family transcriptional regulator, ethanolamine operon transcriptional activator	1e-54
900	KOfam	K07499	putative transposase	3.4e-27
832	KOfam	K01577	oxalyl-CoA decarboxylase [EC:4.1.1.8]	9.1e-306
766	KOfam	K00912	tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	2e-106
747	KOfam	K03572	DNA mismatch repair protein MutL	8.2e-215
760	KOfam	K06190	intracellular septation protein	2.5e-29
736	KOfam	K03413	two-component system, chemotaxis family, chemotaxis protein CheY	4.2e-47
767	KOfam	K02527	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	1e-155
883	KOfam	K03605	hydrogenase maturation protease [EC:3.4.23.-]	4.8e-57
752	KOfam	K01945	phosphoribosylamine---glycine ligase [EC:6.3.4.13]	2.5e-214
809	KOfam	K01560	2-haloacid dehalogenase [EC:3.8.1.2]	5e-67
749	KOfam	K06178	23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]	1.9e-123
733	KOfam	K07058	membrane protein	1.1e-81
751	KOfam	K01561	haloacetate dehalogenase [EC:3.8.1.3]	3.2e-135
852	KOfam	K09459	phosphonopyruvate decarboxylase [EC:4.1.1.82]	3e-120
896	KOfam	K02594	homocitrate synthase NifV [EC:2.3.3.14]	4.1e-161
874	KOfam	K04654	hydrogenase expression/formation protein HypD	1.1e-185
885	KOfam	K06282	hydrogenase small subunit [EC:1.12.99.6]	1.4e-165
775	KOfam	K09761	16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]	4.4e-66
897	KOfam	K09826	Fur family transcriptional regulator, iron response regulator	8.8e-41
873	KOfam	K04655	hydrogenase expression/formation protein HypE	8e-155
895	KOfam	K02595	nitrogenase-stabilizing/protective protein	9.2e-40
780	KOfam	K20534	polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]	1.1e-130
884	KOfam	K06281	hydrogenase large subunit [EC:1.12.99.6]	4.4e-237
786	KOfam	K04078	chaperonin GroES	6.4e-49
