key	Brady_12816_Strain_1	Brady_138538_Strain_1	Brady_138538_Strain_2	Brady_401548_Strain_1	Brady_401548_Strain_2	Brady_401550_Strain_1	Brady_401550_Strain_2	Brady_401552_Strain_1	Brady_401552_Strain_2	Brady_401553_Strain_1	Brady_401553_Strain_3	Brady_401554_Strain_1	Brady_401554_Strain_2	Brady_401556_Strain_1	Brady_401556_Strain_2	Brady_401557_Strain_1	Brady_401557_Strain_2	Brady_401558_Strain_1	Brady_401560_Strain_1	Brady_401560_Strain_2	Brady_401561_Strain_1	Brady_401563_Strain_1	Brady_401563_Strain_2	Brady_401564_Strain_1	Brady_401564_Strain_2	Brady_401566_Strain_1	Brady_401566_Strain_3	Brady_401567_Strain_1	Brady_401567_Strain_2	Brady_401568_Strain_1	Brady_401568_Strain_2	Brady_401569_Strain_1	Brady_401570_Strain_1	Brady_401571_Strain_1	Brady_401573_Strain_1	Brady_401576_Strain_1	Brady_401576_Strain_3	Brady_401577_Strain_1	Brady_401577_Strain_2	Brady_401579_Strain_1	Brady_401580_Strain_1	Brady_401580_Strain_2	Brady_401581_Strain_1	Brady_401582_Strain_1	Brady_401582_Strain_2	Brady_401583_Strain_1	Brady_401583_Strain_2	Brady_401586_Strain_1	Brady_401586_Strain_2	Brady_401588_Strain_1	Brady_401588_Strain_2	Brady_401589_Strain_1	Brady_401591_Strain_1	Brady_401592_Strain_1	Brady_401592_Strain_2	Brady_401593_Strain_1	Brady_401593_Strain_2	Brady_401594_Strain_1	Brady_401594_Strain_2	Brady_401595_Strain_1	Brady_401595_Strain_2	Brady_401600_Strain_1	Brady_401600_Strain_2	Brady_401604_Strain_1	Brady_401606_Strain_1	Brady_401608_Strain_1	Brady_401608_Strain_2	Brady_401614_Strain_1	Brady_401616_Strain_1	Brady_401624_Strain_1	Brady_401624_Strain_2	Brady_401632_Strain_1	Brady_401636_Strain_1	Brady_401636_Strain_2	Brady_401640_Strain_1	Brady_401648_Strain_1	Brady_401652_Strain_1	Brady_401652_Strain_2	Brady_401656_Strain_1	Brady_401656_Strain_2	Brady_401658_Strain_1	Brady_401658_Strain_2	Brady_401660_Strain_1	Brady_401660_Strain_2	Brady_401660_Strain_3	Brady_7083_Strain_1	Brady_7083_Strain_2	Brady_7085_Strain_1	Brady_7085_Strain_2	Brady_Reference	GCA_000465325_1	GCA_000472385_1	GCA_000472425_1	GCA_000472645_1	GCA_000472925_1	GCA_000473125_1	GCA_000518345_1	GCA_000938255_1	GCA_000938285_1	GCA_001440035_1	GCA_001440415_1	GCA_001440475_1	GCA_001593325_1	GCA_001693485_1	GCA_001908185_1	GCA_002108805_1	GCA_003020115_1	GCA_003062295_1	GCA_003476535_1	GCA_004212675_1	GCA_004634465_1	GCA_006519655_1	GCA_008123425_1	GCA_009766005_1	GCA_011058295_1	GCA_013114825_1	GCA_013114835_1	GCA_014844175_1	GCA_015291565_1	GCA_015291625_1	GCA_015624505_1	GCA_016031625_1	GCA_016031635_1	GCA_016612535_1	GCA_016616235_1	GCA_016616425_1	GCA_016907215_1	GCA_017614905_1	GCA_017881085_1	GCA_018129725_1	GCA_018130215_1	GCA_018130385_1	GCA_018130565_1	GCA_018130685_1	GCA_018130735_1	GCA_018130785_1	GCA_018130795_1	GCA_018131185_1	GCA_018398875_1	GCA_018398895_1	GCA_019455395_1	GCA_019972155_1	GCA_020252455_1	GCA_020329485_1	GCA_021052265_1	GCA_021052305_1	GCA_022012435_1	GCA_023072905_1	GCA_023073035_1	GCA_023073095_1	GCA_023073475_1	GCA_023073735_1	GCA_023073875_1	GCA_023073935_1	GCA_023074095_1	GCA_023100945_1	GCA_023387735_1	GCA_023388935_1	GCA_024199845_1	GCA_024199945_1	GCA_025936395_1	GCA_027594865_1	GCA_029714305_1	GCA_029714405_1	GCA_029714945_1	GCA_029761915_1	GCA_030378205_1	GCA_030435535_1	GCA_031202265_1	GCA_900011245_1	GCA_900011265_1	GCA_900099825_1	GCA_900104755_1	GCA_900109945_1	GCA_900129425_1	GCA_900129505_1	GCA_900129675_1	GCA_900141755_1	GCA_900142345_1	GCA_900142985_1	GCA_936928535_1	GCA_946415105_1	CAZyme
func_c1dfaca05338	12	11	12	12	12	11	12	11	12	11	12	11	13	11	13	11	12	11	11	12	11	11	12	11	12	11	11	11	11	11	11	11	12	12	12	11	12	11	12	12	11	12	12	11	13	11	12	11	12	11	12	11	12	11	12	11	12	11	11	12	13	11	12	12	11	12	12	13	13	11	11	12	11	11	11	13	11	11	11	12	11	12	11	12	12	11	11	11	13	12	11	14	11	12	13	14	11	13	13	13	11	14	9	10	10	13	11	12	10	13	11	14	10	10	10	14	10	13	12	10	12	12	12	10	8	10	11	12	5	11	11	10	8	8	10	8	10	7	11	9	12	12	10	9	14	10	12	9	10	11	10	8	10	8	9	9	7	6	11	11	6	12	10	11	11	10	9	10	10	7	9	8	8	11	10	11	12	13	8	10	8	11	CE4.hmm
func_06b51812be2c	7	7	7	7	7	7	7	7	7	7	6	7	6	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	9	6	7	9	9	7	9	8	9	5	5	8	4	6	8	7	5	5	10	5	9	8	5	5	4	4	9	7	9	9	8	10	8	10	8	8	8	4	7	6	4	8	7	6	9	6	6	5	4	7	6	7	7	9	8	9	8	8	7	6	8	6	6	6	8	4	7	8	9	4	8	4	8	9	7	4	6	4	7	6	5	5	6	3	5	4	6	5	4	5	9	GH23.hmm
func_ba5108d76647	7	6	7	6	6	6	6	6	6	6	7	7	5	7	6	6	6	6	6	6	7	6	6	6	6	6	7	6	6	6	6	7	6	6	7	7	7	6	6	7	6	6	6	6	6	6	6	7	6	6	6	7	7	7	6	7	6	6	6	6	6	7	6	6	6	6	6	7	6	6	6	6	6	6	7	7	7	6	6	7	6	7	7	6	6	6	6	6	5	7	3	4	4	8	4	8	5	6	9	4	6	6	6	6	5	5	6	4	3	6	6	8	8	3	3	3	7	7	3	3	6	6	5	6	6	5	5	6	4	3	3	4	6	6	6	7	7	5	5	6	7	3	3	3	8	5	4	5	5	6	7	6	8	8	7	6	4	5	7	7	3	8	6	6	6	8	4	5	3	5	5	4	4	6	3	5	5	3	4	3	4	3	AA4.hmm
func_f52de7f9e49c	12	12	12	12	11	11	12	12	12	12	12	12	12	12	11	12	11	12	12	11	12	12	12	11	11	11	11	11	11	12	12	12	12	12	11	12	12	11	11	12	12	12	12	11	11	11	11	12	12	12	11	12	12	12	11	12	11	11	11	10	12	12	12	12	12	12	12	11	12	12	12	12	12	12	11	12	11	11	11	11	12	11	12	12	11	12	12	12	12	12	5	2	4	15	14	4	5	4	4	13	8	6	4	6	2	6	4	5	5	3	6	4	12	5	7	6	5	5	4	7	4	8	4	6	5	5	6	2	3	7	5	7	5	6	5	3	7	5	7	5	11	7	4	4	4	6	12	6	6	5	3	2	3	2	3	6	3	6	9	11	2	5	8	13	9	6	4	6	5	4	6	5	5	5	5	6	5	6	4	5	9	6	GH109.hmm
func_e5e99ba5da6e	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	2	1	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	1	0	1	0	2	1	0	0	1	1	1	1	1	0	0	0	0	1	0	2	0	1	1	2	1	0	1	0	0	1	1	1	0	0	1	0	1	0	2	0	GT25.hmm
func_c25cedc0e7fe	5	6	5	6	6	6	5	6	6	6	4	6	6	6	5	6	5	6	6	5	6	6	6	6	5	6	6	8	6	6	5	6	6	6	6	6	5	6	6	6	6	6	6	6	5	6	5	6	6	6	5	6	6	6	6	6	5	6	5	6	5	6	5	7	6	6	6	6	6	6	6	5	6	5	5	5	6	6	6	6	6	6	6	6	5	6	5	6	6	5	7	5	6	5	6	5	5	5	6	6	4	6	6	5	5	5	4	6	7	4	6	5	6	4	5	4	5	6	5	6	5	6	5	6	7	5	5	3	4	7	6	7	4	4	6	6	6	5	5	5	6	6	7	5	5	5	6	6	5	5	6	4	6	5	5	7	4	6	6	6	3	6	5	6	6	6	7	5	5	5	6	5	5	6	7	8	5	4	5	6	5	4	GT83.hmm
func_798c006ad302	13	12	12	12	13	12	13	13	13	12	12	12	12	12	12	12	12	12	12	13	12	12	12	13	13	12	13	12	12	14	13	12	12	12	12	12	12	13	12	12	12	13	12	11	12	12	12	12	13	12	12	12	13	12	12	12	12	12	12	12	12	12	12	13	13	12	12	13	12	12	13	12	12	12	12	12	12	12	11	12	12	11	12	12	12	12	12	12	12	12	4	14	14	15	22	12	10	12	12	17	16	8	14	9	9	17	9	9	4	11	11	12	17	10	9	9	10	11	12	10	10	9	9	15	13	18	10	14	3	7	11	10	21	11	11	11	10	9	15	12	15	6	4	11	12	10	8	15	8	11	14	18	14	15	15	14	8	9	17	16	4	17	6	21	16	10	7	9	16	9	11	4	4	10	12	14	15	12	6	10	7	11	GT2_Glycos_transf_2.hmm
func_be544f28c0dc	13	15	12	13	10	15	13	14	12	15	9	14	12	13	13	14	15	11	13	13	14	13	13	15	14	13	12	14	13	14	13	14	13	12	13	13	8	15	15	13	15	13	13	13	13	14	13	13	11	13	10	12	13	13	12	13	12	14	12	15	14	14	14	13	15	14	14	13	11	15	10	13	14	13	14	12	13	12	14	13	15	14	14	11	14	15	12	14	11	15	11	10	8	18	15	16	14	19	19	12	11	15	9	12	10	13	13	18	11	15	14	16	21	14	9	10	10	13	16	16	13	12	19	14	11	10	13	15	5	12	16	10	10	11	16	14	17	11	12	13	12	12	11	7	16	13	14	13	11	13	14	12	14	13	15	15	10	12	14	19	3	18	9	15	20	14	18	14	12	11	14	10	10	13	7	13	10	17	10	16	11	14	CE9.hmm
func_8a78e41d06b0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	GT30.hmm
func_62f3a6748d5a	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	2	7	7	1	4	4	3	2	2	7	1	4	3	2	3	7	4	5	2	6	4	4	6	6	5	1	1	4	4	3	1	1	2	2	3	2	4	2	3	2	4	4	3	3	3	3	3	2	2	3	3	2	2	2	4	4	4	3	3	3	2	1	2	1	1	6	3	4	3	4	2	2	1	6	3	5	10	3	6	4	3	4	4	2	5	3	8	4	4	6	2	2	AA3.hmm
