layers	Brady_Reference	GCA_004212675_1	GCA_024199845_1	GCA_900099825_1	Brady_401573_Strain_1	Brady_401616_Strain_1	Brady_401656_Strain_2	Brady_401558_Strain_2	Brady_138538_Strain_2	Brady_401554_Strain_1	Brady_401652_Strain_2	GCA_000938255_1	Brady_401658_Strain_2	Brady_401558_Strain_1	Brady_401652_Strain_1	Brady_401564_Strain_2	GCA_011058295_1	GCA_900011245_1	GCA_001693485_1	Brady_12816_Strain_1	GCA_018130215_1	Brady_401600_Strain_2	Brady_401595_Strain_2	GCA_030435535_1	GCA_000473125_1	GCA_946415105_1	Brady_401588_Strain_2	GCA_018130385_1	Brady_401606_Strain_1	GCA_003020115_1	GCA_900129675_1	Brady_401566_Strain_1	GCA_031202265_1	GCA_016616425_1	GCA_027594865_1	GCA_018398895_1	Brady_401556_Strain_2	GCA_900104755_1	Brady_401660_Strain_1	Brady_401552_Strain_1	GCA_900142345_1	Brady_401548_Strain_2	GCA_029714945_1	GCA_015624505_1	GCA_001440415_1	GCA_000472925_1	Brady_401568_Strain_2	Brady_401557_Strain_2	GCA_936928535_1	GCA_023073735_1	GCA_006519655_1	GCA_008123425_1	Brady_401589_Strain_2	Brady_401600_Strain_1	GCA_003476535_1	GCA_029714305_1	GCA_018130795_1	GCA_030378205_1	Brady_401580_Strain_2	GCA_018130565_1	Brady_401568_Strain_1	GCA_000472425_1	Brady_401595_Strain_1	Brady_401593_Strain_2	Brady_401592_Strain_1	GCA_016907215_1	GCA_900142985_1	GCA_017614905_1	GCA_003062295_1	Brady_401563_Strain_2	Brady_401564_Strain_1	GCA_019455395_1	Brady_401632_Strain_1	Brady_401577_Strain_2	GCA_023073935_1	GCA_020329485_1	GCA_002108805_1	GCA_018131185_1	Brady_401550_Strain_2	GCA_000472385_1	GCA_900141755_1	Brady_401583_Strain_2	Brady_401560_Strain_2	GCA_003476565_1	GCA_016031625_1	GCA_000472645_1	GCA_015291625_1	GCA_018129725_1	Brady_401560_Strain_1	Brady_401554_Strain_2	Brady_401550_Strain_1	Brady_401571_Strain_1	Brady_401624_Strain_2	GCA_021052265_1	Brady_401658_Strain_1	GCA_029761915_1	GCA_001593325_1	Brady_401561_Strain_1	GCA_023073095_1	GCA_001908185_1	Brady_401552_Strain_2	GCA_900129425_1	GCA_022012435_1	GCA_029714405_1	GCA_023073035_1	Brady_401648_Strain_1	Brady_401586_Strain_2	GCA_023074095_1	Brady_401566_Strain_2	Brady_7085_Strain_2	Brady_401556_Strain_1	Brady_7085_Strain_1	GCA_023073475_1	Brady_401583_Strain_1	GCA_016616235_1	Brady_401567_Strain_2	Brady_401569_Strain_2	GCA_900109945_1	Brady_401580_Strain_1	Brady_401553_Strain_2	Brady_401581_Strain_1	Brady_401594_Strain_1	GCA_000518345_1	Brady_401576_Strain_1	GCA_004634465_1	Brady_401591_Strain_1	Brady_401582_Strain_1	GCA_019972155_1	Brady_401592_Strain_2	GCA_000938285_1	GCA_018398875_1	Brady_401577_Strain_1	GCA_023100945_1	Brady_401576_Strain_2	Brady_401570_Strain_1	Brady_401567_Strain_1	GCA_009766005_1	Brady_401656_Strain_1	Brady_401614_Strain_1	GCA_014844175_1	Brady_401557_Strain_1	Brady_401588_Strain_1	Brady_401553_Strain_1	Brady_401660_Strain_2	GCA_001440475_1	Brady_401589_Strain_1	GCA_018130785_1	Brady_401586_Strain_1	Brady_401569_Strain_1	Brady_401640_Strain_1	Brady_401636_Strain_1	Brady_401636_Strain_2	Brady_401593_Strain_1	Brady_138538_Strain_1	Brady_401582_Strain_2	Brady_7083_Strain_2	GCA_900129505_1	GCA_023072905_1	Brady_7083_Strain_1	Brady_401561_Strain_2	Brady_401608_Strain_1	Brady_401579_Strain_1	GCA_001440035_1	GCA_023073875_1	GCA_013114825_1	GCA_016031635_1	Brady_401548_Strain_1	Brady_401604_Strain_1	GCA_018130735_1	GCA_900011265_1	GCA_016612535_1	GCA_021052305_1	Brady_401608_Strain_2	Brady_401624_Strain_1	GCA_013114835_1	GCA_000465325_1	Brady_401594_Strain_2	Brady_401563_Strain_1	GCA_018130685_1	GCA_015291565_1	GCA_024199945_1
Brady_12816_Strain_1	0.963018	0.83606	0.86976	0.834652	0.963337	0.959302	0.934057	0.936151	0.937007	0.957435	0.940741	0.874755	0.929166	0.955998	0.956276	0.939076	0.839971	0.869104	0.82957	1.0	0.837918	0.941955	0.937482	0.878799	0.874945	0.840138	0.939845	0.833221	0.959357	0.870367	0.833504	0.958018	0.833783	0.869716	0.878668	0.828657	0.936661	0.834897	0.954723	0.955398	0.834976	0.933446	0.888178	0.876451	0.827333	0.859316	0.942905	0.938194	0.873378	0.865344	0.874904	0.889445	0.938197	0.957425	0.842291	0.833692	0.877986	0.840791	0.940019	0.871435	0.959338	0.833287	0.956157	0.941446	0.956088	0.866704	0.814749	0.834651	0.831608	0.941178	0.957765	0.875233	0.961175	0.935735	0.866418	0.832698	0.866446	0.867299	0.931889	0.825706	0.82689	0.939354	0.932418	0.842431	0.867646	0.878206	0.840009	0.840672	0.95413	0.939379	0.953503	0.961456	0.930825	0.875195	0.952259	0.865714	0.86767	0.957933	0.868643	0.876876	0.933237	0.823947	0.874191	0.856558	0.86888	0.962157	0.934432	0.866258	0.941226	0.930764	0.956289	0.953393	0.86628	0.957427	0.878819	0.927716	0.941242	0.873491	0.958312	0.939805	0.958719	0.955062	0.868777	0.958533	0.876826	0.960317	0.958638	0.839062	0.933569	0.874948	0.828229	0.956414	0.831767	0.942004	0.962779	0.951568	0.82495	0.953412	0.960936	0.874516	0.955851	0.956579	0.955401	0.93564	0.832601	0.956692	0.875631	0.954313	0.957833	0.962057	0.959026	0.940916	0.95959	0.953573	0.942657	0.928475	0.831064	0.867379	0.952146	0.940319	0.957016	0.961617	0.87286	0.865652	0.827393	0.87057	0.954028	0.957307	0.876546	0.877428	0.883976	0.866933	0.942384	0.953829	0.82883	0.841151	0.933134	0.958064	0.871432	0.843288	0.886962
Brady_138538_Strain_1	0.959902	0.836681	0.873503	0.839324	0.957939	0.954828	0.933278	0.932201	0.96124	0.956943	0.936528	0.881883	0.9273	0.953981	0.953999	0.934898	0.843896	0.87647	0.832727	0.953603	0.841506	0.938875	0.934614	0.886	0.880018	0.844878	0.935309	0.836682	0.957111	0.878018	0.836501	0.956894	0.837244	0.87381	0.883623	0.830774	0.932224	0.838943	0.955058	0.95479	0.839333	0.930325	0.895229	0.884498	0.831289	0.858472	0.937979	0.933738	0.88091	0.86903	0.879872	0.89691	0.934133	0.957064	0.845227	0.83645	0.882768	0.842108	0.935593	0.876167	0.956708	0.831278	0.955658	0.935917	0.954892	0.873807	0.818478	0.835917	0.834422	0.936985	0.955929	0.882206	0.955322	0.931467	0.870922	0.834851	0.874043	0.872623	0.929408	0.824745	0.829985	0.935387	0.929	0.845632	0.872437	0.883349	0.84377	0.844403	0.953277	0.935794	0.953405	0.959576	0.928372	0.880029	0.953409	0.867868	0.872399	0.957076	0.877269	0.875816	0.929853	0.827154	0.882147	0.854042	0.876565	0.955141	0.931159	0.870596	0.93722	0.928781	0.953751	0.954707	0.869957	0.955726	0.884173	0.927261	0.93745	0.88071	0.956719	0.936551	0.955722	0.954639	0.877352	0.957167	0.882418	0.957678	0.956719	0.844676	0.93016	0.883059	0.830901	0.954848	0.83481	0.938367	0.95785	0.953541	0.829658	0.955236	0.956438	0.879545	0.952906	0.953362	0.95439	0.933003	0.835804	0.954811	0.880516	0.952438	0.956565	0.956777	0.957459	0.936508	0.955441	1.0	0.938365	0.927106	0.835291	0.875036	0.953875	0.935988	0.954735	0.95922	0.879461	0.869787	0.830289	0.875627	0.953549	0.955254	0.88136	0.883	0.898457	0.873752	0.938158	0.953587	0.830155	0.845186	0.931038	0.95641	0.875795	0.846958	0.894221
Brady_138538_Strain_2	0.94751	0.808115	0.846467	0.810807	0.941122	0.939449	0.928412	0.926998	1.0	0.937148	0.930753	0.855402	0.922336	0.934812	0.936424	0.931034	0.814784	0.849917	0.806665	0.937128	0.811275	0.934267	0.930294	0.859273	0.852349	0.813986	0.929172	0.809378	0.939864	0.850343	0.809619	0.937619	0.810098	0.845826	0.858404	0.805322	0.927228	0.810194	0.935139	0.93391	0.811161	0.925112	0.871879	0.857266	0.805262	0.831151	0.933727	0.927807	0.854756	0.842234	0.85186	0.873521	0.929229	0.938888	0.814031	0.807367	0.856168	0.812128	0.932047	0.847503	0.938162	0.803615	0.935801	0.931077	0.933822	0.848126	0.796924	0.808959	0.807682	0.932977	0.936111	0.855398	0.938875	0.92742	0.842798	0.808408	0.847787	0.84434	0.924063	0.80059	0.805807	0.930828	0.923813	0.814563	0.844068	0.857244	0.813415	0.813459	0.933187	0.932059	0.933732	0.941426	0.923706	0.85227	0.932834	0.840056	0.843261	0.937318	0.851268	0.848666	0.925926	0.804297	0.856481	0.827993	0.850227	0.938647	0.925146	0.842336	0.933182	0.925137	0.934554	0.933821	0.842334	0.936628	0.857778	0.921997	0.932974	0.854628	0.937046	0.930421	0.938134	0.933987	0.850832	0.938318	0.855526	0.93871	0.938088	0.813471	0.926374	0.855768	0.804919	0.934622	0.807637	0.934017	0.940497	0.932864	0.804967	0.935059	0.940011	0.851884	0.93478	0.93539	0.93633	0.928235	0.808834	0.935669	0.853226	0.933594	0.937659	0.939191	0.937773	0.933285	0.936727	0.961323	0.933705	0.922092	0.809277	0.848552	0.933356	0.932689	0.937397	0.941289	0.85302	0.842263	0.803675	0.847991	0.933886	0.937632	0.85491	0.856141	0.873733	0.847844	0.93254	0.932704	0.805178	0.813864	0.926611	0.937456	0.8471	0.815948	0.870469
Brady_401548_Strain_1	0.958483	0.841009	0.882119	0.844637	0.95657	0.957158	0.932302	0.933123	0.933875	0.956883	0.937667	0.88724	0.928441	0.959559	0.959596	0.933093	0.84795	0.883243	0.8409	0.954096	0.84606	0.936136	0.933489	0.889375	0.887809	0.849194	0.936956	0.845659	0.955424	0.883692	0.840911	0.955783	0.842588	0.880252	0.893262	0.837818	0.933681	0.843559	0.958554	0.957215	0.844555	0.950464	0.898077	0.887949	0.839298	0.865101	0.935916	0.935778	0.884116	0.877413	0.887602	0.898762	0.93451	0.955574	0.850343	0.843813	0.896643	0.844872	0.934701	0.88444	0.956016	0.832704	0.955807	0.935907	0.956692	0.880387	0.818098	0.840694	0.843484	0.934971	0.95546	0.8852	0.955973	0.931138	0.878641	0.838188	0.880196	0.881109	0.931526	0.824672	0.832925	0.934595	0.931077	0.85018	0.879703	0.891288	0.848371	0.848748	0.959508	0.934677	0.960147	0.957343	0.927135	0.888255	0.95902	0.875281	0.879594	0.95737	0.882836	0.884115	0.929934	0.829486	0.885712	0.862128	0.882275	0.955573	0.933107	0.878919	0.935288	0.927247	0.959076	0.955755	0.878995	0.957909	0.890962	0.926578	0.93606	0.887225	0.956594	0.937376	0.958633	0.955717	0.882698	0.955503	0.896088	0.9568	0.95637	0.848551	0.929815	0.887794	0.839452	0.957928	0.844276	0.936026	0.956601	0.954772	0.831137	0.955348	0.958285	0.887225	0.959301	0.95924	0.959168	0.933217	0.844333	0.95883	0.895382	0.958267	0.955723	0.956571	0.957717	0.934893	0.958122	0.953532	0.937093	0.926447	0.837594	0.881435	0.956894	0.935384	0.954023	0.956936	0.882609	0.878111	0.837834	0.882634	1.0	0.95438	0.895327	0.897426	0.893457	0.880594	0.936299	0.954574	0.839346	0.850532	0.930217	0.955576	0.883587	0.852066	0.896212
Brady_401548_Strain_2	0.940806	0.812125	0.847603	0.816336	0.935723	0.935832	0.925556	0.930795	0.925151	0.932515	0.933485	0.852345	0.926515	0.932356	0.934358	0.927149	0.817083	0.848729	0.812743	0.933412	0.813342	0.929295	0.927143	0.85537	0.853168	0.8175	0.932144	0.818761	0.934046	0.848047	0.814686	0.932285	0.815421	0.847041	0.859065	0.811206	0.930069	0.816348	0.931707	0.930759	0.816537	1.0	0.866141	0.853568	0.811455	0.831923	0.929526	0.931479	0.851042	0.842152	0.852874	0.867292	0.930465	0.932925	0.817607	0.815264	0.862508	0.813166	0.928583	0.848266	0.933077	0.805378	0.931251	0.930994	0.930007	0.846125	0.797692	0.811529	0.818066	0.928438	0.930978	0.851197	0.934023	0.927914	0.842115	0.81002	0.84552	0.844703	0.929041	0.801994	0.807026	0.929966	0.928412	0.817445	0.843672	0.857203	0.816287	0.816456	0.931423	0.928627	0.932098	0.935897	0.921231	0.853273	0.930122	0.840667	0.843532	0.933195	0.847867	0.848924	0.926057	0.806198	0.851759	0.828732	0.84766	0.934253	0.92839	0.843114	0.928578	0.923179	0.932773	0.928751	0.843202	0.93279	0.857467	0.920136	0.928889	0.853573	0.932619	0.932387	0.934837	0.929684	0.84785	0.93257	0.861487	0.933914	0.933415	0.814149	0.926033	0.852738	0.811929	0.931247	0.81754	0.928488	0.935391	0.928081	0.805283	0.930169	0.936019	0.852236	0.933575	0.933786	0.934162	0.929317	0.814893	0.93296	0.861728	0.931663	0.932929	0.934889	0.933048	0.930788	0.933748	0.930312	0.929895	0.922278	0.811619	0.846837	0.929205	0.929712	0.932548	0.935501	0.849449	0.842795	0.811493	0.848226	0.950559	0.932414	0.861901	0.862571	0.861536	0.846511	0.928248	0.928006	0.811578	0.817621	0.92444	0.932181	0.848268	0.817758	0.864859
Brady_401550_Strain_1	0.95826	0.842142	0.885218	0.843923	0.955832	0.956835	0.932085	0.932841	0.933668	0.956433	0.936789	0.888271	0.928734	0.95923	0.958991	0.932933	0.848339	0.885343	0.839743	0.953545	0.846082	0.935642	0.933009	0.891712	0.890434	0.848466	0.936542	0.845349	0.954414	0.887031	0.839935	0.955103	0.840438	0.883221	0.895719	0.838646	0.932903	0.843956	0.958552	0.956702	0.845062	0.932005	0.9003	0.890382	0.838435	0.866398	0.935477	0.935112	0.887302	0.879638	0.890867	0.900839	0.933969	0.95508	0.850336	0.845014	0.897455	0.844608	0.934064	0.887881	0.955336	0.832101	0.955543	0.934801	0.9566	0.882885	0.819405	0.841826	0.842847	0.934281	0.95478	0.888396	0.955127	0.930917	0.881094	0.839121	0.883169	0.883745	0.947512	0.824511	0.831297	0.934008	0.930633	0.850257	0.881656	0.893492	0.849141	0.848783	0.959304	0.934184	1.0	0.956693	0.927024	0.890736	0.959567	0.877947	0.882062	0.956413	0.88578	0.887527	0.929563	0.828709	0.887485	0.86347	0.885257	0.954725	0.932648	0.880605	0.934577	0.927117	0.958404	0.955615	0.880535	0.957502	0.892946	0.926447	0.935182	0.890053	0.956109	0.937146	0.957847	0.955374	0.885288	0.954879	0.896619	0.956209	0.955767	0.849336	0.929411	0.888684	0.83815	0.957795	0.843445	0.935179	0.955765	0.954828	0.83002	0.955309	0.957723	0.890272	0.959215	0.959271	0.959453	0.933085	0.843436	0.958164	0.900703	0.958352	0.955095	0.955726	0.957294	0.934663	0.957253	0.953354	0.936323	0.926197	0.836268	0.884315	0.956901	0.934504	0.953135	0.956068	0.886068	0.880189	0.83697	0.884719	0.960123	0.953712	0.896841	0.897786	0.894942	0.88282	0.935756	0.954631	0.839837	0.850656	0.930014	0.954824	0.887145	0.853186	0.89874
Brady_401550_Strain_2	0.939344	0.813411	0.849666	0.817545	0.934122	0.934594	0.923981	0.928994	0.924104	0.93154	0.931915	0.852083	0.925819	0.931475	0.933218	0.925213	0.81795	0.849332	0.815	0.931837	0.814193	0.92738	0.925653	0.856094	0.854308	0.817389	0.931439	0.818827	0.932516	0.850053	0.814825	0.931164	0.815211	0.848543	0.861109	0.813638	0.928171	0.81755	0.931069	0.92939	0.817301	0.928999	0.866479	0.853739	0.813056	0.833232	0.927319	0.930153	0.852118	0.843086	0.854762	0.867113	0.928751	0.931623	0.817828	0.816152	0.861791	0.814957	0.927183	0.850738	0.931737	0.805835	0.930298	0.92872	0.929187	0.848238	0.798291	0.813832	0.817888	0.926533	0.929911	0.853692	0.932537	0.92671	0.843908	0.810824	0.847369	0.8469	1.0	0.80197	0.807475	0.92841	0.927278	0.817879	0.845571	0.85913	0.818081	0.817477	0.930592	0.926941	0.947374	0.934232	0.920079	0.854522	0.929769	0.842733	0.845796	0.931794	0.849575	0.850017	0.923987	0.806379	0.853869	0.829298	0.848826	0.932764	0.927686	0.84407	0.926798	0.921994	0.931353	0.92786	0.843661	0.931549	0.858308	0.918618	0.926979	0.854032	0.931534	0.931736	0.933308	0.928785	0.849382	0.93144	0.860058	0.932592	0.932255	0.817087	0.924352	0.852563	0.81268	0.930093	0.818394	0.926711	0.933631	0.927177	0.806706	0.929228	0.934672	0.853885	0.932621	0.932961	0.933341	0.928374	0.817724	0.931638	0.866075	0.93113	0.931552	0.933108	0.932107	0.929262	0.932366	0.929312	0.928286	0.921095	0.810221	0.848299	0.928625	0.927526	0.931038	0.93409	0.851378	0.843354	0.812442	0.850042	0.931499	0.931178	0.860562	0.861513	0.861509	0.848299	0.926008	0.927628	0.813627	0.817919	0.923265	0.930872	0.850593	0.819249	0.865203
Brady_401552_Strain_1	0.957886	0.841991	0.877714	0.842563	0.959339	0.955458	0.932277	0.932418	0.933834	0.958699	0.935534	0.884473	0.927315	0.958076	0.95615	0.934017	0.848105	0.878918	0.837175	0.955355	0.845491	0.936501	0.933637	0.888934	0.884064	0.848895	0.935359	0.841932	0.957585	0.880091	0.841043	0.95804	0.841588	0.877142	0.887794	0.834948	0.933181	0.842679	0.957956	1.0	0.843311	0.930738	0.898708	0.887297	0.835864	0.865654	0.936446	0.934008	0.884721	0.873664	0.883948	0.900441	0.934172	0.957007	0.850072	0.841565	0.887099	0.846304	0.93457	0.879891	0.958061	0.835594	0.957897	0.935514	0.959445	0.875834	0.820069	0.840668	0.838908	0.9357	0.958633	0.886788	0.956502	0.93118	0.875389	0.83947	0.875898	0.87676	0.929463	0.827591	0.833733	0.934102	0.930778	0.850639	0.876369	0.886528	0.848612	0.849418	0.958513	0.934362	0.956754	0.959465	0.927651	0.884346	0.956724	0.874162	0.876064	0.959805	0.878192	0.881684	0.950062	0.829562	0.885583	0.861394	0.878207	0.956318	0.932189	0.875556	0.93556	0.927052	0.95843	0.956546	0.875694	0.957595	0.887267	0.927601	0.93592	0.883996	0.958678	0.935272	0.957381	0.959319	0.878251	0.958275	0.886312	0.959691	0.957889	0.848383	0.930484	0.884843	0.835516	0.958209	0.839002	0.936963	0.959495	0.956892	0.830989	0.957253	0.957411	0.883971	0.956337	0.956499	0.955713	0.932709	0.840551	0.958409	0.884784	0.956493	0.957949	0.959115	0.959113	0.934875	0.958666	0.954831	0.936975	0.925875	0.838759	0.876601	0.955459	0.935453	0.955819	0.959779	0.883716	0.874263	0.834906	0.878727	0.957209	0.95638	0.885843	0.887255	0.892163	0.876025	0.936993	0.956559	0.836396	0.850518	0.931682	0.958116	0.879942	0.851209	0.898385
Brady_401552_Strain_2	0.940047	0.810809	0.843393	0.813124	0.93588	0.934409	0.926947	0.928292	0.925898	0.931937	0.929007	0.849629	0.922905	0.931004	0.931845	0.930473	0.815614	0.84313	0.808831	0.932946	0.813626	0.930044	0.928909	0.854574	0.849045	0.816577	0.928599	0.812934	0.934503	0.843951	0.81276	0.931945	0.813081	0.843802	0.85397	0.807871	0.929172	0.813146	0.930705	0.950105	0.813386	0.926003	0.866709	0.852013	0.807797	0.832432	0.931033	0.927389	0.852137	0.838518	0.84904	0.868468	0.930044	0.932577	0.816193	0.811204	0.85186	0.815859	0.930709	0.844506	0.932903	0.806443	0.930899	0.931037	0.930159	0.842207	0.798569	0.811242	0.81099	0.930765	0.931303	0.85252	0.93355	0.928161	0.839629	0.811311	0.842137	0.841554	0.923838	0.802727	0.806908	0.929162	0.926686	0.815978	0.842208	0.853484	0.816587	0.81726	0.930478	0.930362	0.929554	0.935423	0.923613	0.849668	0.928486	0.83909	0.841245	0.932993	0.843759	0.846168	1.0	0.805982	0.853277	0.828719	0.843464	0.933925	0.925977	0.839867	0.930469	0.923703	0.93143	0.928291	0.840371	0.931614	0.854593	0.92259	0.930477	0.848864	0.932059	0.927788	0.933483	0.930337	0.843307	0.933006	0.851767	0.933594	0.932901	0.816222	0.929154	0.849852	0.808398	0.93053	0.811436	0.931041	0.935618	0.928612	0.805108	0.929833	0.935068	0.849283	0.931082	0.931857	0.931513	0.92816	0.811763	0.931723	0.849998	0.930394	0.932379	0.934721	0.932497	0.931723	0.932689	0.929751	0.931027	0.920247	0.81104	0.842752	0.927763	0.932226	0.932403	0.935875	0.849702	0.839826	0.80791	0.844928	0.929896	0.932472	0.850468	0.851786	0.860495	0.842084	0.929226	0.927644	0.809639	0.815799	0.928499	0.932311	0.844808	0.817655	0.866119
Brady_401553_Strain_1	0.961946	0.84068	0.878667	0.847442	0.958686	0.960783	0.934041	0.935515	0.936461	0.957633	0.940353	0.882424	0.930134	0.959248	0.961087	0.935785	0.8482	0.879736	0.843801	0.95543	0.844352	0.939402	0.93596	0.885437	0.884475	0.847473	0.939576	0.850667	0.957588	0.881752	0.841612	0.956648	0.842385	0.878014	0.890163	0.84094	0.93548	0.846847	0.958607	0.955735	0.847393	0.934208	0.894	0.883729	0.841465	0.86137	0.939549	0.93786	0.881016	0.874397	0.884481	0.895139	0.936765	0.957136	0.848574	0.847941	0.891112	0.84289	0.937833	0.882552	0.957474	0.8304	0.956087	0.938724	0.956093	0.877171	0.819115	0.839859	0.848243	0.938042	0.955721	0.881837	0.958046	0.933856	0.875372	0.837564	0.877663	0.878065	0.933491	0.822893	0.831349	0.937694	0.932007	0.849388	0.877122	0.888094	0.847165	0.848944	0.957766	0.937634	0.959456	0.959914	0.92876	0.884456	0.958265	0.871416	0.877291	0.957484	0.879256	0.879542	0.931421	0.828251	0.880689	0.857998	0.879753	0.957624	0.934486	0.876022	0.938318	0.929568	0.958343	0.955081	0.875465	0.959278	0.887083	0.927242	0.939114	0.882771	0.957651	0.9614	0.960774	0.95473	0.879624	0.956696	0.88996	0.95803	0.957972	0.848011	0.931754	0.882393	0.842325	0.958028	0.848068	0.939092	0.958384	0.953401	0.829849	0.95508	0.961565	0.883606	0.959961	0.959996	1.0	0.935558	0.846592	0.958311	0.891165	0.957664	0.957077	0.9581	0.959051	0.938564	0.958973	0.954434	0.940508	0.92844	0.836414	0.87846	0.956449	0.938058	0.955601	0.959151	0.87825	0.874691	0.841324	0.87986	0.959164	0.955896	0.89039	0.891545	0.88951	0.877551	0.939597	0.953558	0.841668	0.848736	0.931629	0.9565	0.881866	0.850587	0.893222
