Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
/scratch/alpine/clbd1748/Australia/QC_reads/12447_H3WL3BCXX-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes/GCA_013290035.1_ASM1329003v1_genomic.fna.gz	38.2312	30.1472	95.25	0.843	95.04-95.48	0.843	0.75-0.91	1	1.914	2462/19141	93.60	6	JABCYT010000001.1 MAG: Alphaproteobacteria bacterium isolate Inc-BW-H-2-M_MAG46 Ga0210384_10001511, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12447_H3WL3BCXX-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes/GCA_003131995.1_20120500_P31_genomic.fna.gz	38.0829	31.6594	95.48	0.840	95.31-95.71	0.840	0.75-0.90	1	2.110	2857/20454	93.85	0	PKWI01000130.1 MAG: Hyphomicrobiales bacterium isolate palsa_912 73.20120500_P31.4_contig_1000, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12447_H3WL3BCXX-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes/GCA_900129425.1_IMG-taxon_2695421015_annotated_assembly_genomic.fna.gz	23.6859	38.1934	95.14	0.522	94.89-95.31	0.522	0.49-0.57	1	1.994	3439/38156	92.53	19	LT670817.1 Bradyrhizobium erythrophlei strain GAS138 genome assembly, chromosome: I
/scratch/alpine/clbd1748/Australia/QC_reads/12446_H3NJ2BCXX-2_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes/GCA_006717045.1_ASM671704v1_genomic.fna.gz	53.1629	59.1021	96.34	0.495	96.16-96.51	0.495	0.46-0.53	1	1.546	4528/35828	93.55	0	VFPH01000001.1 Pseudonocardia cypriaca strain DSM 45511 Ga0310437_11, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12446_H3NJ2BCXX-2_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes/GCA_003076135.1_ASM307613v1_genomic.fna.gz	28.5100	18.2456	95.73	0.266	95.29-96.13	0.266	0.23-0.30	1	1.513	1289/20429	91.47	23	QDGZ01000001.1 Nocardioides gansuensis strain WSJ-1 contig1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12446_H3NJ2BCXX-2_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes/GCA_002148965.1_ASM214896v1_genomic.fna.gz	18.3271	22.6523	95.72	0.171	95.33-96.21	0.171	0.14-0.19	1	1.306	1648/39209	90.28	27	NGFN01000001.1 Streptomyces swartbergensis strain HMC13 scaffold1.1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12818_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes/GCA_003219725.1_ASM321972v1_genomic.fna.gz	31.8947	16.9264	95.39	1.291	95.16-95.53	1.291	1.16-1.44	2	2.486	1422/8324	94.46	87	QHQC01000187.1 MAG: Verrucomicrobia bacterium isolate AV14 14_1009_16_30cm_scaffold_100776_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12818_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes/GCA_013372845.1_ASM1337284v1_genomic.fna.gz	25.9352	22.5534	96.95	1.050	96.79-97.08	1.050	0.98-1.14	2	2.059	3502/13686	95.70	38	JAALOD010000001.1 MAG: Candidatus Udaeobacter sp. isolate AEW3 Udaeo2_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12818_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes/GCA_003219465.1_ASM321946v1_genomic.fna.gz	17.1708	19.4370	95.39	0.695	95.18-95.66	0.695	0.62-0.75	2	2.683	2249/18200	93.48	147	QHOX01000279.1 MAG: Verrucomicrobia bacterium isolate AV42 14_1009_16_30cm_scaffold_100182_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12818_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes/GCA_000472925.1_ASM47292v1_genomic.fna.gz	12.8497	34.7975	95.84	0.520	95.69-95.99	0.520	0.49-0.56	1	1.768	4846/42784	93.22	0	AXAS01000001.1 Bradyrhizobium sp. Ec3.3 YUUDRAFT_scaffold_0.1_C, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12818_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes/GCA_003218165.1_ASM321816v1_genomic.fna.gz	12.1495	6.2858	97.26	0.492	96.89-97.63	0.492	0.42-0.54	1	1.649	1419/8379	94.43	0	QHOB01000137.1 MAG: Verrucomicrobia bacterium isolate AV62 14_1009_12_20cm_scaffold_10191_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12819_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes/GCA_013372845.1_ASM1337284v1_genomic.fna.gz	28.4082	26.0344	97.24	0.939	97.10-97.34	0.939	0.89-1.00	1	1.859	3575/13686	95.76	0	JAALOD010000001.1 MAG: Candidatus Udaeobacter sp. isolate AEW3 Udaeo2_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12819_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes/GCA_003219945.1_ASM321994v1_genomic.fna.gz	20.8299	13.2961	95.77	0.688	95.45-96.06	0.688	0.60-0.76	2	2.645	1277/9581	93.71	38	QHQV01000251.1 MAG: Verrucomicrobia bacterium isolate AV119 14_0903_02_20cm_scaffold_1003_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12819_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes/GCA_003221135.1_ASM322113v1_genomic.fna.gz	16.4576	10.7457	95.50	0.544	95.17-95.97	0.544	0.46-0.61	1	1.617	1001/9735	92.92	96	QHQN01000192.1 MAG: Verrucomicrobia bacterium isolate AV126 14_1009_16_40cm_scaffold_101736_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia/QC_reads/12819_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/Ref_genomes/GCA_001440035.1_ABySSBR3351v1_genomic.fna.gz	14.8135	38.5297	95.22	0.490	94.99-95.40	0.490	0.45-0.53	1	1.902	3454/38482	92.52	1	LJYG01000001.1 Bradyrhizobium manausense strain BR 3351 contig145, whole genome shotgun sequence
